Train Loss,Test Loss,Replicate,Size,Attempts
0.011753360740840435,0.01476994063705206,0,5,1
0.011676188558340073,0.013503779657185078,1,5,1
0.011412909254431725,0.012934376485645771,2,5,1
0.011149340309202671,0.015517308376729488,3,5,1
0.011552526615560055,0.014565283432602882,4,5,1
0.011341609060764313,0.013595310039818287,5,5,1
0.01158987358212471,0.019601626321673393,6,5,1
0.011333956383168697,0.012925347313284874,7,5,1
0.011420330964028835,0.01262965239584446,8,5,1
0.011684974655508995,0.012542728334665298,9,5,1
0.011150993406772614,0.014039121568202972,10,5,1
0.011924520134925842,0.017924081534147263,11,5,1
0.011580461636185646,0.013584853149950504,12,5,1
0.011292827315628529,0.013421854004263878,13,5,1
0.011420942842960358,0.016020717099308968,14,5,1
0.011639896780252457,0.012334387749433517,15,5,1
0.0111598651856184,0.025673329830169678,16,5,1
0.011675952933728695,0.01432228833436966,17,5,1
0.011712346225976944,0.01614583283662796,18,5,1
0.011661961674690247,0.013989700004458427,19,5,1
0.01134549081325531,0.012569015845656395,20,5,1
0.011516295373439789,0.022435413673520088,21,5,2
0.011575499549508095,0.017549801617860794,22,5,1
0.011493069119751453,0.012307509779930115,23,5,2
0.011309063993394375,0.013466095551848412,24,5,1
0.01260128803551197,0.013015493750572205,25,5,1
0.011480933055281639,0.012675488367676735,26,5,1
0.011394184082746506,0.016636013984680176,27,5,1
0.011402416974306107,0.013339354656636715,28,5,1
0.011939289048314095,0.012284066528081894,29,5,1
0.011670836247503757,0.01877385377883911,30,5,1
0.012250766158103943,0.014180372469127178,31,5,1
0.011152399703860283,0.013122882694005966,32,5,1
0.012182004749774933,0.01581496372818947,33,5,1
0.011609233915805817,0.01425129733979702,34,5,1
0.011098688468337059,0.013811439275741577,35,5,1
0.011732467450201511,0.012966950424015522,36,5,1
0.011259987019002438,0.014970600605010986,37,5,1
0.011190643534064293,0.012792179360985756,38,5,1
0.011986472643911839,0.014539887197315693,39,5,1
0.011598772369325161,0.012775209732353687,40,5,1
0.012159924954175949,0.014119396917521954,41,5,1
3.480760097503662,3.462874412536621,42,5,1
0.01153529342263937,0.016901599243283272,43,5,1
0.011839316226541996,0.013249335810542107,44,5,1
3.8035264015197754,3.797604560852051,45,5,1
0.01137037854641676,0.015546703711152077,46,5,1
0.011582509614527225,0.012292131781578064,47,5,1
0.011405190452933311,0.019007176160812378,48,5,2
0.011138034984469414,0.01754431426525116,49,5,1
0.011738878674805164,0.020590977743268013,0,10,1
0.011345895938575268,0.017098937183618546,1,10,3
0.011672026477754116,0.017775360494852066,2,10,1
0.011712368577718735,0.023913642391562462,3,10,1
0.011388715356588364,0.019898097962141037,4,10,1
0.01109030470252037,0.022922204807400703,5,10,3
0.011518348008394241,0.02489347755908966,6,10,2
0.011801492422819138,0.019920185208320618,7,10,1
0.011720123700797558,0.027508269995450974,8,10,1
,,9,10,2
0.012439155951142311,0.03139981999993324,10,10,1
0.011330138891935349,0.028978785499930382,11,10,1
0.01154588907957077,0.025555122643709183,12,10,2
0.012222486548125744,0.025263499468564987,13,10,1
0.011414424516260624,0.030736327171325684,14,10,2
0.0231720432639122,0.04097571596503258,15,10,1
0.01156504638493061,0.019111765548586845,16,10,2
0.012005599215626717,0.021927498281002045,17,10,1
0.011463092640042305,0.02657097764313221,18,10,1
0.011624244973063469,0.02640393003821373,19,10,2
0.011313086375594139,0.019983593374490738,20,10,2
3.6894237995147705,3.6457598209381104,21,10,2
0.011782287620007992,0.02886517345905304,22,10,1
0.011448811739683151,0.033781517297029495,23,10,1
0.011781089007854462,0.020663602277636528,24,10,3
0.011635606177151203,0.029792217537760735,25,10,1
0.011264610104262829,0.021527566015720367,26,10,1
0.012932846322655678,0.015765776857733727,27,10,1
0.011419159360229969,0.020856985822319984,28,10,3
0.01234152726829052,0.025855353102087975,29,10,1
0.011604677885770798,0.017676055431365967,30,10,1
0.011577601544559002,0.021927205845713615,31,10,1
0.012528088875114918,0.01793224923312664,32,10,1
0.011701943352818489,0.03138064220547676,33,10,1
0.011360162869095802,0.03212454915046692,34,10,1
0.011472418904304504,0.02293696440756321,35,10,1
0.011128384619951248,0.021386029198765755,36,10,1
0.011773341335356236,0.024413224309682846,37,10,1
0.011656597256660461,0.024569038301706314,38,10,1
0.011526762507855892,0.026162125170230865,39,10,1
0.011941174976527691,0.0273326076567173,40,10,1
0.011333822272717953,0.022091733291745186,41,10,1
0.01180886011570692,0.02867458388209343,42,10,2
0.01160405483096838,0.015936190262436867,43,10,1
0.011642328463494778,0.027673272415995598,44,10,2
0.011688998900353909,0.03360980004072189,45,10,2
8.299792289733887,8.249303817749023,46,10,1
0.011527616530656815,0.016944807022809982,47,10,4
0.011468634009361267,0.022978274151682854,48,10,1
0.011465123854577541,0.02652953378856182,49,10,1
0.012016172520816326,0.029972819611430168,0,15,2
0.011545018292963505,0.025612706318497658,1,15,2
0.011520878411829472,0.02506311610341072,2,15,1
0.011860848404467106,0.019584733992815018,3,15,1
0.011741000227630138,0.030706636607646942,4,15,5
0.011673053726553917,0.027174675837159157,5,15,1
0.011492970399558544,0.03022821992635727,6,15,4
0.01189547497779131,0.03781041130423546,7,15,3
0.011542513966560364,0.02961394377052784,8,15,1
0.01191688422113657,0.03231150284409523,9,15,2
0.011441463604569435,0.02652854286134243,10,15,1
0.0125193540006876,0.03011282905936241,11,15,5
0.02607238106429577,0.04612576588988304,12,15,1
0.011599287390708923,0.0225047767162323,13,15,1
0.06277518719434738,0.035462636500597,14,15,5
0.011944806203246117,0.03040708601474762,15,15,2
0.011700141243636608,0.03552062064409256,16,15,1
0.011927701532840729,0.0361626036465168,17,15,2
