width,batch-time,learning-rate,replicate,beta_percent_err,beta_fit,beta_true,gamma_percent_err,gamma_fit,gamma_true,delta_percent_err,delta_fit,delta_true
25.0,32.0,0.1,30.0,0.000559488589267243,1.5008392328839009,1.5,0.0008260706796370995,3.0024782120389113,3.0,0.003801585618351311,1.0038015856183513,1.0
25.0,64.0,0.1,1.0,0.002009019412268683,1.503013529118403,1.5,0.0007358765754201061,3.0022076297262603,3.0,0.000908696164640288,1.0009086961646403,1.0
25.0,64.0,0.1,25.0,0.0010441089321890178,1.4984338366017165,1.5,0.00010886231521611833,3.0003265869456484,3.0,0.0024413443613442443,0.9975586556386558,1.0
15.0,32.0,0.1,17.0,0.00019568358830139113,1.500293525382452,1.5,6.350184434126642e-05,3.000190505533024,3.0,0.005113744228254946,1.005113744228255,1.0
15.0,64.0,0.1,1.0,0.0006334106686304667,1.4990498839970543,1.5,0.00020928392824689132,2.9993721482152593,3.0,0.0015868684148023782,1.0015868684148024,1.0
15.0,64.0,0.1,20.0,0.0006771353476346201,1.501015703021452,1.5,3.436646721022285e-05,2.9998969005983693,3.0,0.0026878971655071027,1.002687897165507,1.0
25.0,64.0,0.1,23.0,9.4912515591646e-05,1.4998576312266125,1.5,0.00017375455810242357,3.0005212636743073,3.0,0.0013356345755537458,1.0013356345755537,1.0
5.0,32.0,0.1,25.0,0.0009173123367676913,1.4986240314948485,1.5,0.0006008131148109719,3.001802439344433,3.0,0.0010208070329370544,0.998979192967063,1.0
15.0,64.0,0.1,8.0,0.0008429473055827271,1.501264420958374,1.5,0.0009869546451120037,2.997039136064664,3.0,0.0009766432182642948,1.0009766432182643,1.0
15.0,64.0,0.1,14.0,0.0017264871270958142,1.4974102693093563,1.5,0.0003197423274799623,3.00095922698244,3.0,0.0017271274219443633,1.0017271274219444,1.0
15.0,64.0,0.1,10.0,0.000528934938572867,1.4992065975921407,1.5,0.0007944475492290456,3.002383342647687,3.0,0.00036659310084097285,1.000366593100841,1.0
15.0,32.0,0.1,28.0,0.001285862249924848,1.4980712066251127,1.5,0.0002546989978218228,2.9992359030065345,3.0,0.002713517114500741,0.9972864828854993,1.0
5.0,64.0,0.1,10.0,6.51125004461998e-06,1.499990233124933,1.5,0.000739719684038261,2.997780840947885,3.0,0.0005789301551666348,0.9994210698448334,1.0
25.0,32.0,0.1,29.0,6.48305097879683e-05,1.500097245764682,1.5,0.0004231922457709203,3.0012695767373128,3.0,0.0006144161821965977,1.0006144161821966,1.0
25.0,64.0,0.1,11.0,0.0010670786573204378,1.4983993820140193,1.5,0.00013307315169915532,2.9996007805449025,3.0,0.00016826651357149114,0.9998317334864285,1.0
25.0,32.0,0.1,9.0,0.0005520690410261153,1.5008281035615392,1.5,0.00029640983624057426,3.0008892295087217,3.0,0.0017110672253144443,1.0017110672253144,1.0
5.0,64.0,0.1,17.0,0.0008943042763796724,1.4986585435854305,1.5,0.0013009252346803575,2.996097224295959,3.0,0.0020611285216043385,1.0020611285216043,1.0
25.0,64.0,0.1,3.0,0.0001874011170561,1.4997188983244158,1.5,0.00011553039080958172,2.9996534088275713,3.0,0.002300711050525761,0.9976992889494742,1.0
15.0,64.0,0.1,9.0,0.001366853181335485,1.5020502797720032,1.5,0.0009464316992155256,2.9971607049023534,3.0,0.0005565507874114584,0.9994434492125885,1.0
25.0,32.0,0.1,11.0,0.0006689974964267561,1.5010034962446401,1.5,0.0005518079330991318,3.0016554237992974,3.0,0.0017543109768389797,1.001754310976839,1.0
5.0,32.0,0.1,15.0,0.0005841886919351799,1.4991237169620972,1.5,0.0005681963946746471,3.001704589184024,3.0,0.00036922792612026356,1.0003692279261203,1.0
15.0,32.0,0.1,10.0,0.0012781806396852484,1.4980827290404721,1.5,0.0007930145100303321,3.002379043530091,3.0,0.0032804109452937436,1.0032804109452937,1.0
15.0,64.0,0.1,23.0,0.0022845770546749597,1.5034268655820124,1.5,0.0002465006614465655,3.0007395019843397,3.0,0.002048722927678437,0.9979512770723216,1.0
25.0,32.0,0.1,21.0,0.001649508507712098,1.5024742627615681,1.5,0.00014278472381364557,2.999571645828559,3.0,0.0007678387556986355,0.9992321612443014,1.0
15.0,32.0,0.1,4.0,0.0011864963370789756,1.4982202554943815,1.5,0.0008166945137350426,2.997549916458795,3.0,0.0018743211459192333,0.9981256788540808,1.0
5.0,32.0,0.1,6.0,0.001813198992087391,1.497280201511869,1.5,2.0381577649756604e-05,3.0000611447329493,3.0,0.0011654856608870334,0.998834514339113,1.0
25.0,64.0,0.1,30.0,0.002170800097598402,1.4967437998536024,1.5,2.2837951895393616e-05,3.000068513855686,3.0,0.0009103637763610006,0.999089636223639,1.0
25.0,32.0,0.1,23.0,0.0019333373815266046,1.49709999392771,1.5,0.0002635362188964467,2.9992093913433107,3.0,0.0002444204795590821,1.000244420479559,1.0
25.0,64.0,0.1,22.0,0.0008946633853198863,1.5013419950779798,1.5,0.00016752734661018565,3.0005025820398306,3.0,0.001388865888812818,1.0013888658888128,1.0
15.0,32.0,0.1,18.0,0.0008092640006160204,1.498786103999076,1.5,0.00014146233381510479,2.9995756129985547,3.0,0.0019537174143166025,0.9980462825856834,1.0
5.0,32.0,0.1,17.0,0.0001239839596098117,1.5001859759394147,1.5,0.00016381901441819835,2.9995085429567454,3.0,3.331974929965398e-05,1.0000333197492997,1.0
15.0,32.0,0.1,15.0,0.0015796003144144717,1.4976305995283783,1.5,0.00033424084641916113,2.9989972774607425,3.0,0.002829960708292223,1.0028299607082922,1.0
25.0,64.0,0.1,26.0,0.00040708805577205354,1.500610632083658,1.5,0.0006070860444437424,3.0018212581333312,3.0,0.0015177500406509115,1.001517750040651,1.0
5.0,64.0,0.1,6.0,0.00010902570181207476,1.5001635385527181,1.5,0.0007948773398186818,3.002384632019456,3.0,0.0003355487397433965,1.0003355487397434,1.0
5.0,64.0,0.1,28.0,0.0016250235511326612,1.502437535326699,1.5,0.0007083408592317338,2.997874977422305,3.0,0.0020524791578531154,1.0020524791578531,1.0
5.0,64.0,0.1,5.0,0.0009774219762523906,1.5014661329643786,1.5,4.0780568956252004e-05,2.9998776582931312,3.0,0.0008526923923368734,1.0008526923923369,1.0
15.0,32.0,0.1,3.0,0.00011211281033348304,1.4998318307844998,1.5,0.0007684124408770346,2.997694762677369,3.0,0.0012431592442602168,0.9987568407557398,1.0
15.0,64.0,0.1,7.0,0.0005539629982201552,1.5008309444973302,1.5,3.138620687940611e-05,2.999905841379362,3.0,0.0014035759448678409,0.9985964240551322,1.0
5.0,64.0,0.1,12.0,0.00017540202868711793,1.5002631030430307,1.5,6.311906001199574e-05,2.999810642819964,3.0,0.0005068479501320056,0.999493152049868,1.0
25.0,32.0,0.1,20.0,0.001687001492845841,1.4974694977607312,1.5,2.5742847444239676e-05,2.9999227714576673,3.0,0.0023150596901874154,0.9976849403098126,1.0
5.0,32.0,0.1,3.0,0.0005088832662281106,1.5007633248993422,1.5,9.946755329215407e-05,3.0002984026598765,3.0,0.0012954003735597963,0.9987045996264402,1.0
5.0,64.0,0.1,11.0,0.002307059229524603,1.503460588844287,1.5,0.000537181430526316,3.001611544291579,3.0,0.0024768187117070184,1.002476818711707,1.0
25.0,64.0,0.1,24.0,0.0014722311681928761,1.5022083467522893,1.5,0.0006413208160552427,3.0019239624481657,3.0,0.0006838007758765974,0.9993161992241234,1.0
25.0,32.0,0.1,3.0,0.0005749167848669856,1.5008623751773005,1.5,0.00011348734494672404,3.00034046203484,3.0,0.0002478381602768476,0.9997521618397232,1.0
5.0,64.0,0.1,23.0,0.00042046157507439713,1.5006306923626116,1.5,0.0003737933234638409,2.9988786200296085,3.0,0.0034304282137498365,1.0034304282137498,1.0
5.0,32.0,0.1,7.0,0.0006067090753830348,1.4990899363869254,1.5,0.000498831034607683,2.998503506896177,3.0,0.0018260717191515008,0.9981739282808485,1.0
5.0,32.0,0.1,5.0,0.000565004349917686,1.5008475065248765,1.5,0.0005744540335584544,3.0017233621006754,3.0,0.0030566095063062626,1.0030566095063063,1.0
25.0,32.0,0.1,1.0,0.0015757611723192788,1.497636358241521,1.5,0.0006764853034713821,2.997970544089586,3.0,0.0018032337872784243,1.0018032337872784,1.0
25.0,32.0,0.1,16.0,0.0017183631319846644,1.502577544697977,1.5,0.0006800505977633264,3.00204015179329,3.0,0.0003282276921608984,0.9996717723078391,1.0
25.0,32.0,0.1,25.0,0.0015587134387880692,1.497661929841818,1.5,0.0012425483503123818,3.003727645050937,3.0,0.001028052868156104,0.9989719471318439,1.0
5.0,32.0,0.1,12.0,0.0011906128038787027,1.501785919205818,1.5,0.0006612581669243056,2.998016225499227,3.0,0.0006824608652640229,1.000682460865264,1.0
5.0,64.0,0.1,20.0,0.00028107783974655004,1.4995783832403802,1.5,0.0007784153431917851,2.9976647539704246,3.0,0.0003364102985223827,0.9996635897014776,1.0
15.0,64.0,0.1,6.0,0.0008662412972311925,1.4987006380541532,1.5,0.0002307718395690254,2.999307684481293,3.0,0.0022121112627485617,0.9977878887372514,1.0
5.0,32.0,0.1,18.0,0.0006730385804705937,1.498990442129294,1.5,0.00011974093328100584,2.999640777200157,3.0,0.001541725703732233,1.0015417257037322,1.0
25.0,64.0,0.1,18.0,0.0015434486797702245,1.5023151730196553,1.5,9.932427029690771e-05,3.0002979728108907,3.0,0.00015559012228716362,1.0001555901222872,1.0
15.0,64.0,0.1,12.0,0.0009088194708293251,1.501363229206244,1.5,0.00032075981223345096,3.0009622794367004,3.0,0.0012813606052093363,1.0012813606052093,1.0
25.0,32.0,0.1,28.0,0.002468783906089437,1.4962968241408658,1.5,6.904247078202512e-06,3.0000207127412346,3.0,0.0006411485905978287,0.9993588514094022,1.0
25.0,32.0,0.1,7.0,0.00020555003139029657,1.4996916749529146,1.5,9.949333008603863e-05,2.999701520009742,3.0,0.0014948009647439697,0.998505199035256,1.0
25.0,64.0,0.1,21.0,0.0025235578802971226,1.4962146631795543,1.5,0.0005161996797107271,3.001548599039132,3.0,0.0020894543482854466,1.0020894543482854,1.0
15.0,32.0,0.1,14.0,0.00013322615556858133,1.4998001607666471,1.5,0.00012873140070338943,2.99961380579789,3.0,0.002013907425386874,1.0020139074253869,1.0
5.0,64.0,0.1,18.0,0.001204937974902916,1.4981925930376456,1.5,0.0007903613302667386,3.0023710839908,3.0,0.002678079108174636,0.9973219208918254,1.0
15.0,32.0,0.1,8.0,6.747363744633954e-05,1.5001012104561695,1.5,0.0001478659290844083,3.0004435977872532,3.0,0.00014623099282917718,0.9998537690071708,1.0
5.0,64.0,0.1,9.0,0.0003181000537491781,1.5004771500806238,1.5,0.0006118066669949703,3.001835420000985,3.0,0.004332852240052754,1.0043328522400528,1.0
5.0,32.0,0.1,20.0,0.001182779687140793,1.4982258304692888,1.5,0.0007696213670847681,2.9976911358987457,3.0,0.0009007295746781274,1.0009007295746781,1.0
15.0,32.0,0.1,19.0,0.0006872410215713979,1.501030861532357,1.5,0.0003272833409132166,2.9990181499772604,3.0,0.0003881035502245611,0.9996118964497754,1.0
25.0,64.0,0.1,28.0,0.0012326577216308365,1.4981510134175537,1.5,0.00022922476053229465,2.999312325718403,3.0,0.005190040269177132,1.0051900402691771,1.0
15.0,32.0,0.1,23.0,0.0014240127228801747,1.4978639809156797,1.5,6.045757765897145e-05,3.000181372732977,3.0,0.00010991845455521343,1.0001099184545552,1.0
25.0,32.0,0.1,13.0,0.0004354882758187036,1.500653232413728,1.5,0.00044723929935101364,2.998658282101947,3.0,0.001024184315711274,1.0010241843157113,1.0
5.0,32.0,0.1,30.0,0.0004210565591364161,1.5006315848387046,1.5,0.00012234719749848466,3.0003670415924955,3.0,0.0008711690079747925,1.0008711690079748,1.0
25.0,64.0,0.1,9.0,0.00013612964555583437,1.5002041944683338,1.5,0.0005248182931166431,3.00157445487935,3.0,0.0016768283294615882,0.9983231716705384,1.0
25.0,64.0,0.1,17.0,0.0006198173817906216,1.500929726072686,1.5,1.3570732138479258e-05,3.0000407121964154,3.0,0.0007401262657799057,0.9992598737342201,1.0
25.0,64.0,0.1,13.0,0.0008773743253758978,1.4986839385119362,1.5,0.0007398684013049106,2.9977803947960853,3.0,0.0005356497717416975,1.0005356497717417,1.0
25.0,32.0,0.1,24.0,0.0007730592795470356,1.4988404110806794,1.5,0.00040650137847908496,2.9987804958645627,3.0,0.0014362347656627916,0.9985637652343372,1.0
15.0,32.0,0.1,6.0,7.293461003573161e-05,1.5001094019150536,1.5,0.00024295035558630218,3.000728851066759,3.0,0.0013851697978404243,0.9986148302021596,1.0
15.0,64.0,0.1,29.0,0.0008011923177139538,1.501201788476571,1.5,0.0002669293988287376,2.999199211803514,3.0,0.0005323297107010516,0.999467670289299,1.0
25.0,64.0,0.1,20.0,0.0003883705364221927,1.5005825558046333,1.5,0.00020270234564545575,2.9993918929630636,3.0,0.0006222304282899049,1.00062223042829,1.0
25.0,32.0,0.1,14.0,0.0011283137110928247,1.5016924705666392,1.5,0.0003921993591669744,2.998823401922499,3.0,0.0032303374419466735,1.0032303374419467,1.0
25.0,32.0,0.1,10.0,0.0016281667625116885,1.4975577498562325,1.5,0.000236252164208454,2.9992912435073746,3.0,0.0004936779937597668,0.9995063220062402,1.0
5.0,32.0,0.1,28.0,0.0015134352910248043,1.4977298470634628,1.5,0.0001664006068362589,3.0004992018205088,3.0,0.0005385893208332826,0.9994614106791667,1.0
5.0,32.0,0.1,19.0,8.00834568567647e-05,1.5001201251852851,1.5,0.0006898520931630792,3.0020695562794892,3.0,0.0005342631043097068,0.9994657368956903,1.0
