width,batch-time,learning-rate,replicate,J0_percent_err,J0_fit,J0_true,k2_percent_err,k2_fit,k2_true,k3_percent_err,k3_fit,k3_true,k4_percent_err,k4_fit,k4_true,k5_percent_err,k5_fit,k5_true,k6_percent_err,k6_fit,k6_true,k_percent_err,k_fit,k_true,kappa_percent_err,kappa_fit,kappa_true,psi_percent_err,psi_fit,psi_true,N_percent_err,N_fit,N_true,A_percent_err,A_fit,A_true
15.0,32.0,0.1,12.0,,,2.5,,,6.0,,,16.0,,,100,,,1.28,,,12.0,,,1.8,,,13.0,,,0.1,,,1.0,,,4.0
5.0,64.0,0.1,25.0,0.7559442356405242,0.6101394108986896,2.5,0.11730450516866853,5.296172968987989,6.0,0.5230443556333889,7.631290309865777,16.0,0.08466479512723708,91.53352048727629,100,0.5450130515929611,1.9776167060389902,1.28,0.5205897149119898,5.752923421056122,12.0,2.38226888316585,6.08808398969853,1.8,0.43061643115418696,7.4019863949955695,13.0,2.3221671226534704,0.33221671226534705,0.1,0.2078588399239104,0.7921411600760896,1.0,0.11293396171791192,4.451735846871648,4.0
5.0,64.0,0.1,14.0,0.0827094229842448,2.293226442539388,2.5,0.27522680419085255,7.651360825145115,6.0,0.5334608486069037,7.46462642228954,16.0,0.044791890845561684,104.47918908455617,100,0.45652915124003157,1.8643573135872404,1.28,0.579242778400977,5.0490866591882755,12.0,2.431827181384858,6.177288926492745,1.8,0.2291822612617726,10.020630603596956,13.0,1.4287461224675746,0.24287461224675747,0.1,0.3665003820960926,0.6334996179039074,1.0,0.1631242783288862,4.652497113315545,4.0
5.0,64.0,0.1,4.0,0.4694439824861532,1.326390043784617,2.5,0.11037856105133666,5.33772863369198,6.0,0.6054539628307907,6.31273659470735,16.0,0.032205508109634025,103.2205508109634,100,0.1794166100177021,1.5096532608226587,1.28,0.5388716079947203,5.533540704063356,12.0,2.15695032928284,5.682510592709112,1.8,0.1493255714144103,11.058767571612666,13.0,1.5925960589021788,0.2592596058902179,0.1,0.2142716284005124,0.7857283715994876,1.0,0.2510924188832111,5.004369675532844,4.0
25.0,32.0,0.1,12.0,0.113775274125444,2.21556181468639,2.5,0.07058225760465502,5.57650645437207,6.0,0.4476760179146503,8.837183713365595,16.0,0.1838169361014846,118.38169361014846,100,0.04996386676065709,1.343953749453641,1.28,0.3603191112974415,7.676170664430702,12.0,2.385794026148883,6.094429247067989,1.8,0.037114797285327066,12.517507635290748,13.0,3.890893983218753,0.4890893983218753,0.1,0.22235276784177294,0.7776472321582271,1.0,0.07484918403093399,4.299396736123736,4.0
25.0,64.0,0.1,15.0,0.023811475678837013,2.5595286891970925,2.5,0.02274160837571504,5.86355034974571,6.0,0.44710901893886523,8.846255696978156,16.0,0.04806709896268146,104.80670989626815,100,0.10180534429306501,1.4103108406951232,1.28,0.183647087470275,9.7962349503567,12.0,1.1731287402670596,3.9116317324807075,1.8,0.15546103412388,10.97900655638956,13.0,4.665447021722708,0.5665447021722708,0.1,0.19806215274838923,0.8019378472516108,1.0,0.12399284602684046,4.495971384107362,4.0
15.0,64.0,0.1,21.0,0.3520191452980411,1.6199521367548972,2.5,0.31616483760733455,4.103010974355993,6.0,0.5620908036270393,7.006547141967371,16.0,0.0901939275632472,90.98060724367528,100,0.08313847972030337,1.3864172540419883,1.28,0.2141728960510975,9.42992524738683,12.0,1.0443545173768498,3.6798381312783297,1.8,0.10209222877958596,11.672801025865382,13.0,2.5621062448979037,0.35621062448979035,0.1,0.10523139659705372,0.8947686034029463,1.0,0.1938767827629575,4.77550713105183,4.0
15.0,64.0,0.1,24.0,0.3243579928057582,1.6891050179856044,2.5,0.29000337183963926,4.259979768962165,6.0,0.5372795462425937,7.403527260118502,16.0,0.0849748353974006,108.49748353974006,100,0.003996148302758129,1.2851150698275304,1.28,0.3687037683527515,7.575554779766982,12.0,4.4812458635924655,9.866242554466439,1.8,0.0910292044604602,11.816620342014017,13.0,4.002035844498681,-0.30020358444986817,0.1,0.0603578229684697,0.9396421770315303,1.0,0.2123051683380759,4.849220673352304,4.0
25.0,64.0,0.1,8.0,0.2661975132014344,1.834506216996414,2.5,0.5513846549299358,2.6916920704203853,6.0,0.5042648012758726,7.931763179586038,16.0,0.06203989933684142,93.79601006631586,100,0.06289353371492587,1.3605037231551051,1.28,0.42526947671239196,6.896766279451296,12.0,2.859148976661792,6.946468157991226,1.8,0.13523757923359517,14.758088530036737,13.0,1.955731542679205,0.2955731542679205,0.1,0.57612320305286,1.57612320305286,1.0,0.1432734490833234,4.573093796333294,4.0
5.0,64.0,0.1,27.0,0.5459811939534746,1.1350470151163137,2.5,0.17072229567051908,4.975666225976886,6.0,0.581575115385651,6.694798153829583,16.0,0.053581710980826786,94.64182890191732,100,0.08053584679712077,1.1769141160996854,1.28,0.43688416174362593,6.757390059076489,12.0,3.024173246164608,7.243511843096295,1.8,0.2510962138937793,9.73574921938087,13.0,2.984464113016113,0.3984464113016113,0.1,0.08626790154386343,0.9137320984561366,1.0,0.2623159275162841,5.049263710065136,4.0
