width,batch-time,learning-rate,replicate,known_param_strict_train_rmse,known_param_strict_test_rmse,known_param_loose_train_rmse,known_param_loose_test_rmse,unknown_param_train_rmse,unknown_param_test_rmse,NODE_train_rmse,NODE_test_rmse,known_param_strict_attempts,known_param_loose_attempts,unknown_param_attempts,NODE_attempts,loose_param_err,unknown_param_err
15.0,32.0,0.1,12.0,0.665692150592804,0.5948660373687744,0.26274165511131287,,0.0600418820977211,0.07437948882579803,0.03287822753190994,0.033628057688474655,0,0,0,0,0.003139872074868544,16.951017563747975
5.0,64.0,0.1,25.0,1.7051093578338623,1.5340211391448975,0.20136454701423645,0.574366569519043,0.16173133254051208,1.045085072517395,0.038498781621456146,0.03580481931567192,0,0,0,0,0.004579875085056306,0.5268383881983052
5.0,64.0,0.1,14.0,1.7108819484710693,3.486058473587036,0.19350291788578033,0.34963953495025635,0.17506274580955505,0.3207515478134155,0.03671425208449364,0.0368681401014328,0,0,0,0,0.0065588558104927586,2.236780078175964
5.0,64.0,0.1,4.0,1.6729446649551392,82.1353530883789,0.21772652864456177,0.2810739278793335,0.227311372756958,1.8409504890441895,0.04295503348112106,0.038080595433712006,0,0,0,0,0.0048662779375623355,0.6751923170045755
25.0,32.0,0.1,12.0,0.6622077226638794,0.6004308462142944,0.4522375166416168,0.9976029396057129,0.06796447932720184,0.14353609085083008,0.05069007724523544,0.06191788986325264,0,0,0,0,0.004225753744757421,17.009315652222675
25.0,64.0,0.1,15.0,,,0.2592431306838989,0.6661148071289062,0.21109221875667572,0.3871413767337799,0.03947262093424797,0.03961058333516121,0,0,0,0,0.002388491514533575,1.2354596777318252
15.0,64.0,0.1,21.0,1.0046567916870117,0.7183120250701904,0.23719927668571472,0.7568395137786865,0.15028256177902222,0.31569257378578186,0.18935567140579224,0.18884705007076263,0,0,0,0,0.002441733840276017,0.7251665023956679
15.0,64.0,0.1,24.0,0.6421351432800293,0.5750524997711182,0.22492675483226776,0.8245894908905029,0.153177872300148,0.26797062158584595,0.04014638811349869,0.04529235512018204,0,0,0,0,0.004340504301720283,1.2652765781664104
25.0,64.0,0.1,8.0,1.1381391286849976,1.0277259349822998,0.16947516798973083,0.2175813913345337,0.22687742114067078,0.5642136931419373,0.04380514845252037,0.036059629172086716,0,0,0,0,0.004238699610276564,2.027604668225867
5.0,64.0,0.1,27.0,0.6506921648979187,0.5975999236106873,0.2000076323747635,0.7852166295051575,0.15610766410827637,0.2878776788711548,0.06354067474603653,0.07492446154356003,0,0,0,0,0.003236646940140586,0.6020885918118506
15.0,32.0,0.1,20.0,0.6531682014465332,0.586487352848053,0.4129432737827301,1.0069106817245483,0.09880566596984863,0.21028275787830353,0.036176204681396484,0.03653162345290184,0,0,0,0,0.0026703877213822835,12.072686686350306
5.0,32.0,0.1,21.0,0.6590126156806946,0.5887712240219116,0.490569144487381,,0.05962090566754341,0.09926959127187729,0.04432934522628784,0.05940576642751694,0,0,0,0,0.004374937850100125,17.194915131385784
15.0,32.0,0.1,30.0,0.6502299904823303,0.5876281261444092,0.4970847964286804,1.0763061046600342,0.09123160690069199,0.07982631772756577,0.04244450479745865,0.05525529012084007,0,0,0,0,0.004494836002808533,16.909579664860466
