width,batch-time,learning-rate,replicate,beta_percent_err,beta_fit,beta_true,gamma_percent_err,gamma_fit,gamma_true,delta_percent_err,delta_fit,delta_true
15.0,64.0,0.1,11.0,0.47429034092211503,0.7885644886168275,1.5,0.2405994422325041,2.2782016733024877,3.0,0.004932960881185999,0.995067039118814,1.0
25.0,64.0,0.1,4.0,0.597155195796233,0.6042672063056505,1.5,0.16307914801406312,2.5107625559578106,3.0,0.19808697571665101,1.198086975716651,1.0
25.0,32.0,0.1,6.0,10.924326305240134,17.8864894578602,1.5,0.02683715369338587,2.9194885389198424,3.0,0.09407608002583778,1.0940760800258378,1.0
15.0,64.0,0.1,16.0,0.28306724795196275,1.0753991280720558,1.5,0.02203260118181512,2.9339021964545546,3.0,0.20231908575193014,1.2023190857519301,1.0
25.0,32.0,0.1,8.0,11.5618927005302,18.8428390507953,1.5,0.04978763831242228,2.850637085062733,3.0,0.07766501306655016,1.0776650130665502,1.0
15.0,64.0,0.1,4.0,0.5767785690336585,0.6348321464495122,1.5,0.17995727204065215,2.4601281838780436,3.0,0.14245933228891183,1.1424593322889118,1.0
25.0,32.0,0.1,2.0,11.289331810922041,18.43399771638306,1.5,0.06311072476857893,2.810667825694263,3.0,0.07134636588868615,1.0713463658886861,1.0
5.0,64.0,0.1,26.0,0.47398257566764634,0.7890261364985305,1.5,0.11866146866545908,2.6440155940036227,3.0,0.150676865672148,1.150676865672148,1.0
25.0,64.0,0.1,2.0,0.4338349203143628,2.1507523804715443,1.5,0.059863791811510726,2.820408624565468,3.0,0.015345364914204573,1.0153453649142046,1.0
15.0,32.0,0.1,13.0,6.47055794675413,11.205836920131194,1.5,0.08215118366497769,2.753546449005067,3.0,0.08653884917744126,1.0865388491774413,1.0
15.0,32.0,0.1,7.0,10.65531944778924,17.482979171683862,1.5,0.06910996550630093,2.7926701034810972,3.0,0.05674560373344262,1.0567456037334426,1.0
15.0,32.0,0.1,11.0,10.510940636672023,17.266410955008034,1.5,0.0351115178758293,2.894665446372512,3.0,0.08010816759558481,1.0801081675955848,1.0
5.0,32.0,0.1,24.0,10.592641049944746,17.38896157491712,1.5,0.04970692548471837,2.850879223545845,3.0,0.0832297511402047,1.0832297511402047,1.0
25.0,64.0,0.1,10.0,0.594302827098436,0.6085457593523461,1.5,0.18182620561927854,2.4545213831421644,3.0,0.20401020295830952,1.2040102029583095,1.0
15.0,64.0,0.1,13.0,0.29524599965452714,1.9428689994817907,1.5,0.1091399557221074,2.672580132833678,3.0,0.0018561170110307224,0.9981438829889693,1.0
5.0,32.0,0.1,13.0,11.217616803305376,18.326425204958063,1.5,0.04459884180113708,2.8662034745965888,3.0,0.0630855855901935,1.0630855855901935,1.0
5.0,64.0,0.1,19.0,0.6654754147071601,0.5017868779392598,1.5,0.1344993757636105,2.5965018727091684,3.0,0.20512985180412602,1.205129851804126,1.0
15.0,32.0,0.1,25.0,7.887766683499034,13.331650025248551,1.5,0.09422692831230162,2.717319215063095,3.0,0.08614084425863333,1.0861408442586333,1.0
5.0,32.0,0.1,27.0,11.505232028314525,18.75784804247179,1.5,0.024133117895169292,2.927600646314492,3.0,0.08964063747264461,1.0896406374726446,1.0
5.0,32.0,0.1,8.0,8.993914578283002,14.990871867424504,1.5,0.05628011973684514,2.8311596407894646,3.0,0.08573952369816751,1.0857395236981675,1.0
25.0,64.0,0.1,29.0,0.6832557620709224,0.47511635689361625,1.5,0.2340784373211986,2.297764688036404,3.0,0.14673041354935634,1.1467304135493563,1.0
5.0,32.0,0.1,10.0,11.420661340788898,18.63099201118335,1.5,0.031646951241718714,2.905059146274844,3.0,0.08657782647253098,1.086577826472531,1.0
5.0,32.0,0.1,1.0,9.129493454045326,15.194240181067988,1.5,0.07557891427503775,2.7732632571748868,3.0,0.07368612903187954,1.0736861290318795,1.0
5.0,32.0,0.1,14.0,10.255553885190777,16.883330827786164,1.5,0.05493360409183756,2.8351991877244873,3.0,0.05741542753634654,1.0574154275363465,1.0
25.0,64.0,0.1,12.0,0.344951698157226,0.982572452764161,1.5,0.08179513532179043,2.7546145940346287,3.0,0.1550258383102645,1.1550258383102645,1.0
15.0,32.0,0.1,16.0,11.283686890652973,18.42553033597946,1.5,0.04091906907793804,2.877242792766186,3.0,0.0671882572141107,1.0671882572141107,1.0
15.0,64.0,0.1,22.0,0.45466208529423496,0.8180068720586475,1.5,0.4705697094823904,1.5882908715528288,3.0,1.686652495076531,2.686652495076531,1.0
15.0,32.0,0.1,24.0,4.739220077984229,8.608830116976344,1.5,0.07315746596832688,2.7805276020950194,3.0,0.10492261962915683,1.1049226196291568,1.0
5.0,32.0,0.1,2.0,11.775280315837849,19.162920473756774,1.5,0.0549328510324778,2.8352014469025666,3.0,0.05174099553125133,1.0517409955312513,1.0
25.0,64.0,0.1,14.0,0.4197235228642539,0.8704147157036192,1.5,0.05906044481111753,2.8228186655666474,3.0,0.19358394247138944,1.1935839424713894,1.0
15.0,64.0,0.1,19.0,0.7260108323400406,0.4109837514899391,1.5,0.2994895645136905,2.1015313064589285,3.0,0.1199633712114121,1.119963371211412,1.0
15.0,64.0,0.1,18.0,6.922582908444261,11.883874362666392,1.5,0.13520944003222532,2.594371679903324,3.0,0.0036082052737196335,1.0036082052737196,1.0
25.0,32.0,0.1,5.0,10.942749575279862,17.914124362919793,1.5,0.0469776188047765,2.8590671435856705,3.0,0.06649477883253208,1.066494778832532,1.0
