width,batch-time,learning-rate,replicate,J0_percent_err,J0_fit,J0_true,k2_percent_err,k2_fit,k2_true,k3_percent_err,k3_fit,k3_true,k4_percent_err,k4_fit,k4_true,k5_percent_err,k5_fit,k5_true,k6_percent_err,k6_fit,k6_true,k_percent_err,k_fit,k_true,kappa_percent_err,kappa_fit,kappa_true,psi_percent_err,psi_fit,psi_true,N_percent_err,N_fit,N_true,A_percent_err,A_fit,A_true
15.0,32.0,0.1,20.0,1.0358673831589727e-06,2.500002589668458,2.5,2.754348831235376e-06,6.000016526092987,6.0,1.794624117312793e-06,16.000028713985877,16.0,5.866020899247815e-08,100.0000058660209,100,2.396524217095075e-06,1.280003067550998,1.28,8.578592779843556e-07,11.999989705688664,12.0,2.5429309527227574e-06,1.7999954227242851,1.8,1.3784970850959046e-06,12.999982079537894,13.0,6.907438718117831e-05,0.09999309256128189,0.1,3.543582420828528e-07,1.000000354358242,1.0,8.282469361464706e-07,4.000003312987745,4.0
5.0,32.0,0.1,21.0,4.9367293186719505e-08,2.499999876581767,2.5,2.1485779970002264e-07,6.000001289146798,6.0,1.4465525155493708e-07,15.999997685515975,16.0,3.527847468376422e-07,99.99996472152532,100,1.2529343000958204e-05,1.2800160375590413,1.28,8.808829495462097e-07,12.000010570595395,12.0,1.2041135291691103e-05,1.800021674043525,1.8,1.102157387304732e-06,12.999985671953965,13.0,0.00010847242155845316,0.10001084724215585,0.1,6.036934063646804e-06,0.9999939630659364,1.0,1.967963102034176e-06,3.999992128147592,4.0
15.0,32.0,0.1,30.0,7.410443164168612e-06,2.4999814738920896,2.5,3.0137660681125076e-06,5.999981917403591,6.0,1.2457663189913148e-07,16.00000199322611,16.0,2.3286753048523678e-07,99.99997671324695,100,4.439413158786876e-06,1.2800056824488433,1.28,2.6700743287477735e-06,12.000032040891945,12.0,4.153764162382087e-06,1.8000074767754923,1.8,2.402089712096365e-07,12.999996877283374,13.0,4.0758870717277906e-05,0.09999592411292828,0.1,3.6262213834792334e-05,1.0000362622138348,1.0,8.150974065701533e-07,3.9999967396103737,4.0
5.0,64.0,0.1,13.0,1.0034264245817326e-05,2.5000250856606145,2.5,2.914042521654873e-06,5.99998251574487,6.0,3.3125421838864355e-07,15.999994699932506,16.0,2.794984395393385e-07,100.00002794984395,100,7.91532860210803e-06,1.2799898683793893,1.28,6.321295537385178e-07,12.000007585554645,12.0,5.562530325242676e-07,1.8000010012554586,1.8,1.8862200198336373e-07,13.000002452086026,13.0,0.00032360847756054967,0.10003236084775606,0.1,2.656621946894866e-05,1.000026566219469,1.0,2.9959726055572844e-06,3.9999880161095778,4.0
25.0,64.0,0.1,6.0,1.1308472830862115e-05,2.500028271182077,2.5,5.014074448972394e-07,5.999996991555331,6.0,2.6294511612512395e-07,16.000004207121858,16.0,4.8069499172243014e-08,99.99999519305008,100,1.5001391211189041e-05,1.2799807982192497,1.28,3.5944047072078433e-07,11.999995686714351,12.0,3.2172569855129198e-06,1.800005791062574,1.8,8.304364566942451e-07,12.999989204326063,13.0,5.878696851938092e-05,0.10000587869685194,0.1,1.3266639137254899e-05,0.9999867333608627,1.0,8.095438523980647e-06,4.000032381754096,4.0
5.0,32.0,0.1,29.0,3.746006102645083e-06,2.5000093650152566,2.5,7.2546702683714175e-06,6.00004352802161,6.0,6.276715300845837e-07,15.999989957255519,16.0,3.366324227727091e-07,100.00003366324228,100,1.7421565259856386e-05,1.2799777003964674,1.28,1.101709999525487e-06,12.000013220519994,12.0,1.3897439941438586e-05,1.8000250153918946,1.8,6.788910422546206e-07,13.00000882558355,13.0,0.00015872735926097947,0.1000158727359261,0.1,5.970091866869254e-06,0.9999940299081331,1.0,3.935336778448928e-06,3.999984258652886,4.0
25.0,32.0,0.1,15.0,2.315930068697014e-06,2.5000057898251717,2.5,1.5888668530491163e-06,6.000009533201118,6.0,6.843616842111544e-07,15.999989050213053,16.0,1.3073672917585099e-07,100.00001307367292,100,4.59415429344967e-06,1.2800058805174956,1.28,2.0717752574247092e-06,11.999975138696911,12.0,2.2505525882528705e-05,1.8000405099465886,1.8,5.49769517022014e-07,13.000007147003721,13.0,0.000185325770273026,0.10001853257702731,0.1,1.7920103902113738e-05,0.9999820798960979,1.0,4.8197039719255486e-06,4.000019278815888,4.0
5.0,64.0,0.1,29.0,8.015697748753326e-06,2.499979960755628,2.5,6.355965778877722e-07,6.000003813579467,6.0,9.108480556463405e-07,16.00001457356889,16.0,2.8876299467128773e-08,99.99999711237005,100,2.4978402417621948e-06,1.2799968027644906,1.28,5.691719352126275e-07,11.999993169936777,12.0,1.020813967319197e-05,1.8000183746514118,1.8,9.60024668581984e-07,13.000012480320692,13.0,0.00044508692161826513,0.10004450869216183,0.1,2.08624581550243e-05,0.999979137541845,1.0,1.7917452246329901e-06,3.9999928330191015,4.0
15.0,64.0,0.1,15.0,4.703697643115845e-06,2.499988240755892,2.5,1.827868579162839e-06,5.999989032788525,6.0,2.5910024747943794e-07,16.00000414560396,16.0,3.1579858301711286e-08,99.99999684201417,100,7.110944834701205e-06,1.2799908979906116,1.28,2.6888492620595153e-06,11.999967733808855,12.0,1.1451772675820216e-06,1.7999979386809184,1.8,2.9713991349484996e-07,12.999996137181125,13.0,3.6041602897718406e-05,0.09999639583971023,0.1,1.8434650737031433e-06,1.0000018434650737,1.0,2.4592406961954083e-06,4.000009836962785,4.0
5.0,64.0,0.1,3.0,9.799334669935434e-07,2.5000024498336675,2.5,1.824655561607121e-06,6.00001094793337,6.0,9.478731541889829e-07,16.000015165970467,16.0,1.3561101638970285e-07,99.99998643889836,100,1.5849352111990678e-06,1.2799979712829297,1.28,1.2870757326588489e-06,12.000015444908792,12.0,5.505864410566059e-06,1.800009910555939,1.8,1.4611486956430151e-06,12.999981005066957,13.0,0.00014536740144552307,0.09998546325985545,0.1,1.9553388098447755e-05,0.9999804466119016,1.0,5.672157822211865e-06,3.999977311368711,4.0
15.0,64.0,0.1,11.0,1.5448322157496363e-06,2.4999961379194606,2.5,6.744903127871756e-07,5.999995953058123,6.0,4.5774279744392743e-07,15.999992676115241,16.0,1.3254272047902303e-07,100.00001325427205,100,8.027492366322053e-06,1.280010275190229,1.28,7.628186593500175e-07,12.000009153823912,12.0,5.063901899656405e-06,1.8000091150234194,1.8,1.0235934107837552e-06,13.00001330671434,13.0,3.21782031900697e-05,0.099996782179681,0.1,7.935700832684134e-06,1.0000079357008327,1.0,4.635274805320222e-06,4.000018541099221,4.0
25.0,64.0,0.1,4.0,,,2.5,,,6.0,,,16.0,,,100,,,1.28,,,12.0,,,1.8,,,13.0,,,0.1,,,1.0,,,4.0
25.0,32.0,0.1,6.0,3.4278472606175115e-06,2.4999914303818485,2.5,1.9797633831567887e-06,5.999988121419701,6.0,1.043409997292244e-06,16.000016694559957,16.0,1.722476010002083e-07,100.0000172247601,100,3.119287987230629e-05,1.2799600731137635,1.28,1.2417746164672394e-07,11.99999850987046,12.0,1.467739775150455e-06,1.7999973580684048,1.8,2.4479127320047996e-07,12.999996817713448,13.0,6.361745737148983e-07,0.10000006361745738,0.1,5.049778099230906e-06,0.9999949502219008,1.0,6.728748298767684e-06,4.000026914993195,4.0
