width,batch-time,learning-rate,replicate,known_param_strict_train_rmse,known_param_strict_test_rmse,known_param_loose_train_rmse,known_param_loose_test_rmse,unknown_param_train_rmse,unknown_param_test_rmse,NODE_train_rmse,NODE_test_rmse,known_param_strict_attempts,known_param_loose_attempts,unknown_param_attempts,NODE_attempts,loose_param_err,unknown_param_err
25.0,32.0,0.1,2.0,0.20590156316757202,0.30177515745162964,0.13362103700637817,0.18628905713558197,0.2660871744155884,0.25734516978263855,0.15299290418624878,0.17067715525627136,1,3,2,1,0.00012483323015378966,27.514813539578846
5.0,64.0,0.1,26.0,0.17096996307373047,0.30433493852615356,0.1910102218389511,0.29269498586654663,0.20273207128047943,0.18229256570339203,0.26818013191223145,0.18417847156524658,1,1,1,1,0.00013062565811403082,31.717252407282615
25.0,64.0,0.1,2.0,,,,,,,0.18213443458080292,0.5850563049316406,50,50,50,1,,
15.0,32.0,0.1,13.0,0.2512030005455017,0.20723900198936462,0.2877652049064636,0.18915453553199768,0.37438541650772095,0.2814027667045593,0.11712829023599625,0.1065555065870285,1,1,3,1,0.00010381159284265917,27.05440059549475
15.0,32.0,0.1,7.0,0.28172844648361206,0.3158806562423706,0.3561684489250183,0.44112417101860046,0.48944994807243347,0.5077038407325745,0.10303190350532532,0.29624536633491516,2,1,1,1,0.00010416307813787551,26.804857872725826
15.0,32.0,0.1,11.0,0.41746610403060913,0.4694890081882477,0.364597886800766,0.3860684335231781,0.4943307340145111,0.5440779328346252,0.14271250367164612,0.24294906854629517,1,1,2,1,0.00013360432422664104,26.731827029819453
5.0,32.0,0.1,24.0,0.16018696129322052,0.07997820526361465,0.18686123192310333,0.10864231735467911,,,0.20670054852962494,0.5710352659225464,1,1,50,1,0.00011737415247978222,
25.0,64.0,0.1,10.0,0.13619618117809296,0.39076972007751465,,,0.15998391807079315,0.3884337544441223,0.1509592980146408,0.4720767140388489,16,50,14,1,,31.522815073418233
15.0,64.0,0.1,13.0,0.20046797394752502,0.4448694586753845,0.2172774076461792,0.42687687277793884,0.21789823472499847,0.36780136823654175,0.16673804819583893,0.39203518629074097,9,11,3,1,0.00014682566781512585,23.292270258967456
5.0,32.0,0.1,13.0,0.1802009642124176,0.16711914539337158,0.17529769241809845,0.22148968279361725,0.10254427790641785,0.19218365848064423,0.4405568242073059,0.45807406306266785,1,1,1,1,0.000151575181391167,25.097408771439316
5.0,64.0,0.1,19.0,0.16870670020580292,0.1395462602376938,0.14307929575443268,0.10960759967565536,0.18038342893123627,0.1494903564453125,0.3181598484516144,0.5443256497383118,2,2,1,1,0.0001454144143328978,27.099125610517
15.0,32.0,0.1,25.0,0.1521608829498291,0.13217806816101074,0.13519304990768433,0.08628467470407486,0.13650238513946533,0.12108297646045685,0.17050132155418396,0.14676477015018463,1,1,1,1,9.425779272086154e-05,22.768114337761467
5.0,32.0,0.1,27.0,0.5220312476158142,0.6088271737098694,0.1969073861837387,0.11579500138759613,0.2894330620765686,0.2870934307575226,0.29164114594459534,0.21819765865802765,1,1,1,1,7.478415862562093e-05,44.47835048335457
5.0,32.0,0.1,8.0,0.21896864473819733,0.19275231659412384,0.22663679718971252,0.2147679477930069,,,0.28509029746055603,0.6098478436470032,1,1,50,1,0.00015317784716761818,
25.0,64.0,0.1,29.0,,,,,0.2023155391216278,0.3985927999019623,0.19629840552806854,0.5160883665084839,50,50,3,1,,33.309017604389375
5.0,32.0,0.1,10.0,0.37292903661727905,0.2601257264614105,0.23093388974666595,0.1999731808900833,0.24541547894477844,0.19042930006980896,0.3590276539325714,0.6223511099815369,1,1,1,1,8.435764244660304e-05,37.27604262682947
5.0,32.0,0.1,1.0,0.14087501168251038,0.12750792503356934,0.12292076647281647,0.09649515897035599,0.38403987884521484,0.42576369643211365,0.26067647337913513,0.5361124873161316,1,1,1,1,0.00010567250912521531,29.979818489682568
5.0,32.0,0.1,14.0,0.19078221917152405,0.19432762265205383,0.24853862822055817,0.21378657221794128,0.18422842025756836,0.14321590960025787,0.2739144265651703,0.23776033520698547,1,1,1,1,0.00011519267956990042,34.3052141157961
25.0,64.0,0.1,12.0,0.17213813960552216,0.4535302519798279,,,0.17263060808181763,0.4667966961860657,0.13670751452445984,0.4210122227668762,41,50,40,1,,27.201274998585795
15.0,32.0,0.1,16.0,0.18844778835773468,0.06912104040384293,0.15330469608306885,0.0951484963297844,0.23387277126312256,0.1306406557559967,0.13109415769577026,0.23972339928150177,1,1,1,1,0.00013010547016394092,23.388374115625307
