Train Loss,Test Loss,Replicate,Size
0.5143722891807556,0.9858295917510986,0,5
0.38100066781044006,1.1558496952056885,1,5
0.5491428971290588,0.8661257028579712,2,5
0.3264763355255127,1.0105611085891724,3,5
0.4204661250114441,1.2261801958084106,4,5
0.3103518486022949,0.7592523694038391,5,5
0.5410774946212769,0.9796969890594482,6,5
0.4293572008609772,0.8925054669380188,7,5
0.47536033391952515,1.021070957183838,8,5
0.41900521516799927,1.180840015411377,9,5
0.24420498311519623,0.6296112537384033,10,5
0.5133207440376282,,11,5
0.43594998121261597,0.8818979263305664,12,5
0.39959385991096497,0.7475532293319702,13,5
0.2823311984539032,0.5548582673072815,14,5
0.4382725656032562,1.0507551431655884,15,5
0.43391966819763184,1.1739197969436646,16,5
0.45618104934692383,0.7152605652809143,17,5
0.2923341691493988,0.5496132373809814,18,5
0.569137692451477,1.2965048551559448,19,5
0.35411202907562256,1.0087798833847046,20,5
0.5402697324752808,1.3321003913879395,21,5
0.3714333176612854,1.0743705034255981,22,5
0.4772128164768219,1.0250091552734375,23,5
0.43484580516815186,,24,5
0.36739033460617065,,25,5
0.5092775821685791,0.88812255859375,26,5
0.5482045412063599,0.7581636309623718,27,5
0.4382651150226593,0.9363409876823425,28,5
0.5803399085998535,1.0560592412948608,29,5
0.34804219007492065,0.6842861771583557,0,10
,,1,10
,,2,10
0.2662622332572937,0.5781443119049072,3,10
0.3060101866722107,0.6817285418510437,4,10
0.5376366972923279,0.898109495639801,5,10
0.33116042613983154,0.9537020921707153,6,10
0.28047704696655273,0.7186038494110107,7,10
0.7232703566551208,0.6042241454124451,8,10
0.3897588551044464,0.8279584050178528,9,10
0.4026341140270233,1.0996406078338623,10,10
0.32131534814834595,2.051513671875,11,10
0.3403514623641968,1.0720869302749634,12,10
0.38726362586021423,1.1149253845214844,13,10
0.43635228276252747,,14,10
0.3987014591693878,0.9963587522506714,15,10
0.334805965423584,0.9006748199462891,16,10
,,17,10
0.4550151228904724,1.0487394332885742,18,10
0.3015217185020447,0.9558038115501404,19,10
12.740432739257812,25.40373420715332,20,10
0.46095705032348633,1.0734444856643677,21,10
0.35586196184158325,0.7382335066795349,22,10
0.6364045143127441,0.9522624015808105,23,10
0.3903113901615143,2.9331164360046387,24,10
0.45203787088394165,1.1637972593307495,25,10
0.5358321666717529,0.9800580739974976,26,10
0.3807246685028076,0.6791837811470032,27,10
0.40252697467803955,0.996870756149292,28,10
0.2968994677066803,0.5185363292694092,29,10
,,0,15
,,1,15
0.2807261347770691,0.6236376166343689,2,15
0.3585563898086548,0.877483606338501,3,15
0.4723185896873474,1.1724128723144531,4,15
0.300188273191452,0.6746217012405396,5,15
1.405909776687622,1.5166263580322266,6,15
,,7,15
0.291131854057312,0.7431262135505676,8,15
0.36795759201049805,0.9845702052116394,9,15
0.8548056483268738,3.5276098251342773,10,15
0.340542197227478,0.9618420004844666,11,15
0.3295815587043762,1.0695992708206177,12,15
0.38787204027175903,0.7674570679664612,13,15
0.31779757142066956,0.9234562516212463,14,15
,,15,15
15.850573539733887,31.97907066345215,16,15
0.28503793478012085,0.5148955583572388,17,15
1.2772504091262817,1.1372133493423462,18,15
0.3837928771972656,0.9185976386070251,19,15
,,20,15
,,21,15
0.3987594544887543,0.5584339499473572,22,15
,,23,15
0.25421279668807983,0.6333927512168884,24,15
0.3465811610221863,1.0088425874710083,25,15
0.8131824135780334,0.8733733296394348,26,15
0.8712289929389954,0.6094489693641663,27,15
0.351225882768631,1.0385913848876953,28,15
,,29,15
,,0,20
16.627763748168945,40.98499298095703,1,20
11.092987060546875,22.256872177124023,2,20
,,3,20
,,4,20
0.5720651149749756,0.5569360256195068,5,20
,,6,20
,,7,20
1.1015979051589966,1.3677442073822021,8,20
,,9,20
,,10,20
1.2710944414138794,1.4366023540496826,11,20
,,12,20
0.7989105582237244,0.6432121396064758,13,20
0.37216079235076904,0.735889196395874,14,20
0.38174474239349365,0.5250617861747742,15,20
0.6063777804374695,0.5235729217529297,16,20
0.6352096796035767,0.6498831510543823,17,20
,,18,20
,,19,20
1.2489725351333618,1.270451307296753,20,20
,,21,20
2.6496963500976562,2.9813783168792725,22,20
0.5046125054359436,,23,20
,,24,20
,,25,20
,,26,20
,,27,20
,,28,20
,,29,20
,,0,25
1.0840028524398804,1.1245921850204468,1,25
0.5534730553627014,0.5081114172935486,2,25
0.5285893678665161,0.5324130058288574,3,25
,,4,25
,,5,25
0.5546810030937195,0.5221426486968994,6,25
0.8569478988647461,0.681861162185669,7,25
0.4029771089553833,0.9314150214195251,8,25
0.3810880780220032,0.5310478806495667,9,25
0.7580501437187195,0.8222360610961914,10,25
,,11,25
,,12,25
,,13,25
,,14,25
,,15,25
,,16,25
,,17,25
,,18,25
,,19,25
,,20,25
,,21,25
5.800374507904053,10.2051362991333,22,25
1.3442988395690918,,23,25
,,24,25
,,25,25
,,26,25
0.7959364652633667,4.706212520599365,27,25
,,28,25
,,29,25
0.40197211503982544,0.36441418528556824,0,30
,,1,30
,,2,30
,,3,30
0.6406302452087402,,4,30
,,5,30
5.151791572570801,20.24603843688965,6,30
0.5009961128234863,,7,30
,,8,30
0.5890188813209534,0.597215473651886,9,30
,,10,30
,,11,30
,,12,30
,,13,30
11.390377044677734,22.796110153198242,14,30
,,15,30
0.4688437879085541,1.1770411729812622,16,30
,,17,30
,,18,30
1.013601303100586,1.1807827949523926,19,30
,,20,30
0.7238255739212036,0.5534015893936157,21,30
16.94757652282715,30.56987190246582,22,30
,,23,30
0.4034232795238495,0.3873194456100464,24,30
,,25,30
,,26,30
,,27,30
,,28,30
,,29,30
