SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
738.483764648437,0.683230519294739,112.990439891815,157,1,(10),5000,150,16,256
576.944702148438,0.603898346424103,115.437772035599,157,1,(10),5000,150,16,256
85.0928039550781,0.231922656297684,116.379400968552,157,1,(10),5000,150,16,256
541.291381835937,0.584941327571869,116.268515110016,157,1,(10),5000,150,16,256
602.736694335938,0.617249250411987,116.637672662735,157,1,(10),5000,150,16,256
288.7119140625,0.427197903394699,118.710724592209,157,1,(10),5000,150,16,256
1000.75964355469,0.795356154441834,119.016733646393,157,1,(10),5000,150,16,256
799.300964355469,0.710807383060455,118.882402658463,157,1,(10),5000,150,16,256
304.384765625,0.438639998435974,117.445415496826,157,1,(10),5000,150,16,256
116.980316162109,0.271927505731583,119.524105072022,157,1,(10),5000,150,16,256
346.055786132812,0.467702627182007,122.433298587799,307,1,(20),5000,150,16,256
686.084716796875,0.658545255661011,123.279356956482,307,1,(20),5000,150,16,256
526.277099609375,0.576771795749664,127.463173151016,307,1,(20),5000,150,16,256
173.126724243164,0.330810129642487,124.642292022705,307,1,(20),5000,150,16,256
419.995635986328,0.515251338481903,124.148300647736,307,1,(20),5000,150,16,256
534.467407226563,0.581242501735687,123.38947892189,307,1,(20),5000,150,16,256
77.7097015380859,0.221632972359657,125.603236436844,307,1,(20),5000,150,16,256
74.6298828125,0.217196673154831,124.660700321198,307,1,(20),5000,150,16,256
737.209716796875,0.682640850543976,124.228944063187,307,1,(20),5000,150,16,256
22.7862873077393,0.120014451444149,125.074723482132,307,1,(20),5000,150,16,256
18.1492462158203,0.107109017670155,133.406576395035,457,1,(30),5000,150,16,256
466.324035644531,0.542926013469696,128.764792919159,457,1,(30),5000,150,16,256
146.669799804688,0.304485857486725,129.892288446426,457,1,(30),5000,150,16,256
236.123977661133,0.386337459087372,131.052204608917,457,1,(30),5000,150,16,256
79.4920501708984,0.224160254001617,129.091748714447,457,1,(30),5000,150,16,256
137.662322998047,0.294987976551056,127.499721050262,457,1,(30),5000,150,16,256
57.3922576904297,0.190468609333038,131.185082674026,457,1,(30),5000,150,16,256
54.8362045288086,0.186178892850876,132.16651391983,457,1,(30),5000,150,16,256
222.089248657227,0.374680012464523,129.412137269974,457,1,(30),5000,150,16,256
375.773284912109,0.487371027469635,129.022067308426,457,1,(30),5000,150,16,256
11.9574069976807,0.0869391262531281,134.294899702072,607,1,(40),5000,150,16,256
46.3903579711914,0.171242132782936,133.775303840637,607,1,(40),5000,150,16,256
178.464126586914,0.335870772600174,133.653629541397,607,1,(40),5000,150,16,256
106.947052001953,0.260004699230194,131.880076408386,607,1,(40),5000,150,16,256
149.134506225586,0.307033538818359,133.83011007309,607,1,(40),5000,150,16,256
70.3370361328125,0.210857376456261,130.495507717133,607,1,(40),5000,150,16,256
180.805358886719,0.338066726922989,134.719851255417,607,1,(40),5000,150,16,256
18.3409538269043,0.107673220336437,134.615359544754,607,1,(40),5000,150,16,256
19.1753559112549,0.110095225274563,131.851095199585,607,1,(40),5000,150,16,256
187.6875,0.344440668821335,136.60471868515,607,1,(40),5000,150,16,256
72.6616516113281,0.214313432574272,142.771092653275,757,1,(50),5000,150,16,256
94.8633117675781,0.244875818490982,135.743515253067,757,1,(50),5000,150,16,256
39.4900703430176,0.157994046807289,143.39564704895,757,1,(50),5000,150,16,256
147.986373901367,0.305849403142929,137.305036067963,757,1,(50),5000,150,16,256
22.7559127807617,0.119934439659119,136.319090843201,757,1,(50),5000,150,16,256
55.0723190307617,0.186579287052155,139.737054824829,757,1,(50),5000,150,16,256
26.4020671844482,0.129186078906059,138.461838960648,757,1,(50),5000,150,16,256
247.362152099609,0.395424336194992,138.004919052124,757,1,(50),5000,150,16,256
11.4398727416992,0.085036888718605,137.079994916916,757,1,(50),5000,150,16,256
51.4891128540039,0.180407449603081,137.41129565239,757,1,(50),5000,150,16,256
986.828552246094,0.789800882339478,45.4148516654968,157,1,(10),5000,150,16,256
436.700927734375,0.52539849281311,45.8403673171997,157,1,(10),5000,150,16,256
306.503662109375,0.440164059400559,48.0762546062469,157,1,(10),5000,150,16,256
249.609252929688,0.397216320037842,46.8099873065949,157,1,(10),5000,150,16,256
231.478881835937,0.382518500089645,47.8473043441772,157,1,(10),5000,150,16,256
300.729614257812,0.435998380184174,49.7629337310791,307,1,(20),5000,150,16,256
78.9749984741211,0.223430037498474,49.5678951740265,307,1,(20),5000,150,16,256
499.961822509766,0.562166750431061,49.5426571369171,307,1,(20),5000,150,16,256
134.090835571289,0.291136264801025,49.80553150177,307,1,(20),5000,150,16,256
270.227294921875,0.413296163082123,49.4437139034271,307,1,(20),5000,150,16,256
252.548263549805,0.39954799413681,51.6924984455109,457,1,(30),5000,150,16,256
316.852416992187,0.447533220052719,51.7544059753418,457,1,(30),5000,150,16,256
148.215560913086,0.306086152791977,51.9124112129211,457,1,(30),5000,150,16,256
409.355346679688,0.508682727813721,51.5220220088959,457,1,(30),5000,150,16,256
973.11767578125,0.784294962882996,51.8340277671814,457,1,(30),5000,150,16,256
140.821823120117,0.298353910446167,53.04456782341,607,1,(40),5000,150,16,256
488.732238769531,0.555817544460297,53.2918717861176,607,1,(40),5000,150,16,256
411.057586669922,0.509739279747009,52.9962801933289,607,1,(40),5000,150,16,256
534.731506347656,0.581386089324951,52.500757932663,607,1,(40),5000,150,16,256
478.264434814453,0.549832999706268,52.7127466201782,607,1,(40),5000,150,16,256
159.966690063477,0.317988604307175,57.4572224617004,757,1,(50),5000,150,16,256
