SSE,RMSE,TimeTaken,NumParams,Mechanistic Error,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
507.347106933594,1.82696735858917,38.5557389259338,12,6.77412812992785,1,(2),5000,50,16,256
525.040161132813,1.85855090618134,38.3267209529877,12,6.77883305655909,1,(2),5000,50,16,256
517.63525390625,1.84539842605591,38.1529595851898,12,6.83064674071269,1,(2),5000,50,16,256
523.66064453125,1.85610771179199,38.6575181484222,12,6.74084413127013,1,(2),5000,50,16,256
7.0362286567688,0.215153381228447,39.1010806560516,22,8.64559137763455,1,(4),5000,50,16,256
8.29759502410889,0.23364382982254,39.8534097671509,22,8.51529075689148,1,(4),5000,50,16,256
13.8331413269043,0.301674515008926,39.1317744255066,22,8.34706535854843,1,(4),5000,50,16,256
13.8162708282471,0.301490485668182,39.6667895317078,22,9.43043840312632,1,(4),5000,50,16,256
7.40023899078369,0.220648542046547,39.860369682312,32,8.46913152899906,1,(6),5000,50,16,256
7.31584978103638,0.219386845827103,40.8320055007935,32,9.1414759541396,1,(6),5000,50,16,256
5.88006734848022,0.196684151887894,40.6617040634155,32,8.26905345767504,1,(6),5000,50,16,256
35.3068618774414,0.481956422328949,40.8395593166351,32,7.49273420393059,1,(6),5000,50,16,256
6.28967905044556,0.203419432044029,41.188915014267,42,8.82018595329893,1,(8),5000,50,16,256
7.31064033508301,0.219308733940125,41.1534578800201,42,8.09777653029421,1,(8),5000,50,16,256
3.39950323104858,0.149549826979637,41.720999956131,42,8.60003842881881,1,(8),5000,50,16,256
9.5511589050293,0.250672250986099,41.0318870544434,42,8.02984964544419,1,(8),5000,50,16,256
3.10309076309204,0.142881318926811,56.8215773105621,52,7.72971484614536,1,(10),5000,50,16,256
14.7528676986694,0.311541885137558,57.4223515987396,52,7.73363411851227,1,(10),5000,50,16,256
5.0020809173584,0.181406810879707,56.4583787918091,52,7.59613552796654,1,(10),5000,50,16,256
5.48380994796753,0.189941301941872,56.7106511592865,52,8.49468092971481,1,(10),5000,50,16,256
8.57521629333496,0.237520307302475,56.7379622459412,62,7.14447404726408,1,(12),5000,50,16,256
4.78462982177734,0.177419915795326,56.6962857246399,62,8.27312822397798,1,(12),5000,50,16,256
7.94784069061279,0.228666618466377,56.9564545154572,62,7.84667089770082,1,(12),5000,50,16,256
4.42894554138184,0.170697972178459,56.8392019271851,62,7.52267916347831,1,(12),5000,50,16,256
2.61123752593994,0.131069421768188,57.2051000595093,72,7.57039121905342,1,(14),5000,50,16,256
3.99108529090881,0.162040546536446,57.2829020023346,72,7.54432782475837,1,(14),5000,50,16,256
4.62076473236084,0.174355298280716,57.2872409820557,72,7.59732916989364,1,(14),5000,50,16,256
4.16270542144775,0.165487825870514,57.3589301109314,72,7.34882097172667,1,(14),5000,50,16,256
3.6802089214325,0.155601739883423,56.8771984577179,82,7.43496353588067,1,(16),5000,50,16,256
5.24856805801392,0.185822650790215,56.8429362773895,82,7.60414789020084,1,(16),5000,50,16,256
7.77680397033691,0.226192802190781,56.7087523937225,82,7.48954554928467,1,(16),5000,50,16,256
4.20344972610474,0.166295751929283,56.8397560119629,82,7.38234462740365,1,(16),5000,50,16,256
10.647762298584,0.264671623706818,58.1402544975281,92,7.2988145846501,1,(18),5000,50,16,256
1.72693347930908,0.106589891016483,58.0490086078644,92,7.37683510413393,1,(18),5000,50,16,256
2.80178666114807,0.135767474770546,57.9731652736664,92,7.13730714751408,1,(18),5000,50,16,256
7.48001384735107,0.221834659576416,58.0870718955994,92,7.64396371267736,1,(18),5000,50,16,256
4.45673227310181,0.171232610940933,58.9301073551178,102,7.08300058078021,1,(20),5000,50,16,256
2.51475524902344,0.128625199198723,58.8641626834869,102,7.17219670521561,1,(20),5000,50,16,256
4.19317531585693,0.16609238088131,58.6698365211487,102,7.30417190046981,1,(20),5000,50,16,256
3.73679327964783,0.156793385744095,58.5538668632507,102,7.13891106319614,1,(20),5000,50,16,256
3.51304340362549,0.152026727795601,58.9981551170349,112,7.29802293466404,1,(22),5000,50,16,256
3.91518378257751,0.160492330789566,58.7496230602264,112,6.93740565929562,1,(22),5000,50,16,256
5.11852645874023,0.183506175875664,59.1970663070679,112,7.33474664885085,1,(22),5000,50,16,256
2.68650126457214,0.132944911718369,58.9498653411865,112,7.21429995035753,1,(22),5000,50,16,256
2.31713008880615,0.123467713594437,58.6344676017761,122,7.34381985606626,1,(24),5000,50,16,256
3.33746147155762,0.148178890347481,58.7656733989716,122,7.35654094761238,1,(24),5000,50,16,256
2.54503130912781,0.129397168755531,58.9404242038727,122,7.09786604613997,1,(24),5000,50,16,256
2.39638733863831,0.125561565160751,59.0183844566345,122,7.14571794544347,1,(24),5000,50,16,256
4.34405469894409,0.16905415058136,59.7615365982056,132,6.96295464540832,1,(26),5000,50,16,256
3.45699501037598,0.150809109210968,59.6617069244385,132,7.12129054948222,1,(26),5000,50,16,256
7.44455146789551,0.221308186650276,59.9292697906494,132,7.26766755006276,1,(26),5000,50,16,256
2.76616883277893,0.134901732206345,60.9887189865112,132,7.14920910916291,1,(26),5000,50,16,256
2.24647855758667,0.121570818126202,60.0599462985992,142,7.05016047957353,1,(28),5000,50,16,256
5.65240144729614,0.192838922142982,60.0914390087128,142,7.35721523850225,1,(28),5000,50,16,256
3.81648731231689,0.158456519246101,60.4345202445984,142,6.84911503183655,1,(28),5000,50,16,256
2.63765740394592,0.131730824708939,60.4970979690552,142,7.22240752457641,1,(28),5000,50,16,256
4.79608249664307,0.177632138133049,60.769805431366,152,7.27878849030007,1,(30),5000,50,16,256
2.40932130813599,0.125899955630302,60.8209025859833,152,6.81234302182682,1,(30),5000,50,16,256
2.14568710327148,0.118812300264835,60.7327575683594,152,6.9563096816279,1,(30),5000,50,16,256
3.54104447364807,0.152631402015686,60.417947769165,152,6.91844805827364,1,(30),5000,50,16,256
486.876068115234,1.78972959518433,36.9910979270935,12,6.86890194804873,1,(2),5000,50,16,256
7.43973350524902,0.221236556768417,37.4381611347198,22,8.50642016646918,1,(4),5000,50,16,256
15.0906620025635,0.315088361501694,38.6621606349945,32,8.11944143435918,1,(6),5000,50,16,256
7.06053638458252,0.215524703264236,39.1306972503662,42,8.20887873601634,1,(8),5000,50,16,256
4.01618194580078,0.16254922747612,57.3533704280853,52,8.26023344358895,1,(10),5000,50,16,256
3.02066278457642,0.140970855951309,55.0276532173157,62,7.27847205384169,1,(12),5000,50,16,256
6.27727603912354,0.203218773007393,55.1416954994202,72,7.67118708188646,1,(14),5000,50,16,256
3.53670954704285,0.152537956833839,54.7286412715912,82,7.44169268346392,1,(16),5000,50,16,256
3.28114867210388,0.146923467516899,55.8583359718323,92,7.49697911082767,1,(18),5000,50,16,256
1.20506286621094,0.089039571583271,56.6496984958649,102,6.60466538223438,1,(20),5000,50,16,256
5.34576988220215,0.187535434961319,56.9485731124878,112,7.17294185948558,1,(22),5000,50,16,256
6.24788475036621,0.202742457389832,56.9172859191895,122,6.97546416558325,1,(24),5000,50,16,256
2.43336462974548,0.126526594161987,58.0670247077942,132,6.91092673784122,1,(26),5000,50,16,256
