Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,840.4999389648438,2.351511240005493,380.0205409526825,12,1,(2),10000,50,16,256
0,46.61576843261719,0.5537893772125244,387.2353596687317,22,1,(4),10000,50,16,256
0,30.867244720458984,0.4506373107433319,391.1413972377777,32,1,(6),10000,50,16,256
0,55.29962158203125,0.6031693816184998,395.5418915748596,42,1,(8),10000,50,16,256
0,41.485748291015625,0.5224294662475586,402.21789050102234,52,1,(10),10000,50,16,256
0,29.555179595947266,0.4409557580947876,405.39392924308777,62,1,(12),10000,50,16,256
0,19.077674865722656,0.35427534580230713,410.1060845851898,72,1,(14),10000,50,16,256
0,21.275541305541992,0.37412652373313904,408.24052262306213,82,1,(16),10000,50,16,256
0,16.32280921936035,0.3276994228363037,414.13655042648315,92,1,(18),10000,50,16,256
0,16.38329315185547,0.3283059895038605,445.20080828666687,102,1,(20),10000,50,16,256
0,10.026934623718262,0.256839781999588,441.37163519859314,112,1,(22),10000,50,16,256
0,16.64824104309082,0.330949991941452,447.90324687957764,122,1,(24),10000,50,16,256
0,19.156982421875,0.3550109565258026,453.736620426178,132,1,(26),10000,50,16,256
0,6.275984764099121,0.20319786667823792,456.25834941864014,142,1,(28),10000,50,16,256
0,14.705795288085938,0.31104445457458496,2008.0680418014526,152,1,(30),10000,50,16,256
