Replicate,SSE,RMSE,TimeTaken,NumParams,Mechanistic Error,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,25.31072235107422,0.408066064119339,62.45095086097717,44,4.969222632651217,1,(8),5000,50,16,256
1,32.958126068115234,0.4656498432159424,63.043662309646606,44,5.240122303087264,1,(8),5000,50,16,256
2,22.80674171447754,0.38735559582710266,62.14019465446472,44,5.2720357993012295,1,(8),5000,50,16,256
3,28.501432418823242,0.4330235719680786,62.53158092498779,44,4.504911944587075,1,(8),5000,50,16,256
4,32.28333282470703,0.4608582854270935,62.458404779434204,44,4.603701818059198,1,(8),5000,50,16,256
5,36.65214538574219,0.4910524785518646,63.38542103767395,44,5.010021223709918,1,(8),5000,50,16,256
6,43.70450973510742,0.5362179279327393,62.345346450805664,44,4.7144294065050785,1,(8),5000,50,16,256
7,28.893049240112305,0.4359883666038513,62.542558431625366,44,5.461684119394049,1,(8),5000,50,16,256
0,22.023496627807617,0.3806460499763489,86.84772300720215,54,5.051489487872459,1,(10),5000,50,16,256
1,27.287635803222656,0.4237026274204254,86.46844387054443,54,4.8450288824411105,1,(10),5000,50,16,256
2,16.874984741210938,0.33319610357284546,86.72700786590576,54,5.187839873279445,1,(10),5000,50,16,256
3,23.429536819458008,0.3926088213920593,86.08085632324219,54,4.691434443048202,1,(10),5000,50,16,256
4,26.871051788330078,0.4204559922218323,87.12335467338562,54,4.8955056441668425,1,(10),5000,50,16,256
5,13.520566940307617,0.29824671149253845,87.12811374664307,54,5.258218243787996,1,(10),5000,50,16,256
6,22.901187896728516,0.38815683126449585,87.67656230926514,54,4.960312588657253,1,(10),5000,50,16,256
7,21.92047691345215,0.3797547519207001,87.7161066532135,54,4.883547093737871,1,(10),5000,50,16,256
0,19.349075317382812,0.35678642988204956,87.36072611808777,64,4.774218488780316,1,(12),5000,50,16,256
1,23.99966049194336,0.39735689759254456,87.08718609809875,64,4.761843986907042,1,(12),5000,50,16,256
2,11.46987533569336,0.27469930052757263,86.83358073234558,64,5.247209666743874,1,(12),5000,50,16,256
3,26.015869140625,0.413711279630661,86.97428035736084,64,4.520621245065704,1,(12),5000,50,16,256
4,23.982269287109375,0.3972128927707672,87.44420719146729,64,4.629652835044544,1,(12),5000,50,16,256
5,28.829147338867188,0.4355059564113617,87.26912689208984,64,5.044979141535296,1,(12),5000,50,16,256
6,23.77284812927246,0.3954748213291168,87.43936133384705,64,4.867194739994593,1,(12),5000,50,16,256
7,22.24799346923828,0.3825812041759491,87.17510485649109,64,4.734189540082589,1,(12),5000,50,16,256
0,14.40717601776123,0.30787017941474915,87.81375932693481,74,4.824381830827333,1,(14),5000,50,16,256
1,11.82567024230957,0.2789273262023926,88.14566540718079,74,5.212851680056192,1,(14),5000,50,16,256
2,18.347301483154297,0.3474276065826416,88.34054970741272,74,4.790946531924419,1,(14),5000,50,16,256
3,15.208083152770996,0.3163118362426758,88.20848178863525,74,4.8334179747570305,1,(14),5000,50,16,256
4,17.79450035095215,0.3421535789966583,88.00057935714722,74,4.995585760690737,1,(14),5000,50,16,256
5,13.45941162109375,0.29757142066955566,88.20294451713562,74,4.699301686794497,1,(14),5000,50,16,256
6,21.231739044189453,0.3737412095069885,88.33103394508362,74,4.994796249603678,1,(14),5000,50,16,256
7,18.02882194519043,0.34439900517463684,88.45713806152344,74,4.563017198853195,1,(14),5000,50,16,256
0,16.451030731201172,0.32898399233818054,88.03028583526611,84,4.646793504392263,1,(16),5000,50,16,256
1,7.980165004730225,0.22913116216659546,88.02067518234253,84,5.250164477126673,1,(16),5000,50,16,256
2,9.497454643249512,0.24996650218963623,88.41139960289001,84,4.964735607169569,1,(16),5000,50,16,256
3,20.979570388793945,0.3715151250362396,87.98609161376953,84,4.8894181433413175,1,(16),5000,50,16,256
4,23.24982452392578,0.3911002278327942,88.3599317073822,84,4.4053542881738394,1,(16),5000,50,16,256
5,16.028274536132812,0.32472938299179077,88.05712890625,84,4.876231248062104,1,(16),5000,50,16,256
6,20.543006896972656,0.36762937903404236,88.29756665229797,84,5.049270577938296,1,(16),5000,50,16,256
7,21.068490982055664,0.3723016381263733,88.17791867256165,84,4.941201595455059,1,(16),5000,50,16,256
0,8.822193145751953,0.24091647565364838,89.173330783844,94,4.9506326796393845,1,(18),5000,50,16,256
1,10.670655250549316,0.264955997467041,89.6727294921875,94,4.953529641306959,1,(18),5000,50,16,256
2,15.24167537689209,0.31666100025177,89.29100942611694,94,4.642130949944257,1,(18),5000,50,16,256
3,16.23946762084961,0.32686176896095276,89.61068606376648,94,4.9827611782820895,1,(18),5000,50,16,256
4,7.38686466217041,0.2204490751028061,89.47310829162598,94,5.196315924208611,1,(18),5000,50,16,256
5,13.933938980102539,0.3027716279029846,89.65139746665955,94,4.5315747121209276,1,(18),5000,50,16,256
6,11.486106872558594,0.2748936116695404,90.50583696365356,94,4.862274591866881,1,(18),5000,50,16,256
7,13.475337982177734,0.2977474331855774,90.58381509780884,94,4.688498295394238,1,(18),5000,50,16,256
0,10.932894706726074,0.26819196343421936,91.44349122047424,104,4.373054652758874,1,(20),5000,50,16,256
