Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,15173988352.0,9991.439453125,5.383625030517578,14,1,(2),100,50,16,256
0,519195808.0,1848.177978515625,3.776184558868408,24,1,(4),100,50,16,256
0,777.4562377929688,2.2616021633148193,3.839005947113037,34,1,(6),100,50,16,256
0,717.89453125,2.1732442378997803,3.8949851989746094,44,1,(8),100,50,16,256
0,705.366943359375,2.15419864654541,3.9683728218078613,54,1,(10),100,50,16,256
0,712.7172241210938,2.165393590927124,3.9966514110565186,64,1,(12),100,50,16,256
0,707.2686767578125,2.1571006774902344,4.036481142044067,74,1,(14),100,50,16,256
0,694.7283325195312,2.1378917694091797,4.028230428695679,84,1,(16),100,50,16,256
0,710.7317504882812,2.1623752117156982,4.0683581829071045,94,1,(18),100,50,16,256
0,699.533203125,2.1452720165252686,4.108084201812744,104,1,(20),100,50,16,256
0,690.9850463867188,2.132124423980713,4.215595006942749,114,1,(22),100,50,16,256
0,685.1829223632812,2.1231539249420166,4.273414134979248,124,1,(24),100,50,16,256
0,708.1416015625,2.1584315299987793,4.307896614074707,134,1,(26),100,50,16,256
0,691.853271484375,2.1334633827209473,4.387418508529663,144,1,(28),100,50,16,256
0,686.9139404296875,2.1258342266082764,20.12736415863037,154,1,(30),100,50,16,256
