Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,512.3970947265625,1.8360373973846436,242.1170732975006,12,1,(2),10000,50,16,256
0,11.78215217590332,0.27841365337371826,247.8790671825409,22,1,(4),10000,50,16,256
0,8.209701538085938,0.23240308463573456,252.63001585006714,32,1,(6),10000,50,16,256
0,5.479620456695557,0.1898687332868576,256.4258232116699,42,1,(8),10000,50,16,256
0,2.9891371726989746,0.14023329317569733,199.35340285301208,52,1,(10),10000,50,16,256
0,3.1803195476531982,0.14464838802814484,201.1418855190277,62,1,(12),10000,50,16,256
0,9.282540321350098,0.247122123837471,204.630113363266,72,1,(14),10000,50,16,256
0,3.3965461254119873,0.1494847685098648,192.89530634880066,82,1,(16),10000,50,16,256
0,4.667524814605713,0.17523527145385742,196.78511476516724,92,1,(18),10000,50,16,256
0,4.7437005043029785,0.17665943503379822,209.1644012928009,102,1,(20),10000,50,16,256
0,6.223839282989502,0.20235195755958557,210.70320916175842,112,1,(22),10000,50,16,256
0,3.0280964374542236,0.14114420115947723,210.91053938865662,122,1,(24),10000,50,16,256
0,4.466946601867676,0.17142872512340546,214.63413906097412,132,1,(26),10000,50,16,256
0,1.939831018447876,0.11296922713518143,216.30135440826416,142,1,(28),10000,50,16,256
0,2.176264762878418,0.11965588480234146,218.4969925880432,152,1,(30),10000,50,16,256
