Replicate,SSE,RMSE,TimeTaken,NumParams,Mechanistic Error,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,254.7418212890625,1.2945783138275146,49.299113273620605,14,3.8571465430324317,1,(2),5000,50,16,256
0,78.6475830078125,0.7193179726600647,62.46748089790344,24,5.0425985757631135,1,(4),5000,50,16,256
0,56.1781005859375,0.6079413890838623,64.5134060382843,34,5.033896221185278,1,(6),5000,50,16,256
0,29.490427017211914,0.44047242403030396,64.89390134811401,44,4.370049007460475,1,(8),5000,50,16,256
0,22.998979568481445,0.38898468017578125,92.48981213569641,54,4.853881063375156,1,(10),5000,50,16,256
0,19.144275665283203,0.35489320755004883,93.14205765724182,64,4.581627658570651,1,(12),5000,50,16,256
0,13.962233543395996,0.30307886004447937,92.9360761642456,74,4.270952622941695,1,(14),5000,50,16,256
0,12.544218063354492,0.2872764468193054,92.87334084510803,84,4.4504469707747925,1,(16),5000,50,16,256
0,11.553808212280273,0.2757025361061096,94.5389678478241,94,4.809611867284402,1,(18),5000,50,16,256
0,13.878171920776367,0.30216512084007263,95.29158902168274,104,4.611485020774417,1,(20),5000,50,16,256
0,10.703437805175781,0.2653626799583435,96.0402684211731,114,4.421678990804358,1,(22),5000,50,16,256
0,10.179574012756348,0.2587873339653015,95.89624309539795,124,4.184967177200597,1,(24),5000,50,16,256
0,3.255702257156372,0.1463526338338852,97.58382058143616,134,4.880340947369113,1,(26),5000,50,16,256
0,6.0993194580078125,0.20031750202178955,98.69770383834839,144,4.404240983980708,1,(28),5000,50,16,256
0,12.34659481048584,0.28500455617904663,98.7653579711914,154,4.551216417450924,1,(30),5000,50,16,256
