SSE,RMSE,TimeTaken,NumParams,Mechanistic Error,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
228.390014648437,1.22579193115234,51.4077031612396,14,4.01694494619151,1,(2),5000,50,16,256
432.182891845703,1.68621122837067,66.6093575954437,14,3.97558698491339,1,(2),5000,50,16,256
278.64208984375,1.35394668579102,62.9027349948883,14,4.35902622272261,1,(2),5000,50,16,256
472.112823486328,1.76238632202148,63.955237865448,14,5.00707974717952,1,(2),5000,50,16,256
50.5962791442871,0.576949059963226,66.8633592128754,24,5.50387882858427,1,(4),5000,50,16,256
30.6514549255371,0.449059367179871,65.6405019760132,24,5.61517492597586,1,(4),5000,50,16,256
60.7255249023438,0.632068037986755,67.0035569667816,24,5.44070580892498,1,(4),5000,50,16,256
79.4851455688477,0.72313803434372,67.3902461528778,24,4.79177674575621,1,(4),5000,50,16,256
33.5829772949219,0.470043212175369,66.7510254383087,34,5.12015992361383,1,(6),5000,50,16,256
44.0273284912109,0.53819465637207,66.4901373386383,34,4.8880222155794,1,(6),5000,50,16,256
43.2664375305176,0.533523797988892,67.7880110740662,34,5.31547143016243,1,(6),5000,50,16,256
47.2112579345703,0.557315349578857,67.9393508434296,34,4.51985167013947,1,(6),5000,50,16,256
28.9258594512939,0.436235845088959,69.0210494995117,44,4.56769466711674,1,(8),5000,50,16,256
23.9675102233887,0.397090643644333,67.2715947628021,44,4.89804045833647,1,(8),5000,50,16,256
35.3321990966797,0.482129335403442,68.0521445274353,44,4.85338290128391,1,(8),5000,50,16,256
30.8140830993652,0.450249075889587,69.0001740455628,44,4.5663893573964,1,(8),5000,50,16,256
16.2305126190186,0.32677161693573,96.825355052948,54,5.26430346874986,1,(10),5000,50,16,256
33.9930953979492,0.472904622554779,96.4288969039917,54,4.80951263905736,1,(10),5000,50,16,256
18.5055046081543,0.348922252655029,96.3141779899597,54,4.86246633468778,1,(10),5000,50,16,256
19.3557205200195,0.356847673654556,96.6971302032471,54,5.05869917908218,1,(10),5000,50,16,256
20.7466678619385,0.369447201490402,95.7217574119568,64,4.58357668121273,1,(12),5000,50,16,256
21.0737419128418,0.372348010540009,96.0316643714905,64,4.8773084315937,1,(12),5000,50,16,256
