Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,480.7632751464844,1.7784589529037476,243.56872367858887,12,1,(2),10000,50,16,256
0,2.5489776134490967,0.1294974535703659,249.69333457946777,22,1,(4),10000,50,16,256
0,8.535327911376953,0.23696723580360413,255.0651342868805,32,1,(6),10000,50,16,256
0,20.524267196655273,0.3674616813659668,258.1599440574646,42,1,(8),10000,50,16,256
0,3.3467352390289307,0.14838461577892303,200.29656219482422,52,1,(10),10000,50,16,256
0,5.34812068939209,0.18757666647434235,201.64373111724854,62,1,(12),10000,50,16,256
0,12.664613723754883,0.2886517345905304,205.27121901512146,72,1,(14),10000,50,16,256
0,5.322125434875488,0.1871202439069748,193.94256353378296,82,1,(16),10000,50,16,256
0,4.887639045715332,0.1793196052312851,198.0462622642517,92,1,(18),10000,50,16,256
0,4.165976047515869,0.16555282473564148,208.39039969444275,102,1,(20),10000,50,16,256
0,3.480973720550537,0.15133123099803925,210.8165283203125,112,1,(22),10000,50,16,256
0,5.0072503089904785,0.18150050938129425,210.8329164981842,122,1,(24),10000,50,16,256
0,1.5707240104675293,0.10165485739707947,214.41715955734253,132,1,(26),10000,50,16,256
0,5.9725470542907715,0.19822479784488678,216.7216625213623,142,1,(28),10000,50,16,256
0,2.019033193588257,0.11525239050388336,221.99094891548157,152,1,(30),10000,50,16,256
