Train Loss,Test Loss,Replicate,Size,Attempts
0.6427827477455139,0.4569237530231476,0,5,1
0.8554158210754395,0.8204994201660156,1,5,1
0.7703529000282288,0.632357120513916,2,5,1
0.7303685545921326,0.6377588510513306,3,5,1
0.6293559670448303,0.46252983808517456,4,5,1
0.7703864574432373,0.6594616174697876,5,5,1
0.5477731227874756,0.44740942120552063,6,5,1
0.710330605506897,0.6150875091552734,7,5,1
0.603314220905304,0.46433231234550476,8,5,1
0.7814009189605713,0.7523186802864075,9,5,1
0.8438607454299927,0.8135899901390076,10,5,1
0.681294322013855,0.48464763164520264,11,5,1
0.6269930601119995,0.44724100828170776,12,5,1
0.6017746329307556,0.5058861970901489,13,5,1
0.6245225667953491,0.4281388521194458,14,5,1
0.6064040064811707,0.496142715215683,15,5,1
0.6278818249702454,0.5509517192840576,16,5,1
0.7767496109008789,0.6519336104393005,17,5,1
0.666766345500946,0.539495587348938,18,5,1
0.6823690533638,0.49913501739501953,19,5,1
0.6133056282997131,0.43297523260116577,20,5,1
0.7655449509620667,0.6539527773857117,21,5,1
0.919836163520813,1.0079200267791748,22,5,1
0.4364672005176544,0.4476686716079712,23,5,1
0.625740110874176,0.4507564902305603,24,5,1
0.5651993751525879,0.44896456599235535,25,5,1
0.5041041970252991,0.6076965928077698,26,5,1
0.662709653377533,0.5660753846168518,27,5,1
0.8476306796073914,0.8860130906105042,28,5,1
0.6445446610450745,0.4785963296890259,29,5,1
0.8523358106613159,1.0012683868408203,30,5,1
,,31,5,1
0.41873452067375183,0.25862187147140503,32,5,1
,,33,5,1
0.7864263653755188,0.694695770740509,34,5,1
0.617317259311676,0.4225001037120819,35,5,1
0.7814280390739441,0.6912301182746887,36,5,1
0.8029127717018127,0.7489817142486572,37,5,1
0.39474743604660034,0.2497832477092743,38,5,1
0.7514921426773071,0.6376345753669739,39,5,1
0.6597917675971985,0.5349382162094116,40,5,1
0.7683947086334229,0.7121812105178833,41,5,1
0.4896976351737976,0.4490496814250946,42,5,1
0.5361117720603943,0.4470699429512024,43,5,1
0.5915491580963135,0.43697935342788696,44,5,1
0.4912717044353485,0.4708295166492462,45,5,1
0.5552789568901062,0.4409354329109192,46,5,1
0.8941788077354431,0.9719934463500977,47,5,1
0.6349791884422302,0.45892494916915894,48,5,1
0.5841564536094666,0.44733235239982605,49,5,1
0.5560756325721741,0.3176881670951843,0,10,1
0.5625739693641663,0.47617307305336,1,10,1
0.6451520919799805,0.5165699124336243,2,10,1
0.6130873560905457,0.460377037525177,3,10,1
0.890741765499115,0.9534304738044739,4,10,1
