Train Loss,Test Loss,Replicate,Size,Batch Time,Batch Size,Learning Rate,Learning Rate Step,Iterations,Wall Time
1.816896677017212,3.6669342517852783,0,5,16,64,0.1,500,500,14.912951707839966
0.34429341554641724,0.20323209464550018,0,5,16,64,0.1,500,1000,29.983182668685913
0.5446109175682068,0.6226856112480164,0,5,16,64,0.1,500,2000,59.53434634208679
0.18451841175556183,0.2895728051662445,0,5,16,64,0.1,500,4000,119.8291563987732
0.2594696879386902,0.2662471532821655,0,5,16,64,0.1,1000,500,15.022408485412598
,,0,5,16,64,0.1,1000,1000,29.781290531158447
0.4836229085922241,0.6197035908699036,0,5,16,64,0.1,1000,2000,59.39086031913757
0.4459347128868103,0.5246044397354126,0,5,16,64,0.1,1000,4000,118.80403757095337
0.3209916055202484,0.5458404421806335,0,5,16,64,0.01,500,500,14.869191408157349
0.3987877368927002,0.23007787764072418,0,5,16,64,0.01,500,1000,29.75805425643921
0.3691805899143219,0.2781733274459839,0,5,16,64,0.01,500,2000,59.32782697677612
0.18714001774787903,0.1746642142534256,0,5,16,64,0.01,500,4000,118.65429782867432
0.4419618546962738,0.5707249641418457,0,5,16,64,0.01,1000,500,14.820700883865356
0.37440407276153564,0.31490951776504517,0,5,16,64,0.01,1000,1000,29.775856733322144
0.4140978753566742,0.3188699781894684,0,5,16,64,0.01,1000,2000,59.302993059158325
0.2975785434246063,0.4578164517879486,0,5,16,64,0.01,1000,4000,119.06639075279236
,,0,5,16,128,0.1,500,500,15.339787006378174
0.46428582072257996,0.6078606843948364,0,5,16,128,0.1,500,1000,30.42413020133972
1.6523993015289307,3.3711869716644287,0,5,16,128,0.1,500,2000,60.80039191246033
0.5492201447486877,0.5898749828338623,0,5,16,128,0.1,500,4000,121.0796639919281
0.5296841859817505,0.4492267072200775,0,5,16,128,0.1,1000,500,14.969054698944092
,,0,5,16,128,0.1,1000,1000,29.991997241973877
0.28085729479789734,0.3802889287471771,0,5,16,128,0.1,1000,2000,59.64775729179382
0.576050341129303,0.7350412011146545,0,5,16,128,0.1,1000,4000,119.27332663536072
0.29534876346588135,0.1470516175031662,0,5,16,128,0.01,500,500,14.926689863204956
0.31376466155052185,0.22784115374088287,0,5,16,128,0.01,500,1000,29.814117908477783
0.12491215765476227,0.16806086897850037,0,5,16,128,0.01,500,2000,59.67111873626709
0.3000439703464508,0.17185558378696442,0,5,16,128,0.01,500,4000,119.64321398735046
0.38411444425582886,0.6738802194595337,0,5,16,128,0.01,1000,500,15.039393424987793
0.3196226954460144,0.45605453848838806,0,5,16,128,0.01,1000,1000,29.982874393463135
0.15185795724391937,0.11552828550338745,0,5,16,128,0.01,1000,2000,59.85257816314697
0.15349797904491425,0.10226204991340637,0,5,16,128,0.01,1000,4000,119.71033239364624
0.2283565253019333,0.23290932178497314,0,5,16,256,0.1,500,500,15.648533344268799
,,0,5,16,256,0.1,500,1000,31.39140510559082
1.6302831172943115,3.135518789291382,0,5,16,256,0.1,500,2000,62.431159019470215
0.20363552868366241,0.24144841730594635,0,5,16,256,0.1,500,4000,125.08205890655518
0.2752120792865753,0.38935989141464233,0,5,16,256,0.1,1000,500,15.681342363357544
0.6899816989898682,0.7037279009819031,0,5,16,256,0.1,1000,1000,31.37941884994507
0.6121079921722412,0.5639812350273132,0,5,16,256,0.1,1000,2000,62.53928351402283
,,0,5,16,256,0.1,1000,4000,125.83317470550537
0.18194521963596344,0.269694447517395,0,5,16,256,0.01,500,500,15.64616060256958
0.18387547135353088,0.10919255018234253,0,5,16,256,0.01,500,1000,31.230700492858887
0.2746560275554657,0.13434819877147675,0,5,16,256,0.01,500,2000,62.64584970474243
0.2778170704841614,0.5348542332649231,0,5,16,256,0.01,500,4000,124.99416160583496
0.20389056205749512,0.390831857919693,0,5,16,256,0.01,1000,500,15.647699117660522
0.16804715991020203,0.25978508591651917,0,5,16,256,0.01,1000,1000,31.351835250854492
0.2670239508152008,0.22703227400779724,0,5,16,256,0.01,1000,2000,62.693204164505005
0.109951451420784,0.09352614730596542,0,5,16,256,0.01,1000,4000,125.0595133304596
,,0,5,32,64,0.1,500,500,30.698938131332397
,,0,5,32,64,0.1,500,1000,61.56583905220032
,,0,5,32,64,0.1,500,2000,122.6494767665863
,,0,5,32,64,0.1,500,4000,246.37912011146545
1.7279295921325684,2.8433399200439453,0,5,32,64,0.1,1000,500,30.704107999801636
,,0,5,32,64,0.1,1000,1000,61.499186277389526
0.23101842403411865,0.09894661605358124,0,5,32,64,0.1,1000,2000,122.82581877708435
