width,batch-time,learning-rate,reg-param,parameter-index,sample,replicate,unknown_param_train_rmse,unknown_param_test_rmse,unknown_param_attempts,unknown_param_err,J0_percent_err,J0_fit,J0_true,k2_percent_err,k2_fit,k2_true,k3_percent_err,k3_fit,k3_true,k4_percent_err,k4_fit,k4_true,k5_percent_err,k5_fit,k5_true,k6_percent_err,k6_fit,k6_true,k_percent_err,k_fit,k_true,kappa_percent_err,kappa_fit,kappa_true,psi_percent_err,psi_fit,psi_true,N_percent_err,N_fit,N_true,A_percent_err,A_fit,A_true
5.0,32.0,0.1,0.0,10.0,19.0,1.0,0.11934933066368103,0.17685745656490326,1,42.51966160739719,0.9139770858688541,0.21505728532786464,2.5,0.29448607889465334,4.23308352663208,6.0,0.7404889528111085,4.152176755022264,16.0,0.11395085111056019,88.60491488894398,100,0.08319869457820046,1.3864943290600966,1.28,0.46550997279105905,6.413880326507291,12.0,3.4783332973346703,8.060999935202407,1.8,0.002573215286533972,13.033451798724942,13.0,0.9547233316898265,0.19547233316898266,0.1,0.029238353518547644,0.9707616464814524,1.0,0.7782794100389228,7.113117640155691,4.0
5.0,32.0,0.1,10.0,10.0,3.0,2.0,0.32584741711616516,0.6726866960525513,2,25.578576969894243,0.29448170727485445,1.7637957318128639,2.5,0.27024736924016457,4.378515784559013,6.0,0.09064191284980883,17.45027060559694,16.0,0.11516433489643717,88.48356651035628,100,0.045922599165971155,1.338780926932443,1.28,0.19959756115134444,9.604829266183867,12.0,1.1556135817807769,3.8801044472053983,1.8,0.306249426799386,16.981242548392018,13.0,1.0142558725114619,-0.0014255872511461784,0.1,0.33524529736262676,0.6647547026373732,1.0,0.3255537125164245,2.697785149934302,4.0
5.0,32.0,0.1,1.0,10.0,8.0,3.0,0.16002492606639862,0.1030813530087471,1,23.014526486276967,0.10971106105232523,2.225722347369187,2.5,0.19797987117939955,4.812120772923603,6.0,0.13694077299037877,13.80894763215394,16.0,0.058402443520763396,94.15975564792366,100,0.20214756461178485,1.0212511172969154,1.28,0.4876152063975916,6.148617523228901,12.0,2.249263444324476,5.848674199784057,1.8,0.2184018551658765,10.160775882843605,13.0,0.3604032477441721,0.13604032477441722,0.1,0.13946993877290215,0.8605300612270979,1.0,0.08688323667135034,3.6524670533145986,4.0
5.0,32.0,0.1,0.1,4.0,19.0,3.0,0.23289960622787476,0.21363601088523865,1,31.322577492222965,0.26043719534669585,1.8489070116332604,2.5,0.4146748515556971,8.488049109334183,6.0,0.5051613389782272,7.917418576348363,16.0,0.035987501393958184,96.40124986060418,100,0.7782794100389229,2.2761976448498213,1.28,0.524537542603622,5.705549488756537,12.0,2.8793598803202256,6.982847784576406,1.8,0.19118912396070675,10.514541388510812,13.0,2.751455247557568,0.37514552475575685,0.1,0.4260472992959471,0.5739527007040529,1.0,0.21048911381600122,4.841956455264005,4.0
5.0,32.0,0.1,0.1,7.0,13.0,3.0,0.2239612340927124,0.22045917809009552,1,28.5815607077638,0.2809022739016032,1.797744315245992,2.5,0.3113982641098086,4.131610415341148,6.0,0.44723660619299943,8.844214300912009,16.0,0.05585668652630631,94.41433134736937,100,0.09413739676267033,1.159504132143782,1.28,0.35731510320352694,7.7122187615576765,12.0,2.840133954557924,6.912241118204263,1.8,0.23624703544994136,16.071211460849238,13.0,1.3260673856666867,0.2326067385666687,0.1,0.09027598159549277,1.0902759815954928,1.0,0.11371217027952918,4.454848681118117,4.0
5.0,32.0,0.1,1.0,3.0,2.0,2.0,,,50,,,,2.5,,,6.0,,,16.0,0.3652078040649523,63.47921959350477,100,,,1.28,,,12.0,,,1.8,,,13.0,,,0.1,,,1.0,,,4.0
5.0,32.0,0.1,1.0,10.0,13.0,3.0,0.2663351893424988,0.28493934869766235,1,29.45736232130192,0.32706153634040536,1.6823461591489866,2.5,0.17492972851914468,4.950421628885132,6.0,0.5520125482881567,7.167799227389493,16.0,0.031186378231897578,96.88136217681024,100,0.08290446382349971,1.1738822863059204,1.28,0.5434709961698084,5.478348045962299,12.0,2.4661793467212965,6.239122824098334,1.8,0.25729064358590503,9.655221633383235,13.0,1.1462904288253533,0.21462904288253534,0.1,0.16800347040659602,0.831996529593404,1.0,0.23624703544994152,4.944988141799766,4.0
5.0,32.0,0.1,10.0,3.0,15.0,3.0,0.16176283359527588,0.09833955764770508,10,63.56797501984695,0.36534136012000584,1.5866465996999854,2.5,0.19131646862296625,4.8521011882622025,6.0,0.4448221445791757,8.882845686733189,16.0,0.39552249709875953,139.55224970987595,100,0.07734729551055942,1.379004538253516,1.28,0.5412678327897481,5.504786006523023,12.0,2.401682046201048,6.123027683161887,1.8,0.2422193900468532,9.851147929390908,13.0,1.8802995845349408,0.2880299584534941,0.1,0.05130617368118595,0.948693826318814,1.0,0.13297109175755772,4.531884367030231,4.0
5.0,32.0,0.1,0.1,2.0,15.0,3.0,0.15586243569850922,0.24789780378341675,1,34.61308290426568,0.3957567810837058,1.5106080472907355,2.5,0.3968329477376429,3.6190023135741427,6.0,0.39552249709875875,22.32835995358014,16.0,0.11623465194196542,88.37653480580346,100,0.20871738968956335,1.5471582588026411,1.28,0.4063073396803257,7.124311923836092,12.0,3.1195491192298745,7.415188414613774,1.8,0.16805028171661868,10.815346337683957,13.0,0.9792272673263643,0.19792272673263644,0.1,0.07273612740508706,1.072736127405087,1.0,0.04438021282994853,3.822479148680206,4.0
5.0,32.0,0.1,0.0,8.0,11.0,3.0,0.1570441722869873,0.2878294289112091,1,29.759444200584515,0.49990181100802084,1.2502454724799479,2.5,0.0064904593620944695,5.961057243827433,6.0,0.5631854016888542,6.9890335729783315,16.0,0.04560489717027096,95.4395102829729,100,0.24728997856512522,0.9634688274366398,1.28,0.5884999142085939,4.938001029496873,12.0,2.722187984416698,6.699938371950056,1.8,0.11067837455271136,11.561181130814752,13.0,0.09515019344801937,0.10951501934480194,0.1,0.344575089610872,0.655424910389128,1.0,0.20697831992141702,4.827913279685668,4.0
