width,batch-time,learning-rate,reg-param,parameter-index,sample,replicate,beta_percent_err,beta_fit,beta_true,gamma_percent_err,gamma_fit,gamma_true,delta_percent_err,delta_fit,delta_true
5.0,64.0,0.1,0.0,1.0,7.0,12.0,0.9141079542981547,2.871161931447232,1.5,2.9810717055349727,11.943215116604918,3.0,2.7540595921473248,3.7540595921473248,1.0
5.0,64.0,0.1,1.0,1.0,8.0,10.0,,,1.5,6.943282347242813,23.82984704172844,3.0,,,1.0
5.0,64.0,0.1,1.0,0.0,1.0,15.0,0.9369042655519806,0.09464360167202902,1.5,0.4153365904652357,1.753990228604293,3.0,0.09647075433299723,1.0964707543329972,1.0
5.0,64.0,0.1,0.0,0.0,5.0,5.0,2.9605947323337506e-16,1.5000000000000004,1.5,0.029990547641221294,2.910028357076336,3.0,0.2484107676114966,0.7515892323885034,1.0
5.0,64.0,0.1,0.0,0.0,4.0,1.0,0.4988127663727276,0.7517808504409086,1.5,0.27385373694831266,2.178438789155062,3.0,0.12701559380902983,1.1270155938090298,1.0
5.0,64.0,0.1,0.0,2.0,7.0,5.0,1.351476264634904,-0.5272143969523558,1.5,2.065983148109655,9.197949444328964,3.0,2.981071705534973,3.981071705534973,1.0
5.0,64.0,0.1,1.0,2.0,10.0,12.0,,,1.5,,,3.0,30.622776601683793,31.622776601683793,1.0
5.0,64.0,0.1,0.0,0.0,3.0,7.0,0.7488113568490421,0.376782964726437,1.5,0.3152604946319982,2.0542185161040054,3.0,0.12435722983430653,1.1243572298343065,1.0
5.0,64.0,0.1,1.0,2.0,8.0,1.0,4.002370024195842,7.503555036293762,1.5,0.1583531645710828,2.5249405062867516,3.0,6.943282347242813,7.943282347242813,1.0
5.0,64.0,0.1,0.0,0.0,6.0,19.0,0.9952623149688792,2.9928934724533187,1.5,0.15011707565743793,2.549648773027686,3.0,0.0026836473794260574,0.9973163526205739,1.0
5.0,64.0,0.1,0.0,0.0,8.0,18.0,6.943282347242815,11.914923520864223,1.5,0.08715545905522075,2.7385336228343378,3.0,0.06698746915834741,1.0669874691583474,1.0
5.0,64.0,0.1,1.0,1.0,3.0,4.0,1.4248157311446452,-0.6372235967169679,1.5,0.7488113568490421,0.7535659294528738,3.0,0.10995148267055133,0.8900485173294487,1.0
5.0,64.0,0.1,0.0,2.0,3.0,4.0,2.849992137207005,5.774988205810508,1.5,0.5933565526376654,1.2199303420870038,3.0,0.748811356849042,0.25118864315095796,1.0
5.0,64.0,0.1,0.0,0.0,4.0,19.0,0.4988127663727276,0.7517808504409086,1.5,0.22595825036777054,2.3221252488966884,3.0,0.1492126327427803,1.1492126327427803,1.0
5.0,64.0,0.1,1.0,1.0,5.0,14.0,0.3234316615155473,1.014852507726679,1.5,1.4802973661668753e-16,2.9999999999999996,3.0,0.262710304409965,1.262710304409965,1.0
5.0,64.0,0.1,0.0,0.0,9.0,15.0,14.84893192461113,23.773397886916694,1.5,0.03625102523280862,2.891246924301574,3.0,0.043019492812435445,1.0430194928124354,1.0
5.0,64.0,0.1,1.0,0.0,9.0,6.0,14.84893192461113,23.773397886916694,1.5,0.015413394279828019,3.046240182839484,3.0,0.08189413582622507,1.081894135826225,1.0
5.0,64.0,0.1,0.0,1.0,3.0,8.0,1.4876812393771555,-0.731521859065733,1.5,0.7488113568490421,0.7535659294528738,3.0,0.09969331344005539,0.9003066865599446,1.0
5.0,64.0,0.1,1.0,1.0,6.0,3.0,1.3913172851230389,3.5869759276845583,1.5,0.9952623149688785,5.985786944906636,3.0,0.1823326148587423,1.1823326148587423,1.0
5.0,64.0,0.1,0.0,2.0,10.0,7.0,,,1.5,,,3.0,30.622776601683793,31.622776601683793,1.0
5.0,64.0,0.1,0.0,0.0,6.0,11.0,0.9952623149688792,2.9928934724533187,1.5,0.16053052179566998,2.51840843461299,3.0,0.03645285473713189,1.036452854737132,1.0
