width,batch-time,learning-rate,reg-param,parameter-index,sample,replicate,unknown_param_train_rmse,unknown_param_test_rmse,unknown_param_attempts,unknown_param_err
5.0,32.0,0.1,10.0,10.0,6.0,2.0,0.1953919231891632,0.4340503513813019,1,25.04849306723249
5.0,32.0,0.1,1.0,5.0,17.0,2.0,0.11843652278184891,0.09336268901824951,1,34.50266970003895
5.0,32.0,0.1,0.1,8.0,5.0,1.0,0.41007810831069946,0.30347275733947754,9,30.776064081541087
5.0,32.0,0.1,0.0,10.0,14.0,1.0,0.18592455983161926,0.09599480777978897,1,39.43703249136479
5.0,32.0,0.1,0.1,5.0,2.0,2.0,0.1136133074760437,0.2901560068130493,1,22.27012991835834
5.0,32.0,0.1,0.0,7.0,7.0,2.0,0.1924450844526291,0.1690654754638672,1,30.367759136452232
5.0,32.0,0.1,0.1,10.0,19.0,2.0,0.5173357129096985,0.5905337333679199,32,35.54701046406478
5.0,32.0,0.1,1.0,4.0,15.0,2.0,0.09196097403764725,0.17114287614822388,1,31.544761966940513
5.0,32.0,0.1,0.0,3.0,3.0,3.0,0.16919341683387756,0.18170462548732758,1,53.51296858817888
5.0,32.0,0.1,0.1,7.0,9.0,3.0,0.18726399540901184,0.13014106452465057,1,31.680551074595293
5.0,32.0,0.1,1.0,7.0,10.0,1.0,0.21906998753547668,0.13632625341415405,1,24.842420105486404
5.0,32.0,0.1,0.1,0.0,8.0,1.0,0.23547454178333282,0.19537559151649475,1,34.02974372722855
5.0,32.0,0.1,1.0,6.0,13.0,1.0,0.12377867847681046,0.0853167250752449,1,28.76748819830332
5.0,32.0,0.1,0.1,5.0,7.0,2.0,0.19078578054904938,0.16845767199993134,3,30.988525028021286
5.0,32.0,0.1,0.1,7.0,8.0,3.0,0.36185750365257263,0.389592707157135,1,30.76781172612984
5.0,32.0,0.1,10.0,1.0,11.0,3.0,0.2477797269821167,0.11553069949150085,1,33.613817305255694
5.0,32.0,0.1,0.1,3.0,6.0,1.0,0.1726880520582199,0.1576283574104309,1,43.77018208371754
5.0,32.0,0.1,1.0,1.0,9.0,2.0,0.28050512075424194,0.2297201305627823,1,24.752994903478548
