width,batch-time,learning-rate,reg-param,parameter-index,sample,replicate,unknown_param_train_rmse,unknown_param_test_rmse,unknown_param_attempts,unknown_param_err
5.0,64.0,0.1,0.1,1.0,6.0,1.0,0.26692041754722595,0.5987014770507812,0,2.0210539110750805
5.0,64.0,0.1,0.1,1.0,8.0,3.0,0.4878515303134918,0.5638114213943481,0,2.342508453290491
5.0,64.0,0.1,0.1,2.0,1.0,1.0,0.13884970545768738,0.1370840072631836,0,18.35357347847589
5.0,64.0,0.1,1.0,1.0,1.0,2.0,0.20725762844085693,0.5936838984489441,0,2.2480655148978297
5.0,64.0,0.1,10.0,1.0,1.0,1.0,0.157373309135437,0.4139610230922699,0,1.8642078904474
5.0,64.0,0.1,0.0,1.0,9.0,3.0,0.22341123223304749,0.13161508738994598,0,4.2855188381581755
5.0,64.0,0.1,10.0,1.0,5.0,2.0,0.25954678654670715,0.4081299602985382,0,0.7416125939197946
5.0,64.0,0.1,0.1,0.0,0.0,2.0,0.17299799621105194,0.2518664300441742,0,1.3223110230383566
5.0,64.0,0.1,1.0,2.0,1.0,3.0,0.15862886607646942,0.17742739617824554,0,13.016723269336222
5.0,64.0,0.1,10.0,1.0,7.0,1.0,0.3357480764389038,0.8622493743896484,0,1.6519270818929583
5.0,64.0,0.1,0.1,2.0,4.0,2.0,0.19983330368995667,0.6498627066612244,0,2.346204454237325
5.0,64.0,0.1,0.0,2.0,5.0,1.0,0.20052136480808258,0.47525253891944885,0,2.192583110911535
5.0,64.0,0.1,1.0,2.0,4.0,1.0,0.1645078957080841,0.20505422353744507,0,2.2785927028719772
5.0,64.0,0.1,0.0,0.0,9.0,3.0,0.19695550203323364,0.6807432174682617,0,1.3910175384210517
5.0,64.0,0.1,1.0,2.0,8.0,1.0,0.34506869316101074,0.8446444869041443,0,1.376817783173379
5.0,64.0,0.1,0.0,2.0,0.0,1.0,0.2039414644241333,0.20972470939159393,0,3.5046404938729614
