width,batch-time,learning-rate,reg-param,parameter-index,sample,replicate,unknown_param_train_rmse,unknown_param_test_rmse,unknown_param_attempts,unknown_param_err,beta_percent_err,beta_fit,beta_true,gamma_percent_err,gamma_fit,gamma_true,delta_percent_err,delta_fit,delta_true
5.0,64.0,0.1,0.1,1.0,6.0,1.0,0.26692041754722595,0.5987014770507812,0,2.0210539110750805,0.8795241348882298,2.8192862023323446,1.5,0.21152765862858836,3.634582975885765,3.0,0.06718473285697057,1.0671847328569706,1.0
5.0,64.0,0.1,0.1,1.0,8.0,3.0,0.4878515303134918,0.5638114213943481,0,2.342508453290491,0.17955599322548554,1.2306660101617717,1.5,0.5647481416580197,4.694244424974059,3.0,0.3789300384782035,1.3789300384782035,1.0
5.0,64.0,0.1,0.1,2.0,1.0,1.0,0.13884970545768738,0.1370840072631836,0,18.35357347847589,11.260166842968502,18.390250264452753,1.5,0.3674678994030567,1.89759630179083,3.0,0.36091951581396875,0.6390804841860313,1.0
5.0,64.0,0.1,1.0,1.0,1.0,2.0,0.20725762844085693,0.5936838984489441,0,2.2480655148978297,0.7208944446321118,0.41865833305183225,1.5,0.3609195158139688,1.9172414525580936,3.0,0.08396530050775564,1.0839653005077556,1.0
5.0,64.0,0.1,10.0,1.0,1.0,1.0,0.157373309135437,0.4139610230922699,0,1.8642078904474,0.49284837372429485,0.7607274394135577,1.5,0.3609195158139688,1.9172414525580936,3.0,0.04217678241905132,1.0421767824190513,1.0
5.0,64.0,0.1,0.0,1.0,9.0,3.0,0.22341123223304749,0.13161508738994598,0,4.2855188381581755,1.1904025819201305,3.2856038728801957,1.5,0.7782794100389226,5.334838230116768,3.0,0.16507673516121213,1.1650767351612121,1.0
5.0,64.0,0.1,10.0,1.0,5.0,2.0,0.25954678654670715,0.4081299602985382,0,0.7416125939197946,0.3267300788630269,1.9900951182945403,1.5,0.06605049898479247,3.1981514969543774,3.0,0.05336597867087689,1.053365978670877,1.0
5.0,64.0,0.1,0.1,0.0,0.0,2.0,0.17299799621105194,0.2518664300441742,0,1.3223110230383566,0.4376586748096509,0.8435119877855236,1.5,0.15940120259966584,2.5217963922010025,3.0,0.18761940302488256,1.1876194030248826,1.0
5.0,64.0,0.1,1.0,2.0,1.0,3.0,0.15862886607646942,0.17742739617824554,0,13.016723269336222,7.714838606360714,13.07225790954107,1.5,0.36118194799372727,1.9164541560188182,3.0,0.36091951581396875,0.6390804841860313,1.0
5.0,64.0,0.1,10.0,1.0,7.0,1.0,0.3357480764389038,0.8622493743896484,0,1.6519270818929583,0.10996465896998127,1.335053011545028,1.5,0.37685716485275805,4.130571494558274,3.0,0.3564085988797123,1.3564085988797123,1.0
5.0,64.0,0.1,0.1,2.0,4.0,2.0,0.19983330368995667,0.6498627066612244,0,2.346204454237325,0.7033833181692616,0.4449250227461077,1.5,0.40972378120774894,1.7708286563767532,3.0,0.06195813336018574,0.9380418666398143,1.0
5.0,64.0,0.1,0.0,2.0,5.0,1.0,0.20052136480808258,0.47525253891944885,0,2.192583110911535,0.7086709020445957,0.43699364693310644,1.5,0.35450875295328305,1.936473741140151,3.0,0.06605049898479232,1.0660504989847923,1.0
5.0,64.0,0.1,1.0,2.0,4.0,1.0,0.1645078957080841,0.20505422353744507,0,2.2785927028719772,0.7056148455904774,0.4415777316142838,1.5,0.3860707670420252,1.8417876988739244,3.0,0.06195813336018574,0.9380418666398143,1.0
5.0,64.0,0.1,0.0,0.0,9.0,3.0,0.19695550203323364,0.6807432174682617,0,1.3910175384210517,0.7782794100389229,2.6674191150583844,1.5,0.040104064758592926,2.8796878057242212,3.0,0.10328622908688856,1.1032862290868886,1.0
5.0,64.0,0.1,1.0,2.0,8.0,1.0,0.34506869316101074,0.8446444869041443,0,1.376817783173379,0.5297363968392227,0.7053954047411659,1.5,0.005821682085508299,2.982534953743475,3.0,0.56474814165802,1.56474814165802,1.0
5.0,64.0,0.1,0.0,2.0,0.0,1.0,0.2039414644241333,0.20972470939159393,0,3.5046404938729614,1.0378490852952673,3.056773627942901,1.5,0.5034027303734697,1.4897918088795907,3.0,0.4376586748096509,0.5623413251903491,1.0
5.0,64.0,0.1,0.0,0.0,1.0,1.0,0.2416786402463913,2.340357542037964,0,1.400858372955784,0.3609195158139688,0.9586207262790468,1.5,0.2563912996528283,2.230826101041515,3.0,0.09030520027634603,1.090305200276346,1.0
5.0,64.0,0.1,1.0,0.0,0.0,2.0,0.15441656112670898,0.3631744682788849,0,1.1304727845069884,0.4376586748096509,0.8435119877855236,1.5,0.07201539077629023,2.7839538276711293,3.0,0.2579385999636412,1.2579385999636412,1.0
5.0,64.0,0.1,10.0,2.0,4.0,3.0,0.28393614292144775,0.6024602651596069,0,2.840055448849853,0.8728519586871283,0.19072206196930747,1.5,0.48960645915299145,1.5311806225410256,3.0,0.06195813336018574,0.9380418666398143,1.0
5.0,64.0,0.1,0.1,2.0,1.0,2.0,0.23681221902370453,0.6067464351654053,0,2.802986436497826,0.48103365949547117,0.7784495107567933,1.5,0.5735054771468835,1.2794835685593495,3.0,0.36091951581396875,0.6390804841860313,1.0
5.0,64.0,0.1,0.0,0.0,0.0,2.0,0.143778994679451,0.32561519742012024,0,1.2000131731118429,0.4376586748096509,0.8435119877855236,1.5,0.1080732652562905,2.6757802042311285,3.0,0.21930536512849508,1.219305365128495,1.0
5.0,64.0,0.1,10.0,1.0,4.0,3.0,0.1801828145980835,0.33478787541389465,0,1.032406809784098,0.4060286026509509,0.8909570960235736,1.5,0.06195813336018574,2.8141255999194428,3.0,0.23748950572711425,1.2374895057271142,1.0
5.0,64.0,0.1,0.1,2.0,2.0,3.0,0.20367678999900818,0.6114357709884644,0,2.6938190859953646,0.550859786580037,0.6737103201299446,1.5,0.53127371876631,1.4061788437010698,3.0,0.27370824982637876,0.7262917501736212,1.0
5.0,64.0,0.1,0.0,0.0,5.0,3.0,0.15476414561271667,2.955493211746216,0,0.3728690576661182,0.06605049898479232,1.5990757484771885,1.5,0.041599566544503475,2.8752013003664896,3.0,0.14899460955541932,1.1489946095554193,1.0
5.0,64.0,0.1,0.1,0.0,7.0,2.0,0.2140650898218155,1.1369277238845825,0,1.0009291300074352,0.37685716485275833,2.0652857472791375,1.5,0.1420334378993601,2.5738996863019197,3.0,0.0095430690302174,0.9904569309697826,1.0
5.0,64.0,0.1,10.0,2.0,2.0,3.0,0.299611359834671,0.5533642768859863,0,3.0416911686613406,0.7070091864652114,0.43948622030218304,1.5,0.5691563797123815,1.2925308608628554,3.0,0.27370824982637876,0.7262917501736212,1.0
5.0,64.0,0.1,0.0,1.0,1.0,1.0,0.20332367718219757,2.492769718170166,0,1.6423763228129726,0.3613008428302557,0.9580487357546165,1.5,0.3609195158139688,1.9172414525580936,3.0,0.017666511125682627,1.0176665111256826,1.0
5.0,64.0,0.1,0.0,1.0,1.0,3.0,0.15880000591278076,0.20233573019504547,0,2.097482389150004,0.6512628926373802,0.5231056610439296,1.5,0.3609195158139688,1.9172414525580936,3.0,0.03782950275202768,1.0378295027520277,1.0
5.0,64.0,0.1,10.0,0.0,3.0,2.0,0.17626185715198517,0.5778552889823914,0,0.8095566857858798,0.17459581473198163,1.2381062779020275,1.5,0.11645985075600625,2.6506204477319812,3.0,0.1982834114198886,1.1982834114198886,1.0
5.0,64.0,0.1,0.0,1.0,5.0,3.0,0.17973926663398743,0.3973958492279053,0,0.7839084405398433,0.2020742771547804,1.1968885842678294,1.5,0.06605049898479247,3.1981514969543774,3.0,0.28264552785329533,1.2826455278532953,1.0
5.0,64.0,0.1,0.0,2.0,5.0,3.0,0.1658516675233841,0.17710931599140167,0,1.670581280807371,0.5734443964533625,0.6398334053199562,1.5,0.24812139571417827,2.255635812857465,3.0,0.06605049898479232,1.0660504989847923,1.0
5.0,64.0,0.1,1.0,0.0,3.0,1.0,0.2765171229839325,0.7680377960205078,0,0.8278292264510119,0.17459581473198163,1.2381062779020275,1.5,0.14099972319337825,2.5770008304198653,3.0,0.14293633477290468,1.1429363347729047,1.0
5.0,64.0,0.1,1.0,2.0,9.0,1.0,0.3974151313304901,0.414386123418808,0,2.587412292329728,0.8037337424033497,0.29439938639497537,1.5,0.20117742289526022,3.6035322686857807,3.0,0.7782794100389228,1.7782794100389228,1.0
5.0,64.0,0.1,1.0,1.0,2.0,2.0,0.18961210548877716,1.8040317296981812,0,0.8472860875872963,0.010850892054575715,1.4837236619181364,1.5,0.27370824982637876,2.1788752505208637,3.0,0.009885000026296442,1.0098850000262964,1.0
5.0,64.0,0.1,0.0,2.0,2.0,3.0,0.24524760246276855,0.6452677845954895,0,3.5601152315227007,0.93136738242118,0.10294892636822986,1.5,0.629785302688184,1.110644091935448,3.0,0.27370824982637876,0.7262917501736212,1.0
5.0,64.0,0.1,0.1,2.0,9.0,3.0,0.295035719871521,1.154544711112976,0,1.9641369440050622,0.3956120425848704,0.9065819361226943,1.5,0.1974798233629446,3.592439470088834,3.0,0.7782794100389228,1.7782794100389228,1.0
5.0,64.0,0.1,0.0,2.0,4.0,2.0,0.16808046400547028,0.3739306628704071,0,2.427716322403095,0.7641813067280879,0.35372803990786816,1.5,0.40649540965025915,1.7805137710492225,3.0,0.06195813336018574,0.9380418666398143,1.0
5.0,64.0,0.1,1.0,0.0,4.0,3.0,0.24578282237052917,,0,0.7305386728612369,0.06195813336018574,1.4070627999597214,1.5,0.18768235005039827,2.436952949848805,3.0,0.07455442266976342,1.0745544226697634,1.0
5.0,64.0,0.1,0.0,0.0,0.0,1.0,0.16597433388233185,2.5690386295318604,0,1.6911578989074092,0.4376586748096509,0.8435119877855236,1.5,0.3390963928287209,1.9827108215138374,3.0,0.017380708206770068,1.01738070820677,1.0
5.0,64.0,0.1,1.0,1.0,9.0,3.0,0.2553350031375885,0.20813938975334167,0,4.274439353561117,1.1645565415424046,3.246834812313607,1.5,0.7782794100389226,5.334838230116768,3.0,0.19276631113074338,1.1927663111307434,1.0
5.0,64.0,0.1,1.0,1.0,6.0,1.0,0.2139388918876648,0.8012321591377258,0,1.744485118422123,0.42932724975732445,0.8560091253640133,1.5,0.21152765862858836,3.634582975885765,3.0,0.4659112679003712,1.4659112679003712,1.0
5.0,64.0,0.1,0.0,1.0,4.0,3.0,0.2411956638097763,0.663476824760437,0,0.466809823630028,0.08819572515702105,1.3677064122644684,1.5,0.06195813336018574,2.8141255999194428,3.0,0.1486418358139392,1.1486418358139392,1.0
