Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
2,1253.9691162109375,2.5039658546447754,22.27059006690979,867,2,(20 35),1000,100,16,256
3,1573.52587890625,2.804929494857788,22.334673166275024,867,2,(20 35),1000,100,16,256
4,1295.8818359375,2.545468330383301,22.210867881774902,867,2,(20 35),1000,100,16,256
0,1385.90625,2.6324002742767334,27.943459272384644,867,2,(20 35),1250,100,16,256
1,1205.591796875,2.4551901817321777,27.80415940284729,867,2,(20 35),1250,100,16,256
2,1295.59326171875,2.545184850692749,27.698312282562256,867,2,(20 35),1250,100,16,256
3,2047.0440673828125,3.1992530822753906,27.800615549087524,867,2,(20 35),1250,100,16,256
4,1384.73681640625,2.631289482116699,27.71721839904785,867,2,(20 35),1250,100,16,256
0,3849.77294921875,1.8707735538482666,17.074045658111572,867,2,(20 35),750,550,16,256
1,3891.283203125,1.880832314491272,16.48990774154663,867,2,(20 35),750,550,16,256
2,3979.01220703125,1.9019157886505127,16.805655479431152,867,2,(20 35),750,550,16,256
3,3993.393310546875,1.9053497314453125,16.72374653816223,867,2,(20 35),750,550,16,256
4,3883.94091796875,1.8790570497512817,16.526437759399414,867,2,(20 35),750,550,16,256
0,3954.4765625,1.8960429430007935,22.295509576797485,867,2,(20 35),1000,550,16,256
1,3913.5107421875,1.886196494102478,23.148762941360474,867,2,(20 35),1000,550,16,256
2,3967.85546875,1.8992475271224976,22.542548656463623,867,2,(20 35),1000,550,16,256
3,3897.796875,1.8824058771133423,22.53948140144348,867,2,(20 35),1000,550,16,256
4,3833.853759765625,1.8669016361236572,22.722723722457886,867,2,(20 35),1000,550,16,256
0,3849.53466796875,1.870715618133545,28.1321280002594,867,2,(20 35),1250,550,16,256
1,3936.125732421875,1.8916385173797607,28.358884572982788,867,2,(20 35),1250,550,16,256
2,3920.55126953125,1.8878923654556274,28.330182313919067,867,2,(20 35),1250,550,16,256
3,3828.9345703125,1.8657034635543823,28.31553363800049,867,2,(20 35),1250,550,16,256
4,3850.17919921875,1.8708722591400146,28.351558208465576,867,2,(20 35),1250,550,16,256
0,481.90069580078125,0.49086692929267883,17.0500545501709,867,2,(20 35),750,1000,16,256
1,435.5713195800781,0.4666751027107239,16.865859746932983,867,2,(20 35),750,1000,16,256
2,1455.434326171875,0.8530634045600891,16.93321919441223,867,2,(20 35),750,1000,16,256
3,136.7715606689453,0.26150673627853394,17.093565702438354,867,2,(20 35),750,1000,16,256
4,292.9896240234375,0.3827463984489441,17.648741483688354,867,2,(20 35),750,1000,16,256
0,98.91984558105469,0.2223958671092987,22.78214383125305,867,2,(20 35),1000,1000,16,256
1,7376.9736328125,1.9205433130264282,22.561221837997437,867,2,(20 35),1000,1000,16,256
2,2472.277099609375,1.111817717552185,22.464664459228516,867,2,(20 35),1000,1000,16,256
3,698.1055297851562,0.5908068418502808,22.505229949951172,867,2,(20 35),1000,1000,16,256
4,407.49505615234375,0.4513840079307556,22.609259366989136,867,2,(20 35),1000,1000,16,256
0,174.3505096435547,0.29525455832481384,28.10895085334778,867,2,(20 35),1250,1000,16,256
1,3863.10400390625,1.3898029327392578,28.16119146347046,867,2,(20 35),1250,1000,16,256
2,6435.6630859375,1.7938315868377686,27.96711826324463,867,2,(20 35),1250,1000,16,256
3,109.52679443359375,0.2340158075094223,28.027732610702515,867,2,(20 35),1250,1000,16,256
4,2156.32421875,1.0383458137512207,28.022881507873535,867,2,(20 35),1250,1000,16,256
0,1431.5517578125,2.675398826599121,17.499499320983887,1212,2,(20 50),750,100,16,256
1,1227.191162109375,2.477086067199707,17.5987491607666,1212,2,(20 50),750,100,16,256
2,1332.3316650390625,2.5810189247131348,17.63306212425232,1212,2,(20 50),750,100,16,256
3,1877.3516845703125,3.06378173828125,17.554762840270996,1212,2,(20 50),750,100,16,256
4,1335.8212890625,2.5843966007232666,17.726396799087524,1212,2,(20 50),750,100,16,256
0,1552.6043701171875,2.786220073699951,23.724469423294067,1212,2,(20 50),1000,100,16,256
1,1504.6982421875,2.742898464202881,23.514897108078003,1212,2,(20 50),1000,100,16,256
2,2251.908935546875,3.3555245399475098,23.44673180580139,1212,2,(20 50),1000,100,16,256
3,1804.3560791015625,3.0036277770996094,23.236822605133057,1212,2,(20 50),1000,100,16,256
4,1737.376953125,2.947352170944214,23.32049560546875,1212,2,(20 50),1000,100,16,256
0,1471.900146484375,2.7128400802612305,29.342793464660645,1212,2,(20 50),1250,100,16,256
1,1852.31005859375,3.0432794094085693,29.357861042022705,1212,2,(20 50),1250,100,16,256
2,2043.1475830078125,3.19620680809021,29.781197786331177,1212,2,(20 50),1250,100,16,256
3,1777.629150390625,2.98129940032959,29.220050811767578,1212,2,(20 50),1250,100,16,256
4,1818.6220703125,3.0154783725738525,29.197980880737305,1212,2,(20 50),1250,100,16,256
0,3886.03955078125,1.879564642906189,17.418352603912354,1212,2,(20 50),750,550,16,256
1,3973.26220703125,1.900541067123413,17.915664196014404,1212,2,(20 50),750,550,16,256
2,3931.1220703125,1.890435814857483,17.805641412734985,1212,2,(20 50),750,550,16,256
3,3918.930908203125,1.8875021934509277,17.821237325668335,1212,2,(20 50),750,550,16,256
