Train Loss,Test Loss,Replicate,Size,Attempts
0.014883329160511494,0.014418466947972775,0,5,3
0.012969954870641232,0.013472957536578178,1,5,1
0.01162189431488514,0.011374305002391338,2,5,5
0.012726948596537113,0.011985260993242264,3,5,7
0.012096310965716839,0.012393556535243988,4,5,1
0.012095872312784195,0.015324054285883904,5,5,7
,6.740261554718018,6,5,3
,1.8354052305221558,7,5,1
0.011456182226538658,0.012303115800023079,8,5,4
0.011811737902462482,0.011702622286975384,9,5,3
0.0147827984765172,0.013380233198404312,10,5,14
0.012458297424018383,0.013892307877540588,11,5,3
0.012612273916602135,0.014073818922042847,12,5,5
2.557551383972168,,13,5,6
0.01267067901790142,0.012276546098291874,14,5,1
5.4428277015686035,5.418220520019531,15,5,1
0.012383701279759407,0.012959176674485207,16,5,1
,,17,5,1
0.01394654717296362,0.013381904922425747,18,5,3
0.012590237893164158,0.013392133638262749,19,5,1
,,20,5,2
0.022304203361272812,0.017979146912693977,21,5,3
0.014521949924528599,0.01242850162088871,22,5,2
0.011587402783334255,0.011188453994691372,23,5,3
0.012508109211921692,0.011608646251261234,24,5,9
,,25,5,4
0.013083099387586117,0.01231218408793211,26,5,1
0.012249141000211239,0.012276532128453255,27,5,4
0.01270091813057661,0.013309438712894917,28,5,6
,,29,5,4
0.012324518524110317,0.011376651003956795,30,5,6
0.012452365830540657,0.012879010289907455,31,5,1
0.012057810090482235,0.011634915135800838,32,5,1
0.013395613990724087,0.014127549715340137,33,5,1
0.0115564139559865,0.012465415522456169,34,5,1
0.013404041528701782,0.012762356549501419,35,5,1
2.507779121398926,,36,5,8
0.012556508183479309,0.015593060292303562,37,5,2
0.012018253095448017,0.016466358676552773,38,5,6
4.456989288330078,4.421676158905029,39,5,2
0.011492691934108734,0.01547114085406065,40,5,8
0.011794214136898518,0.012243835255503654,41,5,2
0.011506431736052036,0.013103624805808067,42,5,3
0.01297819148749113,0.012964102439582348,43,5,2
3.3525092601776123,3.331820249557495,44,5,7
0.01237964816391468,0.014228751882910728,45,5,6
0.012955001555383205,0.01210117433220148,46,5,4
0.012085425667464733,0.011848367750644684,47,5,14
0.013461899943649769,0.01276530884206295,48,5,3
0.013550237752497196,0.013895302079617977,49,5,3
0.012130296789109707,0.012150390073657036,0,10,3
0.012169589288532734,0.028651349246501923,1,10,1
0.014397087506949902,0.02773197926580906,2,10,1
0.011610802263021469,0.018310897052288055,3,10,1
0.016224516555666924,0.0253114253282547,4,10,11
0.011424840427935123,0.015038460493087769,5,10,9
0.011481527239084244,0.013875176198780537,6,10,13
0.01136044878512621,0.01504173967987299,7,10,1
0.01284762378782034,0.022047951817512512,8,10,3
2.385838508605957,2.3526108264923096,9,10,9
0.04487499222159386,0.0924205556511879,10,10,3
0.012119028717279434,0.02338596247136593,11,10,1
0.011563333682715893,0.013346023857593536,12,10,11
0.01286381483078003,0.012974723242223263,13,10,3
0.011371494270861149,0.013787376694381237,14,10,4
0.011847092770040035,0.011935360729694366,15,10,3
,,16,10,1
0.012380891479551792,0.012911762110888958,17,10,3
0.011836612597107887,0.016071774065494537,18,10,2
,,19,10,1
9.554798126220703,9.507389068603516,20,10,5
5.592685222625732,5.576960563659668,21,10,2
0.01196626853197813,0.011562686413526535,22,10,4
0.029295871034264565,0.02078293263912201,23,10,6
0.019848644733428955,0.014443531632423401,24,10,7
3.598910331726074,3.5664687156677246,25,10,9
0.012458471581339836,0.02270621806383133,26,10,8
0.011545630171895027,0.012629825621843338,27,10,1
0.01847914047539234,0.015178916044533253,28,10,29
0.01266939751803875,0.024727674201130867,29,10,9
0.011448562145233154,0.012206172570586205,30,10,4
14.887164115905762,14.850581169128418,31,10,2
,,32,10,4
0.011755346320569515,0.012935805134475231,33,10,6
0.011583992280066013,0.014849932864308357,34,10,1
0.012452452443540096,0.012439524754881859,35,10,2
,,36,10,1
27.523645401000977,27.41986656188965,37,10,19
0.015060284174978733,0.016784662380814552,38,10,4
0.012818771414458752,0.01567283645272255,39,10,4
0.012430939823389053,0.011565860360860825,40,10,3
0.012240353971719742,0.013164050877094269,41,10,3
0.011792541481554508,0.01221154909580946,42,10,3
0.012050516903400421,0.013804667629301548,43,10,5
0.012039980851113796,0.01172226294875145,44,10,1
0.023375404998660088,0.04150057211518288,45,10,1
,,46,10,1
,,47,10,1
0.012257014401257038,0.019336190074682236,48,10,3
0.011478131636977196,0.02197136916220188,49,10,11
,,0,15,21
15.502416610717773,15.191228866577148,1,15,17
0.011572321876883507,0.018432652577757835,2,15,3
0.012372419238090515,0.03686772286891937,3,15,5
0.01174348033964634,0.02530437894165516,4,15,2
0.011992034502327442,0.03642125055193901,5,15,3
0.01111206691712141,0.023609038442373276,6,15,7
0.01166155468672514,0.01610911637544632,7,15,11
0.011721206828951836,0.017324980348348618,8,15,5
7.934836387634277,8.037396430969238,9,15,1
0.011387774720788002,0.016124146059155464,10,15,28
,,11,15,12
5.321615695953369,5.254980564117432,12,15,1
2.359771728515625,2.3252687454223633,13,15,6
0.011217232793569565,0.021548280492424965,14,15,3
0.012280281633138657,0.01852482743561268,15,15,30
0.011534860357642174,0.0231657475233078,16,15,12
0.012044035829603672,0.019748475402593613,17,15,11
0.011447728611528873,0.02358115464448929,18,15,4
0.011572237126529217,0.019406098872423172,19,15,9
0.011641678400337696,0.01949271745979786,20,15,24
,,21,15,9
20.431259155273438,20.346860885620117,22,15,5
0.011464527808129787,0.012861195020377636,23,15,27
0.01135939173400402,0.011953280307352543,24,15,4
0.011401932686567307,0.01885811798274517,25,15,6
3.9620964527130127,3.8518993854522705,26,15,22
0.011686544865369797,0.018871014937758446,27,15,12
1.5409941673278809,,28,15,3
0.013024171814322472,0.03782211244106293,29,15,20
0.011722385883331299,0.024791166186332703,30,15,5
0.011584113352000713,0.02568572573363781,31,15,2
0.06218127906322479,0.02748630754649639,32,15,6
0.01189489383250475,0.01499212346971035,33,15,2
,,34,15,15
0.012102062813937664,0.013915547169744968,35,15,16
0.011587555520236492,0.035040926188230515,36,15,1
0.012140720151364803,0.0137930391356349,37,15,5
0.011377958580851555,0.02971610426902771,38,15,4
0.0874319076538086,0.033525627106428146,39,15,15
10.056487083435059,10.173707008361816,40,15,4
0.011656472459435463,0.018441947177052498,41,15,6
0.011504242196679115,0.023174945265054703,42,15,6
0.011492018587887287,0.016674911603331566,43,15,17
0.011997465044260025,0.019312648102641106,44,15,26
36.67719268798828,36.60620880126953,45,15,1
0.011257781647145748,0.012998811900615692,46,15,1
0.011291805654764175,0.01553109847009182,47,15,4
0.011323523707687855,0.017155343666672707,48,15,3
0.01158928032964468,0.02893124148249626,49,15,22
0.011139776557683945,0.028312860056757927,0,20,24
0.011243931949138641,0.03389051556587219,1,20,15
,,2,20,29
0.011137797497212887,0.03746352344751358,3,20,8
0.011460729874670506,0.015437166206538677,4,20,30
0.01139451377093792,0.025523705407977104,5,20,12
0.011222383007407188,0.025189995765686035,6,20,1
0.011546715162694454,0.024436304345726967,7,20,11
0.14626511931419373,0.08775049448013306,8,20,29
0.01178311463445425,0.028210679069161415,9,20,18
22.76000213623047,22.20027732849121,10,20,3
0.012275422923266888,0.0325438529253006,11,20,28
21.55160140991211,21.589176177978516,12,20,9
0.011114605702459812,0.023393459618091583,13,20,47
0.01159132644534111,0.03565150126814842,14,20,13
0.012327647767961025,0.036595720797777176,15,20,34
0.011209612712264061,0.022617265582084656,16,20,2
,,17,20,28
0.011197338812053204,0.026103708893060684,18,20,8
16.929651260375977,16.880064010620117,19,20,30
20.87945556640625,20.59270477294922,20,20,41
16.003719329833984,15.99348258972168,21,20,4
2.6026675701141357,2.6007437705993652,22,20,37
0.01222106721252203,0.023707116022706032,23,20,18
34.81660079956055,34.535926818847656,24,20,2
0.011284816078841686,0.03262193873524666,25,20,3
,,26,20,14
11.076802253723145,10.8484468460083,27,20,4
0.01186397299170494,0.03475850075483322,28,20,3
0.011494654230773449,0.031140752136707306,29,20,2
10.623150825500488,10.557029724121094,30,20,68
12.728135108947754,12.761610984802246,31,20,36
,,32,20,21
,,33,20,7
,,34,20,17
10.207427024841309,10.09645938873291,35,20,16
0.011665284633636475,0.022030839696526527,36,20,1
0.011144568212330341,0.03243083506822586,37,20,2
13.243688583374023,13.172496795654297,38,20,36
0.01152776274830103,0.018809746950864792,39,20,24
0.011064223013818264,0.01861661858856678,40,20,61
0.011379724368453026,0.03027953766286373,41,20,40
0.011652630753815174,0.0340348556637764,42,20,26
,,43,20,3
0.026703936979174614,0.028768470510840416,44,20,32
0.011523988097906113,0.025712518021464348,45,20,13
0.011405411176383495,0.02056756615638733,46,20,4
38.05101013183594,38.002838134765625,47,20,6
,,48,20,5
21.683977127075195,21.92991065979004,49,20,18
0.01151631586253643,0.03773565590381622,0,25,2
0.01177190151065588,0.04302874952554703,1,25,25
0.01116697397083044,0.03999064490199089,2,25,50
54.54667663574219,54.40764617919922,3,25,6
35.60902404785156,35.88416290283203,4,25,49
26.881223678588867,26.837549209594727,5,25,9
22.37898826599121,22.345962524414062,6,25,24
0.011602233164012432,0.026454253122210503,7,25,9
26.863557815551758,26.719263076782227,8,25,4
19.951398849487305,19.672182083129883,9,25,50
0.011853115633130074,0.036021288484334946,10,25,64
39.8803825378418,39.89143753051758,11,25,40
,,12,25,12
0.011532790027558804,0.032849010080099106,13,25,20
33.87180709838867,33.682830810546875,14,25,106
28.00322151184082,27.73558235168457,15,25,39
47.45396041870117,47.36870574951172,16,25,8
44.992530822753906,44.94070053100586,17,25,74
43.702674865722656,43.7789421081543,18,25,17
0.15860699117183685,0.08735375851392746,19,25,35
24.839643478393555,24.917449951171875,20,25,19
0.011429855599999428,0.04028991982340813,21,25,22
0.02101183496415615,0.025558825582265854,22,25,26
0.013825130648911,0.021420113742351532,23,25,41
0.011416846886277199,0.027101930230855942,24,25,8
6.16347599029541,6.060009479522705,25,25,18
32.53153610229492,32.244232177734375,26,25,14
,,27,25,2
0.011501283384859562,0.04144340753555298,28,25,8
0.023035120218992233,0.04979031905531883,29,25,41
0.012003329582512379,0.037226080894470215,30,25,13
0.10595037788152695,0.2010204941034317,31,25,3
30.2215633392334,30.045818328857422,32,25,41
19.847400665283203,19.759668350219727,33,25,53
25.888778686523438,25.477903366088867,34,25,5
,,35,25,95
,,36,25,121
20.507789611816406,20.2857608795166,37,25,27
,,38,25,8
15.863456726074219,15.849172592163086,39,25,53
,,40,25,275
,,41,25,12
