Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,577.485107421875,1.9491649866104126,253.76696968078613,12,1,(2),10000,50,16,256
0,6.644403457641602,0.20907697081565857,259.54029965400696,22,1,(4),10000,50,16,256
0,6.848568439483643,0.21226486563682556,264.7236866950989,32,1,(6),10000,50,16,256
0,13.266250610351562,0.29542845487594604,261.1248836517334,42,1,(8),10000,50,16,256
0,10.81601333618164,0.26675453782081604,193.3303506374359,52,1,(10),10000,50,16,256
0,12.239374160766602,0.2837643325328827,195.10661792755127,62,1,(12),10000,50,16,256
0,11.133970260620117,0.2706470191478729,197.07714366912842,72,1,(14),10000,50,16,256
0,10.707805633544922,0.26541683077812195,187.00558853149414,82,1,(16),10000,50,16,256
0,7.30618143081665,0.21924184262752533,190.75661873817444,92,1,(18),10000,50,16,256
0,6.62984037399292,0.20884771645069122,197.46999287605286,102,1,(20),10000,50,16,256
0,9.401845932006836,0.24870514869689941,199.46191120147705,112,1,(22),10000,50,16,256
0,13.293901443481445,0.295736163854599,214.9817521572113,122,1,(24),10000,50,16,256
0,14.785632133483887,0.31188762187957764,218.34527492523193,132,1,(26),10000,50,16,256
0,16.601276397705078,0.3304828703403473,219.26269721984863,142,1,(28),10000,50,16,256
0,7.84438419342041,0.22717347741127014,248.4650640487671,152,1,(30),10000,50,16,256
