Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,476.152587890625,1.769910454750061,383.53270149230957,14,1,(2),10000,50,16,256
0,75.09679412841797,0.7028924822807312,392.90359330177307,24,1,(4),10000,50,16,256
0,32.7682991027832,0.46430692076683044,398.36718487739563,34,1,(6),10000,50,16,256
0,49.384300231933594,0.5699971318244934,403.5844774246216,44,1,(8),10000,50,16,256
0,27.928340911865234,0.4286479651927948,376.10104727745056,54,1,(10),10000,50,16,256
0,26.609325408935547,0.4184033274650574,311.18543887138367,64,1,(12),10000,50,16,256
0,14.542091369628906,0.30930835008621216,338.9063801765442,74,1,(14),10000,50,16,256
0,7.566042423248291,0.22310669720172882,386.2057406902313,84,1,(16),10000,50,16,256
0,8.34279727935791,0.23427937924861908,387.7877085208893,94,1,(18),10000,50,16,256
0,8.826677322387695,0.2409776896238327,394.62632393836975,104,1,(20),10000,50,16,256
0,11.869678497314453,0.2794458568096161,396.7439775466919,114,1,(22),10000,50,16,256
0,12.17009162902832,0.28296005725860596,397.26891231536865,124,1,(24),10000,50,16,256
0,22.23843002319336,0.38249894976615906,391.96079897880554,134,1,(26),10000,50,16,256
0,13.848129272460938,0.30183789134025574,314.35918641090393,144,1,(28),10000,50,16,256
0,16.489944458007812,0.3293728530406952,308.54185962677,154,1,(30),10000,50,16,256
