Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,726.85498046875,2.18676495552063,2.4954490661621094,12,1,(2),100,50,16,256
0,675.8961181640625,2.1087164878845215,2.547070264816284,22,1,(4),100,50,16,256
0,647.555419921875,2.064033269882202,2.5972840785980225,32,1,(6),100,50,16,256
0,619.3821411132812,2.0186338424682617,2.6510181427001953,42,1,(8),100,50,16,256
0,669.48974609375,2.0986990928649902,2.6707730293273926,52,1,(10),100,50,16,256
0,669.6973876953125,2.099024534225464,2.7058844566345215,62,1,(12),100,50,16,256
0,648.773681640625,2.065973997116089,2.756195306777954,72,1,(14),100,50,16,256
0,612.3015747070312,2.0070624351501465,2.7447288036346436,82,1,(16),100,50,16,256
0,631.3894653320312,2.0381064414978027,2.8112034797668457,92,1,(18),100,50,16,256
0,648.4676513671875,2.065486431121826,3.3271453380584717,102,1,(20),100,50,16,256
0,569.62890625,1.9358612298965454,3.3026764392852783,112,1,(22),100,50,16,256
0,358.0932312011719,1.5348864793777466,3.3330156803131104,122,1,(24),100,50,16,256
0,221.184814453125,1.2063014507293701,3.305276870727539,132,1,(26),100,50,16,256
0,482.3131103515625,1.7813233137130737,3.219087600708008,142,1,(28),100,50,16,256
0,141.42095947265625,0.9645729660987854,17.1123526096344,152,1,(30),100,50,16,256
