Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,359.0469055175781,1.5369290113449097,384.6661443710327,14,1,(2),10000,50,16,256
0,285.74127197265625,1.3710860013961792,391.5896725654602,24,1,(4),10000,50,16,256
0,36.465538024902344,0.4898008406162262,396.267587184906,34,1,(6),10000,50,16,256
0,29.69636344909668,0.4420076906681061,402.0457663536072,44,1,(8),10000,50,16,256
0,22.073610305786133,0.3810788691043854,353.74375772476196,54,1,(10),10000,50,16,256
0,15.493712425231934,0.3192684054374695,313.830415725708,64,1,(12),10000,50,16,256
0,15.821102142333984,0.32262393832206726,317.3521316051483,74,1,(14),10000,50,16,256
0,16.75853729248047,0.33204448223114014,303.3902201652527,84,1,(16),10000,50,16,256
0,11.738336563110352,0.2778954803943634,303.9823043346405,94,1,(18),10000,50,16,256
0,16.119972229003906,0.3256569504737854,315.2756018638611,104,1,(20),10000,50,16,256
0,11.867259979248047,0.27941739559173584,320.9528155326843,114,1,(22),10000,50,16,256
0,8.05926513671875,0.23026393353939056,320.93916630744934,124,1,(24),10000,50,16,256
0,13.018348693847656,0.2926551401615143,324.94752526283264,134,1,(26),10000,50,16,256
0,9.341339111328125,0.24790357053279877,326.76917123794556,144,1,(28),10000,50,16,256
0,9.325799942016602,0.24769729375839233,324.3822572231293,154,1,(30),10000,50,16,256
