Replicate,SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,659.5853271484375,2.0831170082092285,385.341765165329,12,1,(2),10000,50,16,256
0,94.56511688232422,0.788757860660553,391.8010003566742,22,1,(4),10000,50,16,256
0,34.25318908691406,0.4747103750705719,395.6449649333954,32,1,(6),10000,50,16,256
0,41.19398498535156,0.5205891132354736,401.9738688468933,42,1,(8),10000,50,16,256
0,25.186279296875,0.4070616662502289,408.551344871521,52,1,(10),10000,50,16,256
0,32.704833984375,0.4638570547103882,411.6590666770935,62,1,(12),10000,50,16,256
0,28.859466552734375,0.43573492765426636,415.4477174282074,72,1,(14),10000,50,16,256
0,17.757396697998047,0.3417966961860657,413.38308334350586,82,1,(16),10000,50,16,256
0,25.052907943725586,0.40598246455192566,421.1657943725586,92,1,(18),10000,50,16,256
0,11.761271476745605,0.27816683053970337,444.40928173065186,102,1,(20),10000,50,16,256
0,24.99158477783203,0.4054853022098541,445.163681268692,112,1,(22),10000,50,16,256
0,15.62594985961914,0.32062798738479614,449.87603998184204,122,1,(24),10000,50,16,256
0,20.50791358947754,0.36731523275375366,452.0967981815338,132,1,(26),10000,50,16,256
0,13.173480987548828,0.2943936586380005,523.7185180187225,142,1,(28),10000,50,16,256
0,11.344941139221191,0.2731991410255432,1896.4866321086884,152,1,(30),10000,50,16,256
