"Train.Loss","Test.Loss","Replicate","Size","Batch.Time","Batch.Size","Learning.Rate","Learning.Rate.Step","Iterations","Wall.Time"
0.0842114835977554,0.129218354821205,0,5,16,64,0.1,500,500,5.34649443626404
0.0443274639546871,0.046593826264143,0,5,16,64,0.1,500,1000,10.9467961788177
0.0565739907324314,0.0650789886713028,0,5,16,64,0.1,500,2000,22.026645898819
0.0491624660789967,0.0349971987307072,0,5,16,64,0.1,500,4000,44.9987618923187
0.0512857735157013,0.0738084986805916,0,5,16,64,0.1,1000,500,5.6342933177948
0.056329969316721,0.0898774042725563,0,5,16,64,0.1,1000,1000,12.6326246261597
0.0745857134461403,0.0919921919703484,0,5,16,64,0.1,1000,2000,24.151340007782
0.0758310481905937,0.0905793458223343,0,5,16,64,0.1,1000,4000,43.9801061153412
0.414487808942795,0.416196018457413,0,5,16,64,0.01,500,500,5.50366950035095
0.113928563892841,0.170606315135956,0,5,16,64,0.01,500,1000,6.54722929000854
0.190052628517151,0.262445509433746,0,5,16,64,0.01,500,2000,11.2636830806732
0.353720307350159,0.489276647567749,0,5,16,64,0.01,500,4000,22.7152543067932
0.44627845287323,0.831332325935364,0,5,16,64,0.01,1000,500,2.81181049346924
0.0865731090307236,0.136970698833466,0,5,16,64,0.01,1000,1000,5.58192992210388
0.240642830729485,0.368207812309265,0,5,16,64,0.01,1000,2000,11.1987788677216
0.0959671586751938,0.163031741976738,0,5,16,64,0.01,1000,4000,22.2804839611053
0.161245882511139,0.31282252073288,0,5,16,128,0.1,500,500,2.91422343254089
0.0431827679276466,0.0685314759612083,0,5,16,128,0.1,500,1000,5.84781074523926
0.0403770133852959,0.0435051321983337,0,5,16,128,0.1,500,2000,11.8206901550293
0.0472151562571526,0.0455085635185242,0,5,16,128,0.1,500,4000,24.151731967926
0.353406310081482,0.378694832324982,0,5,16,128,0.1,1000,500,2.97742867469788
0.187962025403976,0.283802807331085,0,5,16,128,0.1,1000,1000,5.89830613136292
0.0467422157526016,0.0789491012692451,0,5,16,128,0.1,1000,2000,11.6907382011414
0.0429486781358719,0.0427066311240196,0,5,16,128,0.1,1000,4000,23.4578378200531
0.49583888053894,0.418150305747986,0,5,16,128,0.01,500,500,2.93640565872192
0.150693163275719,0.296224653720856,0,5,16,128,0.01,500,1000,6.05833005905151
0.458440721035004,0.419241338968277,0,5,16,128,0.01,500,2000,11.9190213680267
0.308190941810608,0.497414112091064,0,5,16,128,0.01,500,4000,23.4125785827637
0.664952754974365,1.00360679626465,0,5,16,128,0.01,1000,500,2.93785500526428
0.0762269347906113,0.129576057195663,0,5,16,128,0.01,1000,1000,5.87699627876282
0.0649801194667816,0.0631408467888832,0,5,16,128,0.01,1000,2000,11.7242817878723
0.41942286491394,0.459797203540802,0,5,16,128,0.01,1000,4000,23.5501682758331
0.0536299459636211,0.0787885263562202,0,5,16,256,0.1,500,500,3.1597900390625
0.0471700392663479,0.0441751852631569,0,5,16,256,0.1,500,1000,6.29411649703979
0.0418229699134827,0.0334585979580879,0,5,16,256,0.1,500,2000,12.5953099727631
0.0510531477630138,0.0480355881154537,0,5,16,256,0.1,500,4000,25.4832782745361
0.460920214653015,0.645595490932465,0,5,16,256,0.1,1000,500,3.2494683265686
0.552879571914673,0.587595343589783,0,5,16,256,0.1,1000,1000,6.3535315990448
0.0498518906533718,0.034705363214016,0,5,16,256,0.1,1000,2000,12.5873730182648
0.040082722902298,0.0327688381075859,0,5,16,256,0.1,1000,4000,25.2204916477203
0.0687009543180466,0.104556724429131,0,5,16,256,0.01,500,500,3.14958071708679
0.149155393242836,0.345670104026794,0,5,16,256,0.01,500,1000,6.30596780776978
0.581117689609528,0.979184031486511,0,5,16,256,0.01,500,2000,12.5886919498444
0.397854179143906,0.480476886034012,0,5,16,256,0.01,500,4000,25.1388702392578
0.149169653654099,0.321623831987381,0,5,16,256,0.01,1000,500,3.15343284606934
0.0548189878463745,0.0732731148600578,0,5,16,256,0.01,1000,1000,6.30244326591492
0.0434314459562302,0.0338388718664646,0,5,16,256,0.01,1000,2000,12.6092727184296
0.0445578843355179,0.0394892767071724,0,5,16,256,0.01,1000,4000,25.3531558513641
0.114885658025742,0.229659229516983,0,5,32,64,0.1,500,500,5.55302834510803
0.0501988045871258,0.0331430919468403,0,5,32,64,0.1,500,1000,11.4723792076111
0.0433345548808575,0.040708988904953,0,5,32,64,0.1,500,2000,25.2961416244507
0.0440014339983463,0.0306311957538128,0,5,32,64,0.1,500,4000,44.7946979999542
0.0701660141348839,0.093079574406147,0,5,32,64,0.1,1000,500,5.60770463943481
0.0732627883553505,0.0595682896673679,0,5,32,64,0.1,1000,1000,11.2156674861908
0.0423227250576019,0.0591041408479214,0,5,32,64,0.1,1000,2000,22.3866667747498
0.0465312600135803,0.0377581752836704,0,5,32,64,0.1,1000,4000,45.3493914604187
0.231073588132858,0.424090087413788,0,5,32,64,0.01,500,500,5.62685894966125
1.59463763237,6.2924919128418,0,5,32,64,0.01,500,1000,11.1470589637756
0.159088879823685,0.152573719620705,0,5,32,64,0.01,500,2000,22.3827600479126
0.0722673833370209,0.0753271505236626,0,5,32,64,0.01,500,4000,45.1722326278687
0.0787543132901192,0.0668609440326691,0,5,32,64,0.01,1000,500,5.58943390846252
0.05554174259305,0.0802227705717087,0,5,32,64,0.01,1000,1000,11.207172870636
0.0427446439862251,0.0353635661303997,0,5,32,64,0.01,1000,2000,22.4358291625977
0.0460066348314285,0.0412524379789829,0,5,32,64,0.01,1000,4000,45.0678019523621
0.0648510083556175,0.0611114054918289,0,5,32,128,0.1,500,500,5.96132779121399
0.0454227663576603,0.0587644428014755,0,5,32,128,0.1,500,1000,11.8870377540588
0.0505303554236889,0.0367761366069317,0,5,32,128,0.1,500,2000,23.8849601745605
0.0391486138105392,0.0317311994731426,0,5,32,128,0.1,500,4000,47.6826047897339
0.206794068217278,0.424231857061386,0,5,32,128,0.1,1000,500,5.92599129676819
0.141598984599113,0.221133798360825,0,5,32,128,0.1,1000,1000,11.8991034030914
0.0399575084447861,0.0433721207082272,0,5,32,128,0.1,1000,2000,23.9211735725403
0.040531899780035,0.0343451276421547,0,5,32,128,0.1,1000,4000,48.0764565467834
0.365177005529404,1.44031846523285,0,5,32,128,0.01,500,500,6.0335521697998
0.256658315658569,0.119644470512867,0,5,32,128,0.01,500,1000,11.9731125831604
0.068998284637928,0.0887796133756638,0,5,32,128,0.01,500,2000,25.7633051872253
0.0814202353358269,0.121116794645786,0,5,32,128,0.01,500,4000,48.3422451019287
0.157109647989273,0.279256016016006,0,5,32,128,0.01,1000,500,5.86418175697327
0.0528658293187618,0.0421182103455067,0,5,32,128,0.01,1000,1000,11.7606554031372
0.0657983496785164,0.0667714476585388,0,5,32,128,0.01,1000,2000,23.8201863765717
0.0453022308647633,0.0400098897516727,0,5,32,128,0.01,1000,4000,47.4817910194397
0.150032609701157,0.238488793373108,0,5,32,256,0.1,500,500,6.51897406578064
0.0487638041377068,0.0300991367548704,0,5,32,256,0.1,500,1000,13.0716798305511
0.0609113089740276,0.0526784397661686,0,5,32,256,0.1,500,2000,26.10702085495
0.0505072399973869,0.0393996760249138,0,5,32,256,0.1,500,4000,52.0988771915436
0.168933168053627,0.281677275896072,0,5,32,256,0.1,1000,500,6.50542140007019
0.119175627827644,0.194536656141281,0,5,32,256,0.1,1000,1000,13.1448109149933
0.0462616197764874,0.0355533696711063,0,5,32,256,0.1,1000,2000,26.4389021396637
0.0454694479703903,0.0364180877804756,0,5,32,256,0.1,1000,4000,52.2371718883514
0.621685206890106,2.62047696113586,0,5,32,256,0.01,500,500,6.53352785110474
0.0693868845701218,0.0589817129075527,0,5,32,256,0.01,500,1000,12.9804625511169
0.0634802952408791,0.0540565438568592,0,5,32,256,0.01,500,2000,30.5497059822083
0.188500180840492,0.149972721934319,0,5,32,256,0.01,500,4000,54.5008459091187
0.375177830457687,1.22736573219299,0,5,32,256,0.01,1000,500,6.69008708000183
0.0822435393929482,0.081623338162899,0,5,32,256,0.01,1000,1000,13.1874358654022
0.453271567821503,1.26736307144165,0,5,32,256,0.01,1000,2000,25.8920223712921
0.0602667666971684,0.0329985469579697,0,5,32,256,0.01,1000,4000,53.9034185409546
0.142937481403351,0.128639414906502,0,5,64,64,0.1,500,500,11.774923324585
0.117343172430992,0.102345012128353,0,5,64,64,0.1,500,1000,23.6635992527008
0.0430832765996456,0.0326595455408096,0,5,64,64,0.1,500,2000,46.519544839859
0.090122751891613,0.0693938136100769,0,5,64,64,0.1,500,4000,93.6137080192566
0.120723724365234,0.19343401491642,0,5,64,64,0.1,1000,500,11.7934553623199
0.0742570832371712,0.0621250867843628,0,5,64,64,0.1,1000,1000,23.5746631622314
0.048512764275074,0.0409215614199638,0,5,64,64,0.1,1000,2000,47.2819378376007
0.0394853055477142,0.0302970856428146,0,5,64,64,0.1,1000,4000,96.3713042736053
0.258448451757431,0.23796483874321,0,5,64,64,0.01,500,500,11.6871860027313
0.296499878168106,0.336212605237961,0,5,64,64,0.01,500,1000,23.6308317184448
0.225554794073105,0.19978940486908,0,5,64,64,0.01,500,2000,46.0374937057495
0.23973648250103,0.220861047506332,0,5,64,64,0.01,500,4000,91.9591379165649
0.427083075046539,0.367573440074921,0,5,64,64,0.01,1000,500,11.4234571456909
0.381259590387344,2.33479857444763,0,5,64,64,0.01,1000,1000,23.1152021884918
0.0741412714123726,0.0787645950913429,0,5,64,64,0.01,1000,2000,46.5207538604736
0.0609930455684662,0.034666083753109,0,5,64,64,0.01,1000,4000,94.1157743930817
0.287539660930634,0.383398711681366,0,5,64,128,0.1,500,500,12.768764257431
0.0457969941198826,0.0449031181633472,0,5,64,128,0.1,500,1000,25.6193733215332
0.0502023808658123,0.0486795268952847,0,5,64,128,0.1,500,2000,49.3045384883881
0.0416997410356998,0.0319290682673454,0,5,64,128,0.1,500,4000,98.8227548599243
0.0846157148480415,0.174618497490883,0,5,64,128,0.1,1000,500,12.3580646514893
0.272716790437698,0.427357226610184,0,5,64,128,0.1,1000,1000,25.4815130233765
0.0444794446229935,0.0321140810847282,0,5,64,128,0.1,1000,2000,51.043417930603
0.0403400920331478,0.031565435230732,0,5,64,128,0.1,1000,4000,101.836269140244
0.23774291574955,0.548226416110992,0,5,64,128,0.01,500,500,12.7002806663513
0.3260577917099,0.850581586360931,0,5,64,128,0.01,500,1000,25.4879109859467
0.473608523607254,0.633125782012939,0,5,64,128,0.01,500,2000,50.6421265602112
0.479671627283096,2.14168643951416,0,5,64,128,0.01,500,4000,103.553474903107
0.13423202931881,0.0925528258085251,0,5,64,128,0.01,1000,500,12.2910635471344
0.076105885207653,0.04649992659688,0,5,64,128,0.01,1000,1000,24.540203332901
0.0543917678296566,0.0409639850258827,0,5,64,128,0.01,1000,2000,49.7242510318756
0.0455343909561634,0.0416045412421227,0,5,64,128,0.01,1000,4000,98.1391954421997
0.118109084665775,0.121606104075909,0,5,64,256,0.1,500,500,24.8798975944519
0.0433154664933681,0.033277191221714,0,5,64,256,0.1,500,1000,49.5600252151489
0.0554583594202995,0.0319508761167526,0,5,64,256,0.1,500,2000,101.367866277695
0.0456965081393719,0.0373294241726398,0,5,64,256,0.1,500,4000,201.333009958267
0.0690279006958008,0.0640838891267776,0,5,64,256,0.1,1000,500,24.4963562488556
0.0965956002473831,0.174583792686462,0,5,64,256,0.1,1000,1000,50.031895160675
