"Train.Loss","Test.Loss","Replicate","Size","Batch.Time","Batch.Size","Learning.Rate","Learning.Rate.Step","Iterations","Wall.Time"
0.294347286224365,0.373501509428024,0,5,16,64,0.1,500,500,8.22338700294495
0.208254233002663,0.287829458713531,0,5,16,64,0.1,500,1000,16.4749195575714
0.189447551965714,0.166940972208977,0,5,16,64,0.1,500,2000,32.9996478557587
0.164056152105331,0.179229244589806,0,5,16,64,0.1,500,4000,66.1264102458954
0.336983561515808,0.320900052785873,0,5,16,64,0.1,1000,500,8.27395558357239
0.143534794449806,0.144575566053391,0,5,16,64,0.1,1000,1000,16.5092797279358
0.133693069219589,0.162626042962074,0,5,16,64,0.1,1000,2000,33.0499618053436
0.136371046304703,0.183437660336494,0,5,16,64,0.1,1000,4000,66.0669331550598
0.636836290359497,0.953908503055573,0,5,16,64,0.01,500,500,8.25993084907532
0.628771722316742,0.563702404499054,0,5,16,64,0.01,500,1000,16.4980661869049
0.525002777576447,0.513007164001465,0,5,16,64,0.01,500,2000,33.0757613182068
0.517050623893738,0.496764808893204,0,5,16,64,0.01,500,4000,66.0707304477692
0.587415397167206,0.68950617313385,0,5,16,64,0.01,1000,500,8.25914311408997
0.582750916481018,0.638253629207611,0,5,16,64,0.01,1000,1000,16.5040447711945
0.391385763883591,0.781917691230774,0,5,16,64,0.01,1000,2000,33.056324005127
0.50864589214325,0.604508936405182,0,5,16,64,0.01,1000,4000,66.0479583740234
0.285472571849823,0.454809635877609,0,5,16,128,0.1,500,500,8.6917622089386
0.219507217407227,0.296417444944382,0,5,16,128,0.1,500,1000,17.4029016494751
0.237161323428154,0.395060211420059,0,5,16,128,0.1,500,2000,34.8815839290619
0.231852874159813,0.192262277007103,0,5,16,128,0.1,500,4000,69.7026219367981
0.284708291292191,0.468005985021591,0,5,16,128,0.1,1000,500,8.71335554122925
0.118155166506767,0.107255272567272,0,5,16,128,0.1,1000,1000,17.4280335903168
0.125348791480064,0.153523087501526,0,5,16,128,0.1,1000,2000,34.8631229400635
0.115988850593567,0.103173084557056,0,5,16,128,0.1,1000,4000,69.6875040531158
0.615078032016754,0.628140866756439,0,5,16,128,0.01,500,500,8.72141218185425
0.449446588754654,0.661411941051483,0,5,16,128,0.01,500,1000,17.4476025104523
0.495703160762787,0.579062402248383,0,5,16,128,0.01,500,2000,34.8609430789948
0.579442083835602,0.777756631374359,0,5,16,128,0.01,500,4000,69.7525556087494
0.577114760875702,0.395858287811279,0,5,16,128,0.01,1000,500,8.70589566230774
0.3964684009552,0.823980867862701,0,5,16,128,0.01,1000,1000,17.4320321083069
0.417061597108841,0.809498488903046,0,5,16,128,0.01,1000,2000,34.8583428859711
0.414657384157181,0.757021844387054,0,5,16,128,0.01,1000,4000,69.7462596893311
0.436434119939804,0.762974083423615,0,5,16,256,0.1,500,500,9.17436265945435
0.199627801775932,0.264672577381134,0,5,16,256,0.1,500,1000,18.3186008930206
0.233370169997215,0.312256693840027,0,5,16,256,0.1,500,2000,36.6705029010773
0.170532777905464,0.175564274191856,0,5,16,256,0.1,500,4000,73.4063704013824
