Train Loss,Test Loss,Replicate,Size
0.2132965624332428,,0,5
0.19844821095466614,0.29436159133911133,1,5
0.3531739115715027,,2,5
0.18282653391361237,0.17509987950325012,3,5
0.23533481359481812,0.48422572016716003,4,5
0.21265356242656708,,5,5
0.2100725919008255,0.41635385155677795,6,5
0.2130681425333023,0.3428400754928589,7,5
0.24306286871433258,0.4525355100631714,8,5
0.20242081582546234,0.29621702432632446,9,5
0.20678050816059113,0.20862671732902527,10,5
0.2123638391494751,,11,5
0.2078220546245575,1.6155939102172852,12,5
0.17462868988513947,0.21283994615077972,13,5
0.18711410462856293,0.3280274569988251,14,5
0.21222440898418427,,15,5
0.22068539261817932,0.3956691026687622,16,5
0.20487388968467712,0.424783319234848,17,5
0.17467787861824036,0.20286808907985687,18,5
0.17892608046531677,0.16513580083847046,19,5
0.2105770856142044,1.9809293746948242,20,5
0.17740358412265778,0.1662038266658783,21,5
0.16627202928066254,0.146235853433609,22,5
0.24305495619773865,,23,5
0.18807578086853027,0.26435768604278564,24,5
0.21590790152549744,,25,5
0.26565462350845337,0.6303480863571167,26,5
0.21690768003463745,,27,5
0.17402304708957672,0.27278003096580505,28,5
0.16830910742282867,0.22222286462783813,29,5
0.22929199039936066,,0,15
0.22577019035816193,,1,15
0.21668869256973267,,2,15
0.23384642601013184,2.3092522621154785,3,15
0.2232503592967987,,4,15
0.22458559274673462,,5,15
0.23515869677066803,0.3678901195526123,6,15
0.22135759890079498,,7,15
0.2197551280260086,1.4745514392852783,8,15
0.21524333953857422,,9,15
0.25844159722328186,,10,15
0.2156149297952652,,11,15
0.17732615768909454,0.2627151310443878,12,15
0.21737848222255707,,13,15
0.21933294832706451,,14,15
0.6578430533409119,0.6018519997596741,15,15
0.221260204911232,,16,15
0.4128436744213104,0.3795495927333832,17,15
0.25102442502975464,,18,15
,,19,15
0.21657776832580566,,20,15
0.4127657115459442,0.3955046236515045,21,15
0.23523107171058655,2.376734972000122,22,15
,,23,15
6.1090312004089355,12.43073844909668,24,15
0.22253333032131195,,25,15
,,26,15
,,27,15
0.2242039293050766,1.2291820049285889,28,15
0.22316108644008636,1.930931568145752,29,15
,,0,25
,,1,25
0.22968018054962158,0.3610886037349701,2,25
,,3,25
,,4,25
0.2171867936849594,,5,25
0.2171761393547058,,6,25
0.21720309555530548,,7,25
,,8,25
0.2171115279197693,,9,25
,,10,25
0.22723150253295898,,11,25
,,12,25
,,13,25
,,14,25
,,15,25
,,16,25
,,17,25
0.22394689917564392,,18,25
0.21896125376224518,2.831857204437256,19,25
0.21401891112327576,,20,25
0.21834096312522888,,21,25
0.22970916330814362,,22,25
,,23,25
,,24,25
,,25,25
0.21627682447433472,0.5894014835357666,26,25
0.22013328969478607,,27,25
0.2191992998123169,,28,25
0.21256449818611145,,29,25
