Train Loss,Test Loss,Replicate,Size,Batch Time,Batch Size,Learning Rate,Learning Rate Step,Iterations,Wall Time
0.5962879061698914,,0,5,16,64,0.1,500,500,7.888526439666748
1.2185337543487549,3.126833200454712,0,5,16,64,0.1,500,1000,15.708467960357666
0.8261327743530273,2.0689079761505127,0,5,16,64,0.1,500,2000,30.705254077911377
1.0377609729766846,2.6741175651550293,0,5,16,64,0.1,500,4000,61.366848945617676
1.1961971521377563,3.0117878913879395,0,5,16,64,0.1,1000,500,7.686302661895752
1.0775645971298218,2.8150758743286133,0,5,16,64,0.1,1000,1000,15.323348999023438
0.9430416822433472,2.7338643074035645,0,5,16,64,0.1,1000,2000,30.683806896209717
0.8207087516784668,2.081930637359619,0,5,16,64,0.1,1000,4000,61.4116005897522
1.9072710275650024,5.459396839141846,0,5,16,64,0.01,500,500,7.675453186035156
2.7795591354370117,7.369293212890625,0,5,16,64,0.01,500,1000,15.335254907608032
1.7601230144500732,4.2690629959106445,0,5,16,64,0.01,500,2000,30.66156029701233
2.392835855484009,6.435063362121582,0,5,16,64,0.01,500,4000,61.24762463569641
2.3321480751037598,6.640152931213379,0,5,16,64,0.01,1000,500,7.895400047302246
2.38442325592041,6.444851875305176,0,5,16,64,0.01,1000,1000,15.348571062088013
2.0991029739379883,5.542789459228516,0,5,16,64,0.01,1000,2000,30.795551300048828
0.6758317947387695,1.523604393005371,0,5,16,64,0.01,1000,4000,61.682600021362305
1.1183665990829468,2.828937292098999,0,5,16,128,0.1,500,500,8.275873899459839
0.5869921445846558,1.68374764919281,0,5,16,128,0.1,500,1000,16.60707139968872
1.0163823366165161,2.647019863128662,0,5,16,128,0.1,500,2000,33.282854318618774
1.02092707157135,2.5994749069213867,0,5,16,128,0.1,500,4000,66.45004773139954
1.1626945734024048,2.9410297870635986,0,5,16,128,0.1,1000,500,8.329950094223022
0.9296889305114746,2.4238741397857666,0,5,16,128,0.1,1000,1000,16.667136907577515
0.9865494966506958,2.6157803535461426,0,5,16,128,0.1,1000,2000,33.293389558792114
1.0061923265457153,2.8519420623779297,0,5,16,128,0.1,1000,4000,66.51642203330994
2.121802568435669,5.817765712738037,0,5,16,128,0.01,500,500,8.34169340133667
2.087242841720581,5.01094388961792,0,5,16,128,0.01,500,1000,16.620572566986084
2.4359419345855713,4.684240341186523,0,5,16,128,0.01,500,2000,33.361541509628296
1.9436028003692627,4.775357723236084,0,5,16,128,0.01,500,4000,66.5673680305481
1.737882375717163,3.6853058338165283,0,5,16,128,0.01,1000,500,8.311854362487793
1.7244858741760254,4.156618595123291,0,5,16,128,0.01,1000,1000,16.624114990234375
1.8344589471817017,3.0303831100463867,0,5,16,128,0.01,1000,2000,33.263513803482056
2.019252061843872,5.14483642578125,0,5,16,128,0.01,1000,4000,66.41622495651245
1.1157232522964478,2.8283543586730957,0,5,16,256,0.1,500,500,8.865342140197754
1.1277599334716797,2.905877113342285,0,5,16,256,0.1,500,1000,17.702479362487793
0.9953494668006897,2.5207691192626953,0,5,16,256,0.1,500,2000,35.46454381942749
1.2010501623153687,3.1028342247009277,0,5,16,256,0.1,500,4000,70.9259762763977
1.0477403402328491,2.6828761100769043,0,5,16,256,0.1,1000,500,8.90246868133545
0.9834378361701965,2.5986175537109375,0,5,16,256,0.1,1000,1000,17.809468269348145
1.275652289390564,3.6141297817230225,0,5,16,256,0.1,1000,2000,35.474599838256836
0.9115098118782043,2.35703444480896,0,5,16,256,0.1,1000,4000,70.87845015525818
1.9627584218978882,4.850494861602783,0,5,16,256,0.01,500,500,8.88094425201416
1.7095813751220703,4.313907146453857,0,5,16,256,0.01,500,1000,17.758605241775513
1.450363039970398,4.07084321975708,0,5,16,256,0.01,500,2000,35.452858209609985
2.9391918182373047,7.67171049118042,0,5,16,256,0.01,500,4000,70.91220831871033
1.4830435514450073,3.541304349899292,0,5,16,256,0.01,1000,500,8.86099123954773
2.232788324356079,5.575014591217041,0,5,16,256,0.01,1000,1000,17.720101833343506
1.696557879447937,4.023351192474365,0,5,16,256,0.01,1000,2000,35.43640160560608
2.2816407680511475,5.848250865936279,0,5,16,256,0.01,1000,4000,70.89479660987854
0.8587924838066101,,0,5,32,64,0.1,500,500,15.671000480651855
0.43228504061698914,,0,5,32,64,0.1,500,1000,31.43003749847412
0.5152524709701538,,0,5,32,64,0.1,500,2000,62.76498484611511
0.4685433506965637,,0,5,32,64,0.1,500,4000,125.64352512359619
1.1118015050888062,,0,5,32,64,0.1,1000,500,15.729344844818115
0.5412275195121765,1.3600093126296997,0,5,32,64,0.1,1000,1000,31.42838430404663
0.39161109924316406,0.8861488699913025,0,5,32,64,0.1,1000,2000,62.87330627441406
0.5229223370552063,1.25163996219635,0,5,32,64,0.1,1000,4000,125.48497867584229
0.48439210653305054,,0,5,32,64,0.01,500,500,15.733049631118774
1.932880163192749,1.2867833375930786,0,5,32,64,0.01,500,1000,31.365836143493652
3.1280651092529297,,0,5,32,64,0.01,500,2000,62.67265224456787
0.5057355165481567,,0,5,32,64,0.01,500,4000,125.20353150367737
1.920387864112854,1.0994046926498413,0,5,32,64,0.01,1000,500,15.671080827713013
,,0,5,32,64,0.01,1000,1000,31.3400297164917
1.6056009531021118,,0,5,32,64,0.01,1000,2000,62.66792058944702
,,0,5,32,64,0.01,1000,4000,125.50216054916382
0.6560528874397278,,0,5,32,128,0.1,500,500,17.04932689666748
0.4586600065231323,,0,5,32,128,0.1,500,1000,34.19399118423462
0.3554019629955292,,0,5,32,128,0.1,500,2000,68.17271971702576
0.3922305405139923,,0,5,32,128,0.1,500,4000,136.39708852767944
0.43848833441734314,,0,5,32,128,0.1,1000,500,17.029942750930786
0.5754463076591492,,0,5,32,128,0.1,1000,1000,34.06853985786438
0.5052427053451538,0.916259765625,0,5,32,128,0.1,1000,2000,68.11976385116577
0.49981290102005005,0.8626042008399963,0,5,32,128,0.1,1000,4000,136.28840279579163
1.3530559539794922,0.5781695246696472,0,5,32,128,0.01,500,500,16.997325897216797
1.7940484285354614,1.025838851928711,0,5,32,128,0.01,500,1000,34.06023287773132
1.8998812437057495,1.4479819536209106,0,5,32,128,0.01,500,2000,68.27163314819336
0.40097254514694214,,0,5,32,128,0.01,500,4000,136.56718254089355
0.524139940738678,,0,5,32,128,0.01,1000,500,17.10426688194275
0.4984748065471649,,0,5,32,128,0.01,1000,1000,34.18930673599243
,,0,5,32,128,0.01,1000,2000,68.36287355422974
,,0,5,32,128,0.01,1000,4000,136.37201929092407
0.3308258652687073,,0,5,32,256,0.1,500,500,18.258836030960083
0.6209931373596191,,0,5,32,256,0.1,500,1000,36.42551875114441
0.526009738445282,1.1674084663391113,0,5,32,256,0.1,500,2000,72.83890509605408
0.5021038055419922,0.9430184960365295,0,5,32,256,0.1,500,4000,145.95542645454407
0.2705480754375458,,0,5,32,256,0.1,1000,500,18.243639707565308
0.3007337749004364,,0,5,32,256,0.1,1000,1000,36.404688119888306
0.4275917708873749,0.9417548775672913,0,5,32,256,0.1,1000,2000,73.05518007278442
0.4985077381134033,0.7707110047340393,0,5,32,256,0.1,1000,4000,145.63139939308167
1.543636441230774,0.6969054937362671,0,5,32,256,0.01,500,500,18.169567346572876
1.56045663356781,0.6687495112419128,0,5,32,256,0.01,500,1000,36.39050340652466
2.2777998447418213,3.0435705184936523,0,5,32,256,0.01,500,2000,72.81943964958191
1.7006640434265137,0.9656912684440613,0,5,32,256,0.01,500,4000,145.52533650398254
1.6768306493759155,0.8052314519882202,0,5,32,256,0.01,1000,500,18.182793855667114
0.49874675273895264,0.9418604969978333,0,5,32,256,0.01,1000,1000,36.47161030769348
0.505888819694519,1.2763257026672363,0,5,32,256,0.01,1000,2000,72.96625876426697
0.4949404299259186,0.9746912121772766,0,5,32,256,0.01,1000,4000,145.76384782791138
0.18727213144302368,0.24798989295959473,0,5,64,64,0.1,500,500,31.789989709854126
0.3602285087108612,2.399418592453003,0,5,64,64,0.1,500,1000,63.797325134277344
0.2711775302886963,,0,5,64,64,0.1,500,2000,127.75513172149658
0.25130128860473633,0.5683290362358093,0,5,64,64,0.1,500,4000,254.45883655548096
0.2113768458366394,,0,5,64,64,0.1,1000,500,31.748361825942993
0.19065766036510468,,0,5,64,64,0.1,1000,1000,63.46154475212097
0.18508116900920868,0.22576910257339478,0,5,64,64,0.1,1000,2000,126.73550844192505
0.1762390434741974,0.2646002173423767,0,5,64,64,0.1,1000,4000,254.17044806480408
0.7808070182800293,0.6857939958572388,0,5,64,64,0.01,500,500,31.840810537338257
0.8843038082122803,0.6131332516670227,0,5,64,64,0.01,500,1000,63.56687116622925
0.6132214069366455,0.9532728791236877,0,5,64,64,0.01,500,2000,127.07305788993835
1.002077579498291,0.5158496499061584,0,5,64,64,0.01,500,4000,252.77854585647583
0.9670794010162354,0.45179393887519836,0,5,64,64,0.01,1000,500,31.549806594848633
1.0389292240142822,0.6684873700141907,0,5,64,64,0.01,1000,1000,63.47953939437866
1.2388486862182617,0.8104340434074402,0,5,64,64,0.01,1000,2000,126.15541362762451
1.0609092712402344,0.6452040672302246,0,5,64,64,0.01,1000,4000,252.8135232925415
0.17939171195030212,0.4455874264240265,0,5,64,128,0.1,500,500,34.79225444793701
0.2094751000404358,2.3854382038116455,0,5,64,128,0.1,500,1000,69.55201864242554
0.2650423049926758,,0,5,64,128,0.1,500,2000,139.07015657424927
0.20629839599132538,0.7593901753425598,0,5,64,128,0.1,500,4000,278.4284346103668
0.4030875861644745,0.37799784541130066,0,5,64,128,0.1,1000,500,34.82544279098511
0.21016694605350494,0.29247286915779114,0,5,64,128,0.1,1000,1000,69.77105569839478
0.21475550532341003,,0,5,64,128,0.1,1000,2000,139.29662775993347
0.17402315139770508,0.18186208605766296,0,5,64,128,0.1,1000,4000,278.85043954849243
0.9793984889984131,0.4730210602283478,0,5,64,128,0.01,500,500,34.84585380554199
1.1614378690719604,0.638761579990387,0,5,64,128,0.01,500,1000,69.92525625228882
0.6127024292945862,0.9558757543563843,0,5,64,128,0.01,500,2000,139.07410883903503
0.8656970858573914,0.6459048390388489,0,5,64,128,0.01,500,4000,277.81580352783203
0.931862473487854,0.47901877760887146,0,5,64,128,0.01,1000,500,34.77664089202881
1.0980710983276367,0.7579724192619324,0,5,64,128,0.01,1000,1000,69.67740845680237
1.0815213918685913,3.202877998352051,0,5,64,128,0.01,1000,2000,139.72414302825928
1.1240156888961792,0.6734343767166138,0,5,64,128,0.01,1000,4000,278.3759341239929
0.21586158871650696,,0,5,64,256,0.1,500,500,37.539239168167114
0.9827455282211304,,0,5,64,256,0.1,500,1000,74.9103775024414
0.2095976322889328,,0,5,64,256,0.1,500,2000,150.00472593307495
0.2136862874031067,,0,5,64,256,0.1,500,4000,299.3681609630585
0.199275404214859,3.093959331512451,0,5,64,256,0.1,1000,500,37.47869086265564
0.27881091833114624,,0,5,64,256,0.1,1000,1000,75.01971530914307
0.22561295330524445,1.343964695930481,0,5,64,256,0.1,1000,2000,149.7498722076416
0.21505215764045715,0.4400041103363037,0,5,64,256,0.1,1000,4000,299.23277759552
0.922781765460968,0.5068228840827942,0,5,64,256,0.01,500,500,37.519853353500366
1.0150768756866455,0.6669246554374695,0,5,64,256,0.01,500,1000,74.9194815158844
0.9685307741165161,0.4693363904953003,0,5,64,256,0.01,500,2000,149.96083283424377
0.9803723692893982,0.48612460494041443,0,5,64,256,0.01,500,4000,300.31322598457336
0.8868956565856934,0.5647017955780029,0,5,64,256,0.01,1000,500,37.49056386947632
1.1791799068450928,1.2705446481704712,0,5,64,256,0.01,1000,1000,74.94222044944763
1.1326794624328613,0.7172265648841858,0,5,64,256,0.01,1000,2000,150.26574969291687
1.1449365615844727,0.7060950994491577,0,5,64,256,0.01,1000,4000,300.2114112377167
0.6622473001480103,2.0601003170013428,0,15,16,64,0.1,500,500,7.906501293182373
0.5762171745300293,,0,15,16,64,0.1,500,1000,15.798386573791504
0.651978075504303,1.315577507019043,0,15,16,64,0.1,500,2000,31.599671840667725
0.8685435652732849,2.5162410736083984,0,15,16,64,0.1,500,4000,63.19835662841797
0.8614817261695862,2.228048086166382,0,15,16,64,0.1,1000,500,7.936633348464966
0.9872907400131226,2.7036898136138916,0,15,16,64,0.1,1000,1000,15.815632581710815
0.7580031752586365,1.8431668281555176,0,15,16,64,0.1,1000,2000,31.648257970809937
0.7602236270904541,1.8344309329986572,0,15,16,64,0.1,1000,4000,63.06526494026184
2.5696706771850586,6.83575439453125,0,15,16,64,0.01,500,500,7.903086423873901
2.3623125553131104,6.036675453186035,0,15,16,64,0.01,500,1000,15.817305564880371
2.5169031620025635,7.864499568939209,0,15,16,64,0.01,500,2000,31.59336256980896
2.7346549034118652,7.475049018859863,0,15,16,64,0.01,500,4000,62.96332883834839
2.3832147121429443,6.102816581726074,0,15,16,64,0.01,1000,500,7.888056755065918
1.6757724285125732,4.181703567504883,0,15,16,64,0.01,1000,1000,15.756539344787598
0.6303572654724121,1.5525243282318115,0,15,16,64,0.01,1000,2000,31.66573739051819
0.5961809158325195,1.062831163406372,0,15,16,64,0.01,1000,4000,62.51855182647705
0.8661778569221497,2.213118314743042,0,15,16,128,0.1,500,500,8.469654560089111
0.49623894691467285,0.7476241588592529,0,15,16,128,0.1,500,1000,16.97678542137146
1.1208906173706055,3.2237889766693115,0,15,16,128,0.1,500,2000,33.923250913619995
0.5584374070167542,1.2663172483444214,0,15,16,128,0.1,500,4000,67.92544460296631
0.9113413691520691,2.2831480503082275,0,15,16,128,0.1,1000,500,8.513681411743164
0.9512199759483337,2.5575263500213623,0,15,16,128,0.1,1000,1000,16.986295461654663
