Train Loss,Test Loss,Replicate,Size,Batch Time,Batch Size,Learning Rate,Learning Rate Step,Iterations,Wall Time
0.13582438230514526,0.20462438464164734,0,5,16,64,0.1,500,500,2.785506010055542
0.0656409040093422,0.0901571661233902,0,5,16,64,0.1,500,1000,5.93988823890686
0.07884929329156876,0.14331041276454926,0,5,16,64,0.1,500,2000,11.9293954372406
0.04383063688874245,0.03183096647262573,0,5,16,64,0.1,500,4000,22.298633575439453
0.1650284230709076,0.2474440336227417,0,5,16,64,0.1,1000,500,2.781937599182129
0.25445252656936646,0.4161994159221649,0,5,16,64,0.1,1000,1000,5.555400609970093
0.06345562636852264,0.09991208463907242,0,5,16,64,0.1,1000,2000,11.103388547897339
0.057809848338365555,0.03538036346435547,0,5,16,64,0.1,1000,4000,22.174590587615967
0.9084895253181458,1.2522436380386353,0,5,16,64,0.01,500,500,2.7867274284362793
0.3976205885410309,0.3959377110004425,0,5,16,64,0.01,500,1000,5.574072599411011
0.5695632696151733,0.9102494120597839,0,5,16,64,0.01,500,2000,11.125487565994263
0.4359983503818512,0.42154207825660706,0,5,16,64,0.01,500,4000,22.20198130607605
0.5419849753379822,0.48538491129875183,0,5,16,64,0.01,1000,500,2.783289670944214
0.12614616751670837,0.14780746400356293,0,5,16,64,0.01,1000,1000,5.543549537658691
0.07040254771709442,0.03324249014258385,0,5,16,64,0.01,1000,2000,11.123791456222534
0.05945058912038803,0.07530921697616577,0,5,16,64,0.01,1000,4000,22.249954223632812
0.314758837223053,0.5234886407852173,0,5,16,128,0.1,500,500,2.921281337738037
0.04995986074209213,0.06659923493862152,0,5,16,128,0.1,500,1000,5.881286144256592
0.0550784133374691,0.04706627503037453,0,5,16,128,0.1,500,2000,11.697949647903442
0.06433495134115219,0.07306873798370361,0,5,16,128,0.1,500,4000,23.40345072746277
0.09266375750303268,0.13155998289585114,0,5,16,128,0.1,1000,500,2.9331157207489014
0.2186886966228485,0.3475807011127472,0,5,16,128,0.1,1000,1000,5.8776795864105225
0.14581096172332764,0.41868942975997925,0,5,16,128,0.1,1000,2000,11.713868141174316
0.09951640665531158,0.11552495509386063,0,5,16,128,0.1,1000,4000,23.38673758506775
0.5035484433174133,0.3549560606479645,0,5,16,128,0.01,500,500,2.92641544342041
0.10361050069332123,0.20246170461177826,0,5,16,128,0.01,500,1000,5.840861082077026
0.4531717598438263,0.7840639352798462,0,5,16,128,0.01,500,2000,11.667846202850342
0.1566319614648819,0.2539095878601074,0,5,16,128,0.01,500,4000,23.343365907669067
0.2666252553462982,0.5043467879295349,0,5,16,128,0.01,1000,500,2.925048351287842
0.05241990089416504,0.056251395493745804,0,5,16,128,0.01,1000,1000,5.842027425765991
0.6398060321807861,0.4252696633338928,0,5,16,128,0.01,1000,2000,12.285208702087402
0.3271205425262451,0.6649426817893982,0,5,16,128,0.01,1000,4000,24.522237539291382
0.11001908779144287,0.19205521047115326,0,5,16,256,0.1,500,500,3.1354241371154785
0.08297474682331085,0.09674735367298126,0,5,16,256,0.1,500,1000,6.369240999221802
0.051285311579704285,0.049899764358997345,0,5,16,256,0.1,500,2000,12.566737413406372
0.043357476592063904,0.04358300939202309,0,5,16,256,0.1,500,4000,25.232750415802002
0.05692819505929947,0.08473473787307739,0,5,16,256,0.1,1000,500,3.1276628971099854
0.1594557762145996,0.2520817518234253,0,5,16,256,0.1,1000,1000,6.274590969085693
0.07765878736972809,0.13753031194210052,0,5,16,256,0.1,1000,2000,12.61279582977295
0.038177456706762314,0.04737851023674011,0,5,16,256,0.1,1000,4000,25.058125972747803
0.4325748682022095,0.34660103917121887,0,5,16,256,0.01,500,500,3.1258230209350586
0.05333343520760536,0.052528176456689835,0,5,16,256,0.01,500,1000,6.321598052978516
0.38255512714385986,0.4246097207069397,0,5,16,256,0.01,500,2000,12.488171339035034
0.07566985487937927,0.16582100093364716,0,5,16,256,0.01,500,4000,25.07357954978943
0.37503471970558167,0.4031865894794464,0,5,16,256,0.01,1000,500,3.1285338401794434
0.42771589756011963,0.4520418643951416,0,5,16,256,0.01,1000,1000,6.238974571228027
0.1657973825931549,0.24385005235671997,0,5,16,256,0.01,1000,2000,12.543428659439087
0.33911269903182983,0.835365891456604,0,5,16,256,0.01,1000,4000,24.99436926841736
0.12971840798854828,0.20716337859630585,0,5,32,64,0.1,500,500,5.516551971435547
0.04246167838573456,0.028934841975569725,0,5,32,64,0.1,500,1000,11.060394048690796
0.05061136186122894,0.039229970425367355,0,5,32,64,0.1,500,2000,22.078766345977783
0.040438517928123474,0.03449131175875664,0,5,32,64,0.1,500,4000,44.514575481414795
0.07765312492847443,0.07870049774646759,0,5,32,64,0.1,1000,500,5.5292580127716064
0.05519861355423927,0.07539188861846924,0,5,32,64,0.1,1000,1000,11.14685583114624
0.044516097754240036,0.05624106153845787,0,5,32,64,0.1,1000,2000,22.232413053512573
0.04164843633770943,0.030275698751211166,0,5,32,64,0.1,1000,4000,44.406471490859985
0.26313528418540955,0.3137053847312927,0,5,32,64,0.01,500,500,5.537749290466309
0.34716707468032837,1.0488882064819336,0,5,32,64,0.01,500,1000,11.169692277908325
0.058228325098752975,0.051401227712631226,0,5,32,64,0.01,500,2000,22.22787308692932
0.06777200102806091,0.06602631509304047,0,5,32,64,0.01,500,4000,44.55285668373108
0.11460773646831512,0.09538222849369049,0,5,32,64,0.01,1000,500,5.549993991851807
0.08586236834526062,0.055592142045497894,0,5,32,64,0.01,1000,1000,11.081559419631958
0.15706104040145874,0.3771582245826721,0,5,32,64,0.01,1000,2000,22.24463438987732
0.04934119060635567,0.04280231148004532,0,5,32,64,0.01,1000,4000,44.49874401092529
0.07902701199054718,0.07613493502140045,0,5,32,128,0.1,500,500,5.873723030090332
0.07908480614423752,0.06264349818229675,0,5,32,128,0.1,500,1000,11.769681453704834
0.04003710299730301,0.039817843586206436,0,5,32,128,0.1,500,2000,23.64855456352234
0.044377055019140244,0.02918802760541439,0,5,32,128,0.1,500,4000,46.960758209228516
0.0817328542470932,0.1167113333940506,0,5,32,128,0.1,1000,500,5.993399381637573
0.07066426426172256,0.0599234513938427,0,5,32,128,0.1,1000,1000,11.785291910171509
0.04536736011505127,0.046633604913949966,0,5,32,128,0.1,1000,2000,23.608912229537964
0.043604280799627304,0.028366582468152046,0,5,32,128,0.1,1000,4000,47.275370836257935
0.291412889957428,0.3489474058151245,0,5,32,128,0.01,500,500,5.89150857925415
0.07632345706224442,0.05632440745830536,0,5,32,128,0.01,500,1000,11.804256916046143
0.15887019038200378,0.3444766402244568,0,5,32,128,0.01,500,2000,23.699981212615967
0.32799285650253296,0.44219645857810974,0,5,32,128,0.01,500,4000,47.211219787597656
0.10036260634660721,0.10882173478603363,0,5,32,128,0.01,1000,500,5.877806901931763
0.043172240257263184,0.03030378930270672,0,5,32,128,0.01,1000,1000,11.828206300735474
0.0486825592815876,0.05102117732167244,0,5,32,128,0.01,1000,2000,23.581685781478882
0.04814789816737175,0.04244828596711159,0,5,32,128,0.01,1000,4000,47.221686601638794
0.05820658802986145,0.07458644360303879,0,5,32,256,0.1,500,500,6.3220744132995605
0.045625362545251846,0.041528668254613876,0,5,32,256,0.1,500,1000,12.711400270462036
0.041860148310661316,0.034997619688510895,0,5,32,256,0.1,500,2000,25.45186710357666
0.050501782447099686,0.05046316608786583,0,5,32,256,0.1,500,4000,51.072563886642456
0.15263588726520538,0.3044200539588928,0,5,32,256,0.1,1000,500,6.391971111297607
0.2780490517616272,0.4835284352302551,0,5,32,256,0.1,1000,1000,12.730207443237305
0.03880804777145386,0.03077494539320469,0,5,32,256,0.1,1000,2000,25.496737241744995
0.037790168076753616,0.03497208282351494,0,5,32,256,0.1,1000,4000,50.84213638305664
0.10467276722192764,0.06929825246334076,0,5,32,256,0.01,500,500,6.352648973464966
0.05883977934718132,0.07928454875946045,0,5,32,256,0.01,500,1000,12.736783027648926
0.35069942474365234,0.36940768361091614,0,5,32,256,0.01,500,2000,25.551875829696655
0.13061170279979706,0.10013559460639954,0,5,32,256,0.01,500,4000,50.93123722076416
0.07652021199464798,0.05751943960785866,0,5,32,256,0.01,1000,500,6.346924781799316
0.0634540393948555,0.086749367415905,0,5,32,256,0.01,1000,1000,12.642242908477783
0.06472186744213104,0.0558730885386467,0,5,32,256,0.01,1000,2000,25.533792734146118
0.06096424162387848,0.0577978640794754,0,5,32,256,0.01,1000,4000,51.02848148345947
0.22203916311264038,0.27556607127189636,0,5,64,64,0.1,500,500,11.690963983535767
0.046787094324827194,0.03592190891504288,0,5,64,64,0.1,500,1000,23.353244304656982
0.048963792622089386,0.03797145560383797,0,5,64,64,0.1,500,2000,46.77461266517639
0.05260016396641731,0.04455006867647171,0,5,64,64,0.1,500,4000,93.58306074142456
0.09421319514513016,0.139546200633049,0,5,64,64,0.1,1000,500,11.582353830337524
0.2264234572649002,0.40904563665390015,0,5,64,64,0.1,1000,1000,22.894412755966187
0.04338141903281212,0.030707290396094322,0,5,64,64,0.1,1000,2000,47.12749433517456
0.05609188601374626,0.05935412272810936,0,5,64,64,0.1,1000,4000,94.25335574150085
0.09391661733388901,0.06566127389669418,0,5,64,64,0.01,500,500,11.523452043533325
0.5269224047660828,2.601583957672119,0,5,64,64,0.01,500,1000,22.667104721069336
0.261985719203949,0.25448471307754517,0,5,64,64,0.01,500,2000,46.57348370552063
0.2490888237953186,0.2416858673095703,0,5,64,64,0.01,500,4000,91.53273677825928
0.20511333644390106,0.23223590850830078,0,5,64,64,0.01,1000,500,11.695146083831787
0.06829704344272614,0.05054623633623123,0,5,64,64,0.01,1000,1000,23.370914697647095
0.06545498222112656,0.03885386511683464,0,5,64,64,0.01,1000,2000,46.88744926452637
0.29573744535446167,1.8993514776229858,0,5,64,64,0.01,1000,4000,93.73406147956848
0.14462274312973022,0.10436635464429855,0,5,64,128,0.1,500,500,12.707883596420288
0.0625380203127861,0.08786381036043167,0,5,64,128,0.1,500,1000,25.31568193435669
0.04537693411111832,0.03885623812675476,0,5,64,128,0.1,500,2000,50.50347661972046
0.048075005412101746,0.05450279265642166,0,5,64,128,0.1,500,4000,100.78686928749084
0.20491275191307068,0.3855147361755371,0,5,64,128,0.1,1000,500,12.726102352142334
